,Day_Number,World,Job,Points,Rank,Name
0,1,Adamantoise,ALC,106878,1,
1,1,Adamantoise,ARM,24173,1,
2,1,Adamantoise,BSM,53871,1,
3,1,Adamantoise,BTN,61580,1,
4,1,Adamantoise,CRP,95113,1,
5,1,Adamantoise,CUL,72574,1,
6,1,Adamantoise,FSH,124551,1,
7,1,Adamantoise,GSM,20233,1,
8,1,Adamantoise,LTW,72300,1,
9,1,Adamantoise,MIN,43480,1,
10,1,Adamantoise,WVR,45304,1,
11,1,Aegis,ALC,64061,1,
12,1,Aegis,ARM,97298,1,
13,1,Aegis,BSM,127980,1,
14,1,Aegis,BTN,89464,1,
15,1,Aegis,CRP,175881,1,
16,1,Aegis,CUL,38503,1,
17,1,Aegis,FSH,89800,1,
18,1,Aegis,GSM,7590,1,
19,1,Aegis,LTW,9888,1,
20,1,Aegis,MIN,55553,1,
21,1,Aegis,WVR,83725,1,
22,1,Alexander,ALC,46438,1,
23,1,Alexander,ARM,34828,1,
24,1,Alexander,BSM,136217,1,
25,1,Alexander,BTN,103038,1,
26,1,Alexander,CRP,134067,1,
27,1,Alexander,CUL,40680,1,
28,1,Alexander,FSH,53130,1,
29,1,Alexander,GSM,26219,1,
30,1,Alexander,LTW,10064,1,
31,1,Alexander,MIN,72297,1,
32,1,Alexander,WVR,35448,1,
33,1,Anima,ALC,135516,1,
34,1,Anima,ARM,116622,1,
35,1,Anima,BSM,18667,1,
36,1,Anima,BTN,60294,1,
37,1,Anima,CRP,17810,1,
38,1,Anima,CUL,30401,1,
39,1,Anima,FSH,97823,1,
40,1,Anima,GSM,53478,1,
41,1,Anima,LTW,40562,1,
42,1,Anima,MIN,67711,1,
43,1,Anima,WVR,49543,1,
44,1,Asura,ALC,67273,1,
45,1,Asura,ARM,74853,1,
46,1,Asura,BSM,30865,1,
47,1,Asura,BTN,86127,1,
48,1,Asura,CRP,136999,1,
49,1,Asura,CUL,44895,1,
50,1,Asura,FSH,76423,1,
51,1,Asura,GSM,52178,1,
52,1,Asura,LTW,95631,1,
53,1,Asura,MIN,90769,1,
54,1,Asura,WVR,63861,1,
55,1,Atomos,ALC,55907,1,
56,1,Atomos,ARM,10342,1,
57,1,Atomos,BSM,30083,1,
58,1,Atomos,BTN,89860,1,
59,1,Atomos,CRP,14870,1,
60,1,Atomos,CUL,50832,1,
61,1,Atomos,FSH,43636,1,
62,1,Atomos,GSM,35083,1,
63,1,Atomos,LTW,13463,1,
64,1,Atomos,MIN,67319,1,
65,1,Atomos,WVR,27512,1,
66,1,Bahamut,ALC,151762,1,
67,1,Bahamut,ARM,40379,1,
68,1,Bahamut,BSM,127562,1,
69,1,Bahamut,BTN,100607,1,
70,1,Bahamut,CRP,86594,1,
71,1,Bahamut,CUL,13587,1,
72,1,Bahamut,FSH,69506,1,
73,1,Bahamut,GSM,125472,1,
74,1,Bahamut,LTW,35251,1,
75,1,Bahamut,MIN,60719,1,
76,1,Bahamut,WVR,101944,1,
77,1,Balmung,ALC,156713,1,
78,1,Balmung,ARM,176631,1,
79,1,Balmung,BSM,130473,1,
80,1,Balmung,BTN,69414,1,
81,1,Balmung,CRP,79886,1,
82,1,Balmung,CUL,57675,1,
83,1,Balmung,FSH,91400,1,
