,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23421987,73,15,1,934396,,0,934396,Unsweetened Vanilla,https://img2.finalfantasyxiv.com/f/4c18495774b8782cb37b8b1424658cb5_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645199384
1,6403967,73,15,2,793997,,0,793997,Avery Fairchild,https://img2.finalfantasyxiv.com/f/30bf1e759e8e1557e52ea54d53519f8a_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645401186
2,17802491,73,15,3,457328,,0,457328,Sho Ko,https://img2.finalfantasyxiv.com/f/89afd4494b602b1ab7b806e6b6bc197b_96ab1df8877c1f8ba6a89a39cccfd437fc0_96x96.jpg?1645195065
3,19549606,73,15,4,440917,,0,440917,Isixa Voskera,https://img2.finalfantasyxiv.com/f/96528e65c0dabf792d394536aa6dffa6_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645465862
4,2242838,73,15,5,397039,,0,397039,Symari Samyri,https://img2.finalfantasyxiv.com/f/26160c2ff79b3cd523619a4f910d5abc_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645512705
5,3874487,73,15,6,383577,,0,383577,Kathyr Faelsyn,https://img2.finalfantasyxiv.com/f/d09ad807f74a0fc640f7ea2af335ace2_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645414588
6,15963918,73,15,7,350412,,0,350412,Mr Guy,https://img2.finalfantasyxiv.com/f/004f3745bf74aa154ea5c135d416bf8e_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645443195
7,16750149,73,15,8,340731,,0,340731,Lazy Watermelon,https://img2.finalfantasyxiv.com/f/322001d266a6d080ba6f24e81eb31acb_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645362508
8,24852087,73,15,9,260461,,0,260461,Nin Starlight,https://img2.finalfantasyxiv.com/f/ed4db27d4d5cb95697b0819e7147f6b3_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645515596
9,20457668,73,15,10,258677,,0,258677,Runavera Aquilastella,https://img2.finalfantasyxiv.com/f/cc25a0d19f9fdf0c2777f568d5ac3183_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645480736
10,14195001,73,15,11,239798,,0,239798,Rothe Aubrey,https://img2.finalfantasyxiv.com/f/8a082b335af16c0ebd92857626e9d9bb_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645481201
11,22384001,73,15,12,218552,,0,218552,Chifu Sunlily,https://img2.finalfantasyxiv.com/f/a2717ef7ba8f16a270e9842ac4a19b50_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645137424
12,9334871,73,15,13,162007,,0,162007,Mizacka Nanbu,https://img2.finalfantasyxiv.com/f/affdb2efb3328ab4e51b8c93cd39e73e_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645457686
13,21167437,73,15,14,75504,,0,75504,Artar Maru,https://img2.finalfantasyxiv.com/f/594e0fef08a25a3cce95bb26d34aa9db_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645458681
14,10183382,73,15,15,64539,,0,64539,Dora Weables,https://img2.finalfantasyxiv.com/f/967839454653198d20ff1df5983639a3_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645504054
15,11860646,73,15,16,53363,,0,53363,Ayaze Sevare,https://img2.finalfantasyxiv.com/f/8064141aaa383352a316047415940d54_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645435031
16,7433378,73,15,17,51738,,0,51738,Crum Sy,https://img2.finalfantasyxiv.com/f/ca22ee86bd549e1a5afd2706d3d1236d_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645374619
17,14587967,73,15,18,51116,,0,51116,Ririfu Rifu,https://img2.finalfantasyxiv.com/f/625dce6f63456806f06ba1fbfc9d6cbe_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645459210
18,5652099,73,15,19,38212,,0,38212,Makoto Adachi,https://img2.finalfantasyxiv.com/f/47529f73e6d5fb05087c97d8a083cbd5_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645270142
19,11512464,73,15,20,32021,,0,32021,Hootsman Ulfhedinn,https://img2.finalfantasyxiv.com/f/b0563690b27fc26182e6da5a6dbe2e27_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645094193
20,1613221,73,15,21,24032,,0,24032,Hello Kitty,https://img2.finalfantasyxiv.com/f/a7d8688228378475418230f30a541f5b_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645393345
21,2939088,73,15,22,23227,,0,23227,Keiyra Patcher,https://img2.finalfantasyxiv.com/f/8b7c12e037a5482831a1730ad19c270a_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645415168
22,24435199,73,15,23,16100,,0,16100,Kiva'li Vahsme,https://img2.finalfantasyxiv.com/f/955e58a44860aa5ffdcaa592e4bfb419_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645434259
23,8168530,73,15,24,12434,,0,12434,Tyrin Windweaver,https://img2.finalfantasyxiv.com/f/8867cd23f59dd4c2bf0bea292ec86644_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645475962
24,9251840,73,15,25,11880,,0,11880,Sikozu Fenririan,https://img2.finalfantasyxiv.com/f/d457fb52e6c29ec523b555ec003ae4ab_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645464270
25,1623666,73,15,26,11250,,0,11250,Tang Eblan,https://img2.finalfantasyxiv.com/f/39f7b925d1cdf340ee6cba2f6b8381fb_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645196383
26,25943420,73,15,27,10424,,0,10424,Bella Musashi,https://img2.finalfantasyxiv.com/f/5a2e41561b8e84a542a323f1d157aa4d_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645470482
