,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22322103,68,13,1,1339040,,0,1339040,Shiro Kome,https://img2.finalfantasyxiv.com/f/07cb8081ba815fe5e1bfd7c6717cbdc9_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645319117
1,13560107,68,13,2,1300722,,0,1300722,Kuguha Lunie,https://img2.finalfantasyxiv.com/f/00a417e275c74719913b7b94ca8ffac0_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645146351
2,26037403,68,13,3,482262,,0,482262,Zittrin Areyss,https://img2.finalfantasyxiv.com/f/a485314d210e43889df85545d0bf75b9_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645469698
3,17884490,68,13,4,399975,,0,399975,Terence Badrich,https://img2.finalfantasyxiv.com/f/46e4c6a14c2b1738285dbc24e265e215_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645483389
4,7640550,68,13,5,395993,,0,395993,Menono Meno,https://img2.finalfantasyxiv.com/f/465a782c326792bb2e7de332ce3101d1_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645236489
5,3264167,68,13,6,386057,,0,386057,Ton Ton,https://img2.finalfantasyxiv.com/f/f701c00013dcdaf3b4a1785d39ce168d_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645493459
6,23767976,68,13,7,319697,,0,319697,Cerasis Flore,https://img2.finalfantasyxiv.com/f/cabfd9c876cc021b6f405840ee473372_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645399533
7,19773058,68,13,8,314156,,0,314156,Hisui Sui,https://img2.finalfantasyxiv.com/f/717ef2c20106ffd77f95853dcc65e3cf_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645488879
8,28127246,68,13,9,306956,,0,306956,Silky Merci,https://img2.finalfantasyxiv.com/f/7aa3987a7f98f4391e20c3ff943a906f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645100247
9,11986309,68,13,10,305332,,0,305332,Ran Pork,https://img2.finalfantasyxiv.com/f/ddfeff540c102a94553431b7f5cd9949_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645346846
10,24348497,68,13,11,226004,,0,226004,John Tetsuyag,https://img2.finalfantasyxiv.com/f/86746c69da3f1d37b00a7beaad833d40_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645207492
11,3332361,68,13,12,212452,,0,212452,Padma Leafelin,https://img2.finalfantasyxiv.com/f/1a34cf5722c89b59233c6749a9654b0b_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645413931
12,15977272,68,13,13,205703,,0,205703,Citron Messager,https://img2.finalfantasyxiv.com/f/6db4d7d457b898cf3bc9b37af1276196_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645483826
13,3774173,68,13,14,168347,,0,168347,Shin Katsragi,https://img2.finalfantasyxiv.com/f/2242a2b5deef457100b1e9695d463ce3_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645434363
14,1634106,68,13,15,131334,,0,131334,Kanaka Nanase,https://img2.finalfantasyxiv.com/f/c9ee795288a6b5abfc79d1240e8e3a51_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645429647
15,26408100,68,13,16,122969,,0,122969,Alfort White,https://img2.finalfantasyxiv.com/f/cbe9fa4a2ef6bc304268c8c904ea7220_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645459071
16,16714040,68,13,17,91468,,0,91468,Kureha Rare,https://img2.finalfantasyxiv.com/f/803f3d9c022d412f20901225eebd76f7_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645505967
17,2223600,68,13,18,79557,,0,79557,Right Force,https://img2.finalfantasyxiv.com/f/4055f484bd679fe1c3c9a02149e42976_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645226036
18,7868291,68,13,19,48847,,0,48847,Lynx Rhapsody,https://img2.finalfantasyxiv.com/f/b8fb36ca17f22bb1e8754d5959e2c256_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645459780
19,2659963,68,13,20,38148,,0,38148,Frowtia Heartis,https://img2.finalfantasyxiv.com/f/89c9e2a14654f5efeab701bbdae1c653_87b7d447f40b06dfc7228caf195f7dcffc0_96x96.jpg?1645494251
20,18453563,68,13,21,34319,,0,34319,Nuit Focuslight,https://img2.finalfantasyxiv.com/f/ffb606a19843b6bb199c1abd007016a4_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645391955
21,2402894,68,13,22,31847,,0,31847,Kara Amistr,https://img2.finalfantasyxiv.com/f/c18c637124cc24698fc89b914c975028_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645450902
22,11541917,68,13,23,27876,,0,27876,Kikika Hagoromo,https://img2.finalfantasyxiv.com/f/383a7242a2e5f2f8860d73e0dc65308a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645499352
23,23757772,68,13,24,26655,,0,26655,Hina Hinahinagesi,https://img2.finalfantasyxiv.com/f/5e48900991de1b1545f57b902efcfe3f_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645354345
24,24734408,68,13,25,24002,,0,24002,Hoshiru Etoile,https://img2.finalfantasyxiv.com/f/485bd321637c01ecc322dba952e8b80e_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645316499
25,4620818,68,13,26,21799,,0,21799,Mei Stellaria,https://img2.finalfantasyxiv.com/f/c1761ee0a0ff6532b40102f64e5ef940_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645406316
26,3389711,68,13,27,21542,,0,21542,Lilac Vulgaris,https://img2.finalfantasyxiv.com/f/68bbd789cfa920625d1ea49c8167139c_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645183180
27,17904625,68,13,28,21278,,0,21278,Medaka Meyer,https://img2.finalfantasyxiv.com/f/2bce1f00a94e241379f60d36473e50dd_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645264607
28,13781961,68,13,29,19044,,0,19044,Rashad Riley,https://img2.finalfantasyxiv.com/f/d2b1a1a707be5a9536a3e8eaf1c6b67d_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645434795
29,26022062,68,13,30,17396,,0,17396,Kuuko Amano,https://img2.finalfantasyxiv.com/f/65b3d09aaab7378a46920e53fb3fad0a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645229969
30,8265668,68,13,31,16554,,0,16554,Dango Megane,https://img2.finalfantasyxiv.com/f/051d72585d911c2b0b10fd0f7d8c3ce6_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645169656
31,13713841,68,13,32,16045,,0,16045,Rei Faris,https://img2.finalfantasyxiv.com/f/29bd47563d1872b75b9aab2b6c1bf4c3_ba15a18cd3a8fb567e39053022515eb6fc0_96x96.jpg?1645378457
32,10071498,68,13,33,14804,,0,14804,Myrddin Emrys,https://img2.finalfantasyxiv.com/f/15cc0395bb3c9e87b89136537530e40f_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645080877
33,23636586,68,13,34,14369,,0,14369,Moon Lapislazuli,https://img2.finalfantasyxiv.com/f/8a8e4b9d7ba2d5e3cf48bcd1b736dfb2_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644983874
34,17068890,68,13,35,13201,,0,13201,Honey Abst,https://img2.finalfantasyxiv.com/f/e0e99708d393161dd62c44b447ec8fa4_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645459752
35,24386329,68,13,36,11495,,0,11495,Cototo Coto,https://img2.finalfantasyxiv.com/f/1fd91df688c8deffaf466c5dacf6ff23_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645421133
36,23795555,68,13,37,11445,,0,11445,Do Ru,https://img2.finalfantasyxiv.com/f/9096ee483788d39fb8d359f217738155_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645170191
37,22072878,68,13,38,11436,,0,11436,Vanilla Kipferl,https://img2.finalfantasyxiv.com/f/d002b8a2f2aa8fcbf21dc21c082484b3_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645348215
