,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25277291,78,8,1,546482,,0,546482,Hyphwenz Uwu,https://img2.finalfantasyxiv.com/f/ac7354726d44ca44722cfe956f8e3352_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645145032
1,8739343,78,8,2,512642,,0,512642,Big Lebowski,https://img2.finalfantasyxiv.com/f/c8b2c79637060aa2a124b2d05250df46_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645451232
2,16806075,78,8,3,484500,,0,484500,Sung Jin-woo,https://img2.finalfantasyxiv.com/f/0680965001a64516a5cae5e43031bd8c_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645335422
3,5793517,78,8,4,258355,,0,258355,Maka Albarn,https://img2.finalfantasyxiv.com/f/3ad6b683f45c4817fe2a75ed12334a25_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645399557
4,23399738,78,8,5,206446,,0,206446,Comet Asteri,https://img2.finalfantasyxiv.com/f/a236eadd01085618541a6892e172fa4e_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645162174
5,13987408,78,8,6,202779,,0,202779,Rolanberry Shortcake,https://img2.finalfantasyxiv.com/f/fb5dbe6e6db52524533a3e83930abae5_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645451652
6,2751329,78,8,7,195213,,0,195213,Enemy Eikon,https://img2.finalfantasyxiv.com/f/0c9d31113975682285219860693392c4_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645396891
7,26765523,78,8,8,176642,,0,176642,Dr Doom,https://img2.finalfantasyxiv.com/f/5e6b9a51724f9492d38c0a69d4057e83_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645402709
8,9143878,78,8,9,168953,,0,168953,Sarafina Vadrel,https://img2.finalfantasyxiv.com/f/442999052eee9868cd8f59bda7723703_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645491282
9,18211894,78,8,10,147558,,0,147558,Nirh Vhana,https://img2.finalfantasyxiv.com/f/c64c6cd828ec81cbe55e5ce8eb236746_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645477401
10,8714962,78,8,11,142729,,0,142729,Rikka Oroshi,https://img2.finalfantasyxiv.com/f/9655c37c1673b4935392fbb8aa1c22df_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645277740
11,16406935,78,8,12,138386,,0,138386,Kelistrah Rainestar,https://img2.finalfantasyxiv.com/f/2eb09d86666daa4935340f02ad64a730_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645300597
12,2181918,78,8,13,118816,,0,118816,Pham Nuwen,https://img2.finalfantasyxiv.com/f/d91ba1e4a8b4874a457fe87197251658_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645257849
13,8663793,78,8,14,98909,,0,98909,Mayu Aoki,https://img2.finalfantasyxiv.com/f/049bc8b935d0a0a38cdcacf1deb6b1a7_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645440499
14,5999835,78,8,15,49513,,0,49513,Gierness Volstenn,https://img2.finalfantasyxiv.com/f/83d1999ce919234b102754b6da075c62_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1645501094
