,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,1576675,70,12,1,1371416,,0,1371416,Kinta Amataro,https://img2.finalfantasyxiv.com/f/7d07af97fbfb0192c3044dbce9b807ac_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645413370
1,3393518,70,12,2,873915,,0,873915,Meme Tongue,https://img2.finalfantasyxiv.com/f/e056cdcd88c249655518d39c8895768b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645377154
2,1774531,70,12,3,714283,,0,714283,Venus Aphrodite,https://img2.finalfantasyxiv.com/f/0d0f8b952c7ebc85cbc49cf143bba107_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645433508
3,4222094,70,12,4,693195,,0,693195,Rato Gamma,https://img2.finalfantasyxiv.com/f/ce4d4b1a8a1299543c128583f59117ed_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645340819
4,25528982,70,12,5,679245,,0,679245,Harutya Lanko,https://img2.finalfantasyxiv.com/f/004168a78d77c37ddd02ceaab1dd73fb_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645205397
5,2447716,70,12,6,605157,,0,605157,Piero Jester,https://img2.finalfantasyxiv.com/f/2d80fcaf767ddca85be85c3a2ea065d3_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645342165
6,4879061,70,12,7,523042,,0,523042,Gray Mist,https://img2.finalfantasyxiv.com/f/b3b7baf6efc94c697708854f4cda8811_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645444506
7,4897595,70,12,8,519146,,0,519146,Shellia Jelly,https://img2.finalfantasyxiv.com/f/7ae28931f2936976080a287b1612083b_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645448606
8,11571579,70,12,9,504940,,0,504940,Miss Silence,https://img2.finalfantasyxiv.com/f/6f072e900226716a5852a49c2324f0c4_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645507963
9,3980909,70,12,10,502635,,0,502635,May Farron,https://img2.finalfantasyxiv.com/f/4c6d64f5090a049d50c4326d5f70ab22_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645382404
