,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3111589,93,9,1,622653,,0,622653,Mizu Uta,https://img2.finalfantasyxiv.com/f/5526ff8a4babe5287d97ff16bbc3244b_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645464868
1,20650772,93,9,2,564679,,0,564679,Mini Filet,https://img2.finalfantasyxiv.com/f/882c33f7c159deea1d7e1d6796efcda9_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645118868
2,6438266,93,9,3,507184,,0,507184,Diesel Cross,https://img2.finalfantasyxiv.com/f/89419a2204f43f475e67a5f84f1265fa_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645407804
3,13374469,93,9,4,506117,,0,506117,Arlen Wyze,https://img2.finalfantasyxiv.com/f/c7c7595963efbb4114b2cf2e58c987d6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645467469
4,3046746,93,9,5,468798,,0,468798,Zero Von-hellscythe,https://img2.finalfantasyxiv.com/f/a69f3c9689857ce98ec5d40f7c3324cf_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645490545
5,118289,93,9,6,378032,,0,378032,Sandrock Alabaster,https://img2.finalfantasyxiv.com/f/3c0ad5e21a3be6e30fecf4f8b7755d49_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645440817
6,25917356,93,9,7,370139,,0,370139,Saevis Orelin,https://img2.finalfantasyxiv.com/f/ecee85cb905ed28082479078ae01a9c5_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645350750
7,11901583,93,9,8,361209,,0,361209,Aurora Sundae,https://img2.finalfantasyxiv.com/f/4f16d08d83fc208f28442467831de376_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645501051
8,2322723,93,9,9,347646,,0,347646,Charles Louisoix,https://img2.finalfantasyxiv.com/f/fd559c2b216553ebc8e987b01deb582f_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645437087
9,10534440,93,9,10,342606,,0,342606,Scion Rafa,https://img2.finalfantasyxiv.com/f/5806309060c6c01c01f362b737012529_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645481106
10,749847,93,9,11,338697,,0,338697,Kenshin Zero,https://img2.finalfantasyxiv.com/f/bbc23fd3c5a49dccd127d779571f656b_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645400415
11,14129297,93,9,12,319904,,0,319904,Bronar Rayzik,https://img2.finalfantasyxiv.com/f/3431c5fa7b1b73b09666b433148d10c8_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645409099
12,23861557,93,9,13,301665,,0,301665,Adriana Borealis,https://img2.finalfantasyxiv.com/f/e02f07cfd85daade1dbaf50d970b0fe3_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645227144
13,6891416,93,9,14,300766,,0,300766,Obi'wan Jedi'master,https://img2.finalfantasyxiv.com/f/42f6ec8007e5368f0ee0c92ba94f14ee_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645400107
