,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,8009023,93,18,1,1103014,,0,1103014,Albis Somaris,https://img2.finalfantasyxiv.com/f/d7ef7d1de80f30de6ac13f505aa01eae_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645501635
1,15557526,93,18,2,896094,,0,896094,Metba Sub,https://img2.finalfantasyxiv.com/f/9a39fbe69f540cd1bef826c4782d7f1b_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645503091
2,2892831,93,18,3,888888,,0,888888,Misaki Haruhana,https://img2.finalfantasyxiv.com/f/ca62dd8ff6a469e225a4e6acfde54966_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645377144
3,6799675,93,18,4,840420,,0,840420,Nunurin Sarym,https://img2.finalfantasyxiv.com/f/6d18b3b7f06259e162ee4db7fbc12d9c_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645514932
4,18098765,93,18,5,821849,,0,821849,Bellowing Brook,https://img2.finalfantasyxiv.com/f/435b5440ff87b5a76f5d86ba9239a64d_745baffc465480ed372e274d50318290fc0_96x96.jpg?1644952248
5,5495022,93,18,6,812823,,0,812823,Gir Vavalgo,https://img2.finalfantasyxiv.com/f/79c7bc00c015a6f8395911360637335f_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645395610
6,503367,93,18,7,787758,,0,787758,Jaiyo Bot,https://img2.finalfantasyxiv.com/f/2644e1071b531a465d7240e14da4b8e6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645277140
7,24779238,93,18,8,765283,,0,765283,Gold Experience,https://img2.finalfantasyxiv.com/f/cf663c2ad132e2460ce9c4291bd0f938_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645510875
8,736831,93,18,9,746537,,0,746537,Ukkir Soryu,https://img2.finalfantasyxiv.com/f/7af8801ba7406cae29c764175ccf7e71_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645258585
9,19152676,93,18,10,721091,,0,721091,Haarek Talo,https://img2.finalfantasyxiv.com/f/5d20d5f910b1154ace0aa6cc8a415f11_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645436710
10,12124899,93,18,11,709271,,0,709271,Hulbert Highwind,https://img2.finalfantasyxiv.com/f/e765bf2ca243214454955ba86c1e96ea_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645451029
11,5666322,93,18,12,647294,,0,647294,Alice Lestorbo,https://img2.finalfantasyxiv.com/f/734419fc09af074f3c2e33fe93168bf2_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645472815
12,9920984,93,18,13,624733,,0,624733,Hara Shinigami,https://img2.finalfantasyxiv.com/f/c41f8845269710057123f1a30ceb123d_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645493461
13,16931781,93,18,14,594571,,0,594571,Wyrm Squirm,https://img2.finalfantasyxiv.com/f/a246641f675476ec19fa2ecc749c5226_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645183929
14,496132,93,18,15,568896,,0,568896,Amiral Benson,https://img2.finalfantasyxiv.com/f/d37e43bab544a760c574edfe27e81da5_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645489783
15,2351485,93,18,16,563674,,0,563674,Curry Puff,https://img2.finalfantasyxiv.com/f/eb8c5703a45f23dfd957eb0921a35e53_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645157778
16,26418403,93,18,17,505530,,0,505530,Saitama Kuro,https://img2.finalfantasyxiv.com/f/cd2058decb53dd979e103d1a0a33dde2_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645256750
17,2092057,93,18,18,402322,,0,402322,Memo Jing,https://img2.finalfantasyxiv.com/f/b8c42b9593fa74706084d6b48a32b59f_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645504158
18,730506,93,18,19,389507,,0,389507,Life Song,https://img2.finalfantasyxiv.com/f/58cb6cf5cc23d8e04123b494388e947c_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645466281
19,18181416,93,18,20,363399,,0,363399,Sunny Memories,https://img2.finalfantasyxiv.com/f/40ddcd8b604a26a5265354a13546b196_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645390859
20,21506762,93,18,21,340197,,0,340197,Max Rebo,https://img2.finalfantasyxiv.com/f/ebb21dbcdabde39e95c350fe0deda0a3_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645113998
21,11316531,93,18,22,322023,,0,322023,Aztino Satsuki,https://img2.finalfantasyxiv.com/f/f67cc914256a5048d6dca13ed2bd203e_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1645502563
22,8338711,93,18,23,298674,,0,298674,Isadora Bjarkardottir,https://img2.finalfantasyxiv.com/f/9d6ad2a4664a297e08b44cd44b44121c_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645352480
23,17916902,93,18,24,290045,,0,290045,Pi'qi Solaerim,https://img2.finalfantasyxiv.com/f/ac15719d63fbbb8186e83c468e1d4e99_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645409464
24,1280079,93,18,25,200477,,0,200477,Vergiliaux Renata,https://img2.finalfantasyxiv.com/f/d81f640720bf925b09b378aeb0d23225_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645134045
25,9512944,93,18,26,199315,,0,199315,Paranoid Hyuroid,https://img2.finalfantasyxiv.com/f/048fb8a0cd31bdaa14c498418f47509c_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645463998
26,4370958,93,18,27,159136,,0,159136,Athanasios Seiun,https://img2.finalfantasyxiv.com/f/1ce77eb84276acd5a0f28168e3a2f571_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645486031
27,6677991,93,18,28,155845,,0,155845,Nana Mochizuki,https://img2.finalfantasyxiv.com/f/e335936dabc62a60b029df35a0e6a796_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1645368275
28,45476,93,18,29,153006,,0,153006,Wicket Warwick,https://img2.finalfantasyxiv.com/f/0a2c254e3327ef496424eb904c1fe845_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645508793
29,14010960,93,18,30,138935,,0,138935,Delim Gilford,https://img2.finalfantasyxiv.com/f/b2509aacb0c57a600d014c170e461e81_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645465072
30,19966325,93,18,31,129367,,0,129367,Tsukiyomi Sumi,https://img2.finalfantasyxiv.com/f/584804f673a1e70cd44219b47f7d3268_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645253665
31,2902109,93,18,32,124695,,0,124695,Lotte Blotte,https://img2.finalfantasyxiv.com/f/b3e6518e1b442a98439dd9746523f0e0_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645452746
32,12435080,93,18,33,119711,,0,119711,Enchilada Night,https://img2.finalfantasyxiv.com/f/c64da781a6b10c316a2b76d76681eaee_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645450842
33,249176,93,18,34,118006,,0,118006,Leo Strut,https://img2.finalfantasyxiv.com/f/da9ec2ebb014a971af2937b88113c4f5_fce4949e615393e574f2d57134b31fc1fc0_96x96.jpg?1645370837
34,709785,93,18,35,116064,,0,116064,Amaranthine Lafalcon,https://img2.finalfantasyxiv.com/f/f1b22f75a014a9d4b658cc07f9528290_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645388536
35,656137,93,18,36,110711,,0,110711,Mjara Kigaomoi,https://img2.finalfantasyxiv.com/f/63cee8a75baad7e9903035c59df91ef1_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645343669
36,10143820,93,18,37,105545,,0,105545,Yvet Wolt,https://img2.finalfantasyxiv.com/f/c4105f3b0fa9437aa5c2cdf945d98ce2_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645248298
37,2375620,93,18,38,105150,,0,105150,Alpha Zarmont,https://img2.finalfantasyxiv.com/f/a75e7bfdceb5744cbb46d68a5fd403d6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645098225
38,6715578,93,18,39,104917,,0,104917,Zanic Mogborn,https://img2.finalfantasyxiv.com/f/7a1277526c3c2246ec93fc2692ca6b1b_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645392369
39,11255463,93,18,40,96741,,0,96741,Hot Girl,https://img2.finalfantasyxiv.com/f/2bbbbed0dec50ca0589f343bb97d801d_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645213975
40,5435392,93,18,41,92606,,0,92606,Pimp'o Licious,https://img2.finalfantasyxiv.com/f/e98b84b4abc4ad782676bc49655552cd_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645405314
41,19298130,93,18,42,91956,,0,91956,Kaoru Kamui,https://img2.finalfantasyxiv.com/f/491c48137317b2e227050e92d49f83b4_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645169519
42,7212009,93,18,43,91582,,0,91582,Alukah Bast,https://img2.finalfantasyxiv.com/f/693c3415c6d233a26370f9433e7640f6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645404872
43,10102416,93,18,44,90562,,0,90562,Rhahalsa Rhalhasa,https://img2.finalfantasyxiv.com/f/9ea44e578d63517fb08158428e2a0deb_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645420236
44,20368263,93,18,45,90405,,0,90405,Chugga Boom,https://img2.finalfantasyxiv.com/f/94c65936e616cf7f54209eb718b7274d_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645480907
45,1230791,93,18,46,87681,,0,87681,Strife Ichi,https://img2.finalfantasyxiv.com/f/0cf882a3c7638a0db1f1c9d22009a390_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645413688
46,131125,93,18,47,86841,,0,86841,Jack Valentine,https://img2.finalfantasyxiv.com/f/3704428b32b697f685be6cbc7c24dc42_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645501284
47,16333543,93,18,48,77041,,0,77041,Min'wo Nelhah,https://img2.finalfantasyxiv.com/f/6b8b0a5c20965471fc868bf8bec1de4c_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645453946
48,2307697,93,18,49,76390,,0,76390,Seria Kaichou,https://img2.finalfantasyxiv.com/f/79e383f2b8fe814045115b09d4347d59_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645345040
49,1555668,93,18,50,74270,,0,74270,Excel Kobayashi,https://img2.finalfantasyxiv.com/f/6221e31093d7005ebb89597615ba5fac_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645468209
50,19549437,93,18,51,72566,,0,72566,Martyr Man,https://img2.finalfantasyxiv.com/f/011ad780dabcc8dadc1c5c09cf8c4eb2_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645330561
51,9481992,93,18,52,71442,,0,71442,Django Dawnseeker,https://img2.finalfantasyxiv.com/f/028880cb7dcc795bfb1a257812f79c41_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645129050
52,1213687,93,18,53,69235,,0,69235,Alion Darcia,https://img2.finalfantasyxiv.com/f/c14ca4d182382b40add751eedb7d44b6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645508103
53,4368161,93,18,54,66610,,0,66610,Lulu Nami,https://img2.finalfantasyxiv.com/f/a8c9497966502307d166cae8d4f517d6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645351758
54,3565539,93,18,55,65546,,0,65546,Arrowyb Trachynfyrwyn,https://img2.finalfantasyxiv.com/f/cfac4afef8e655bff5d7ee8306f77b0f_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645088249
55,12199732,93,18,56,63366,,0,63366,Yuni Yunicorn,https://img2.finalfantasyxiv.com/f/820826fc11770e0383724294a301cd24_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645432429
56,25279429,93,18,57,63327,,0,63327,Izmir Kaiserov,https://img2.finalfantasyxiv.com/f/4899d60f3811e6b27e632ccc6399ccca_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645353833
