,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2836821,53,12,1,563845,,0,563845,Aria Lorezen,https://img2.finalfantasyxiv.com/f/b8196281ee3c041650258f2aa2442359_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645371476
1,8462088,53,12,2,538886,,0,538886,Julian Deforest,https://img2.finalfantasyxiv.com/f/34532529e3c4ddfb6367be40ffaf9198_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645374167
2,3159310,53,12,3,510529,,0,510529,Man Dudez,https://img2.finalfantasyxiv.com/f/7c3da628ecf15c11a0c74d52efbd1692_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645436539
3,13695846,53,12,4,510178,,0,510178,Ethala'shari Dawnvale,https://img2.finalfantasyxiv.com/f/fae650a17938d32014d1899639a4df31_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645472115
4,23240132,53,12,5,509866,,0,509866,Kupo Marshmallow,https://img2.finalfantasyxiv.com/f/f5ed4c57fc2b35aea8676f31dc472d0c_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1645365055
5,8217682,53,12,6,420420,,0,420420,Kyalwann Tohka,https://img2.finalfantasyxiv.com/f/5de59d2630414ece9ad7196c53c38867_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645431990
6,21927558,53,12,7,416542,,0,416542,Cambria Selena,https://img2.finalfantasyxiv.com/f/e0df6c4cb1e23acfc46878637e0dd705_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645173302
7,20626596,53,12,8,412315,,0,412315,Snarfus Mcaussie,https://img2.finalfantasyxiv.com/f/c8dc67938799e8eb6f4a54644243890c_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645108035
8,10623621,53,12,9,398864,,0,398864,Lyfon Yumeho,https://img2.finalfantasyxiv.com/f/82b331805114297ce2ec35daf0acceef_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645509044
9,4946213,53,12,10,392957,,0,392957,Esther Faustus,https://img2.finalfantasyxiv.com/f/83e6054fa0dd3f040f5d1161a62c05da_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645307401
10,25025407,53,12,11,381260,,0,381260,Zam Charen-teng,https://img2.finalfantasyxiv.com/f/55b7e2c0acee4b067eeb2d46f5caf47c_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645252651
11,11448100,53,12,12,374375,,0,374375,Amagiri Utsugizawa,https://img2.finalfantasyxiv.com/f/d56b69fb578da572d56c0de0c69632ea_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645438086
12,9151725,53,12,13,344802,,0,344802,Brielle Silverwood,https://img2.finalfantasyxiv.com/f/cb4c6a62d58699583682c295bbef1cc6_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645374451
13,2481222,53,12,14,323355,,0,323355,Azariah Aeroborn,https://img2.finalfantasyxiv.com/f/5597208daa4f589fe1e766ca306e4b9f_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645345788
14,20831328,53,12,15,137719,,0,137719,Nona Grey,https://img2.finalfantasyxiv.com/f/7e135fed26ee25d766144b79b868b557_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645105154
15,22974754,53,12,16,137600,,0,137600,Sanibel Thenorin,https://img2.finalfantasyxiv.com/f/02210972c75c4fa1d1a22f5c8ca4711a_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645414739
16,13844321,53,12,17,135745,,0,135745,Cream Corn,https://img2.finalfantasyxiv.com/f/61487dd0e04694e1d9c0afa6adaee0db_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645479751
17,21799449,53,12,18,118521,,0,118521,Lyra Vindex,https://img2.finalfantasyxiv.com/f/7575f381c2de91bd1a01390ddf5ed44f_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645479289
18,16936140,53,12,19,98599,,0,98599,Nevar Echo,https://img2.finalfantasyxiv.com/f/d9a696b1f8b462e6609f458e327ac570_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645396159
19,2943914,53,12,20,77853,,0,77853,Dr Hanson,https://img2.finalfantasyxiv.com/f/6060b096263dd4f0ca87c258baba2f8c_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645410072
20,18756137,53,12,21,55235,,0,55235,Lacks Creativity,https://img2.finalfantasyxiv.com/f/40598284bb55ffdbc4a8f892b04e8635_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645155423
21,20893338,53,12,22,51829,,0,51829,Sunder Macleod,https://img2.finalfantasyxiv.com/f/b5aa59604d8af7dfceb42e5049ebb7d5_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645224583
22,2162866,53,12,23,38113,,0,38113,Calla Boo,https://img2.finalfantasyxiv.com/f/f09d3bfd2edae4823ca5006a7bc5d624_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645388047
23,11968630,53,12,24,26069,,0,26069,Kalad Erste,https://img2.finalfantasyxiv.com/f/d136f09bc001893380696c645ff7a5e7_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645097672
24,6738757,53,12,25,26003,,0,26003,Minhimum Effort,https://img2.finalfantasyxiv.com/f/d40731fe981288d99a50c5b67fb68bff_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645249273
25,8128864,53,12,26,25350,,0,25350,Brizzyne Windsong,https://img2.finalfantasyxiv.com/f/3cab4b25d74ca78646303b08c094d5de_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645481366
