,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,21045557,58,18,1,1372321,,0,1372321,Cocoa Whisky,https://img2.finalfantasyxiv.com/f/7bad2509c60a806a42c5f32c430567f2_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645244149
1,14443320,58,18,2,1234567,,0,1234567,Ephraim Oblivion,https://img2.finalfantasyxiv.com/f/2e3ab437ba407a45a0a0ab3ae3727830_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645466170
2,1608189,58,18,3,1111111,,0,1111111,Omu Subi,https://img2.finalfantasyxiv.com/f/51ba1752ae519ca06be13d592a01ddfd_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645507388
3,8607595,58,18,4,1105932,,0,1105932,Shimico Konohata,https://img2.finalfantasyxiv.com/f/c46f86aa9d3ad161ebffdada6d4dedca_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645387988
4,21722653,58,18,5,1057900,,0,1057900,Koooriki Targaryen,https://img2.finalfantasyxiv.com/f/e3dcb93d6fa41e8b7f27df331ef85dbe_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645128167
5,8641815,58,18,6,1000000,,0,1000000,Freya Mistral,https://img2.finalfantasyxiv.com/f/8089f2ee615b3ed3396a1f2afcc165ed_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1644999294
6,3745380,58,18,7,950808,,0,950808,Rona Chan,https://img2.finalfantasyxiv.com/f/8a67801bad43571a50ced7f8f066f792_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645417351
7,3375947,58,18,8,944785,,0,944785,Tyuke Tyun,https://img2.finalfantasyxiv.com/f/43f4ece2fbccad7d04e633fe25ad150f_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645414223
8,5113933,58,18,9,937230,,0,937230,Neith Reina,https://img2.finalfantasyxiv.com/f/de127bb97fc57657b67987863bc6d029_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645199520
9,4578406,58,18,10,923229,,0,923229,Shota Kun,https://img2.finalfantasyxiv.com/f/8d20f748b6dd15fea0eb48d72149031b_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645342704
10,19012447,58,18,11,922272,,0,922272,Tanassy Blumenthal,https://img2.finalfantasyxiv.com/f/e20f31e711214452f5b10d921ab24d71_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645402068
11,14421464,58,18,12,901089,,0,901089,Gekka Luna,https://img2.finalfantasyxiv.com/f/3c53608dfb13816dcca80859b6b3510c_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645403567
12,3211625,58,18,13,828965,,0,828965,Cena Aliapoh,https://img2.finalfantasyxiv.com/f/7e6b495e397d5d9c2f532406b0c47b32_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645200565
13,3174195,58,18,14,800271,,0,800271,Winter Sky,https://img2.finalfantasyxiv.com/f/df1144830abdc2d71deaebe1f25d5bfd_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645496673
14,3217297,58,18,15,754272,,0,754272,Leon Scottkennedy,https://img2.finalfantasyxiv.com/f/00aa1faacc41e80ad5be8c233d1e3ff0_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645217291
15,17764568,58,18,16,581269,,0,581269,Tonkati Green,https://img2.finalfantasyxiv.com/f/9ad18ae419fe327bbbce71429e00db52_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645467496
16,4611945,58,18,17,516697,,0,516697,Sifar Tasifar,https://img2.finalfantasyxiv.com/f/75baddb834e554b6561413a375044437_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645484375
17,1577106,58,18,18,513903,,0,513903,Yorukagura Custom,https://img2.finalfantasyxiv.com/f/e0ff70b3fe2aa5e5320f0bc1541f861b_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645490157
18,13856483,58,18,19,476919,,0,476919,Orta Temeraire,https://img2.finalfantasyxiv.com/f/d9cbbfd8ca616a999372b954e6f2f94c_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645492696
19,8119290,58,18,20,442084,,0,442084,Hei Doqo'te,https://img2.finalfantasyxiv.com/f/3f129d874e75e3e8f1f3a17cf47be56d_fcb1f5b0249d1069e5bdc66d0796f26afc0_96x96.jpg?1645488677
