,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15615970,81,15,1,770042,,0,770042,Enalya Dena,https://img2.finalfantasyxiv.com/f/8363309a0ece745bce649da8856843a6_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645302907
1,1547494,81,15,2,594269,,0,594269,Minna Faust,https://img2.finalfantasyxiv.com/f/265ef395ce23905279b3f8e56a579f8e_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645147571
2,2945430,81,15,3,369423,,0,369423,Haru Bae,https://img2.finalfantasyxiv.com/f/13e879a3a494f02837161f9c108c4961_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645350618
3,2378120,81,15,4,334699,,0,334699,Bun Butterer,https://img2.finalfantasyxiv.com/f/e620dfa7414976732d21f2c12e83d390_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645378050
4,2420210,81,15,5,158630,,0,158630,Drahcir Gneh,https://img2.finalfantasyxiv.com/f/d6093ab032acb874891a40cf19bb69ae_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645130231
5,9877498,81,15,6,151047,,0,151047,Tsarki Plefar,https://img2.finalfantasyxiv.com/f/797301ab5368e68381fe9d45afa77bba_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645381269
6,22825758,81,15,7,126142,,0,126142,Odunin Braelyn,https://img2.finalfantasyxiv.com/f/4c713dc60c59940af39ca96a7a0da184_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645353487
7,20538613,81,15,8,107619,,0,107619,Maple Pancakes,https://img2.finalfantasyxiv.com/f/8d87ddc4fb24e7205b72de08610957de_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645254108
8,18311112,81,15,9,87930,,0,87930,Haru Lee,https://img2.finalfantasyxiv.com/f/7fdd34fe68ffed65ed4d099ceee4ca44_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645502912
9,23395052,81,15,10,80166,,0,80166,Lei Xia,https://img2.finalfantasyxiv.com/f/f5f2cc269ed4cd08be6355409a1f0e02_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645416114
10,13195955,81,15,11,59459,,0,59459,Neji Saiyan,https://img2.finalfantasyxiv.com/f/849a6dba6159cbb9921c6f48909f80c6_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645439519
11,22002471,81,15,12,59241,,0,59241,Phage Highspirits,https://img2.finalfantasyxiv.com/f/b76957c7461a170d13f1626da00d1af8_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645092592
12,18487853,81,15,13,53967,,0,53967,Jagged Dawn,https://img2.finalfantasyxiv.com/f/7f3d5d02d6c6a779d84083f0c62ceee2_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645174740
13,6154214,81,15,14,53849,,0,53849,Blaetlona Bhargeimwyn,https://img2.finalfantasyxiv.com/f/9ba21ac23331a4242923a0b015857d0a_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645315241
14,18559916,81,15,15,49858,,0,49858,Kylin Reizalt,https://img2.finalfantasyxiv.com/f/8680f93990bcbb841b7ae066795e6e7f_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645379123
15,7645861,81,15,16,35226,,0,35226,Tamago Ika,https://img2.finalfantasyxiv.com/f/74dab43259269c7745245aa017133250_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645460733
16,20534500,81,15,17,35020,,0,35020,Lobster Risotto,https://img2.finalfantasyxiv.com/f/3b1e85b18a691569f532af9e9cff21dd_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645473983
17,21791592,81,15,18,9167,,0,9167,Veronica Tarturio,https://img2.finalfantasyxiv.com/f/52f86fe817c1fa6eed1f7d166ab7e8b9_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645364785
18,20972503,81,15,19,9086,,0,9086,Raiden Maibito,https://img2.finalfantasyxiv.com/f/a34e2c7cbd3e5a7053ca2cf7de32dc06_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645509356
19,23345328,81,15,20,9078,,0,9078,Chrys Statia,https://img2.finalfantasyxiv.com/f/65df91bbab1ae8335637d88ed2e1dc71_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645480117
20,28376086,81,15,21,8837,,0,8837,Felidae Omuri,https://img2.finalfantasyxiv.com/f/f6ddc704b8b3bf06f3e8f08e6c90853c_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645457911
21,25599013,81,15,22,8462,,0,8462,Tsuki Yue,https://img2.finalfantasyxiv.com/f/a8790db1132a005675f0e93b64a615f7_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645375552
22,20535868,81,15,23,8135,,0,8135,Oubiac Daito,https://img2.finalfantasyxiv.com/f/c4f3c0c21c1cc84cdfa9006e403c128f_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645407467
23,16729607,81,15,24,7110,,0,7110,Myamo Amo,https://img2.finalfantasyxiv.com/f/bf71209941346fd030e2cde2fdd55ec1_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645350511
24,4090522,81,15,25,6405,,0,6405,Tenzil Kem,https://img2.finalfantasyxiv.com/f/47cf353099417e360bb349ba136ac2db_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645246229
25,12532786,81,15,26,6380,,0,6380,Levania Meyano,https://img2.finalfantasyxiv.com/f/1ec86ba95f55fc0845bdfb1f151fe92d_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645459130
26,20885687,81,15,27,4860,,0,4860,Ashyra Syrvana,https://img2.finalfantasyxiv.com/f/ec5606987809a83a7902a31a8958ee0b_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645441341
27,8659335,81,15,28,4832,,0,4832,Heretic Heretic,https://img2.finalfantasyxiv.com/f/0bfd358c2f47e8c4921d9e5db6cd7ef4_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645414422
28,10283522,81,15,29,4442,,0,4442,Rustam Sumerki,https://img2.finalfantasyxiv.com/f/2bec123ee46d522ab4e1919a4a5b4b8f_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645430270
29,15269971,81,15,30,4431,,0,4431,Kitose Lann,https://img2.finalfantasyxiv.com/f/78f55c98acb1dc5fa34f61e0303d1c8e_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645413818
30,22383660,81,15,31,4277,,0,4277,Morgen Luna,https://img2.finalfantasyxiv.com/f/0db6c2fd6d2dec63bf7ac0fa3299b397_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645314720
31,5944458,81,15,32,4127,,0,4127,Goriah Noom,https://img2.finalfantasyxiv.com/f/6b891217419610056a72e19c61c406e8_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645498158
32,24681036,81,15,33,4071,,0,4071,Sully Chase,https://img2.finalfantasyxiv.com/f/3836224d630dcc94a58bf6bb9817ae47_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645304347
33,21277805,81,15,34,3997,,0,3997,Asbel Viecuet,https://img2.finalfantasyxiv.com/f/031a89779f346d966ad75d958133da79_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645489389
34,18592478,81,15,35,3934,,0,3934,Babette Hintern,https://img2.finalfantasyxiv.com/f/484863d6bc08422a0eda0aada2766447_8e81e2940511f7152ba4462fe53e35b8fc0_96x96.jpg?1645412431
