,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,6625655,65,9,1,782964,,0,782964,Manwe Sulimo,https://img2.finalfantasyxiv.com/f/34b7f4f2297d44f39efa0d709e8b0696_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645446652
1,13300686,65,9,2,512941,,0,512941,Cid Gelnika,https://img2.finalfantasyxiv.com/f/c5ae56ad942796cbc23d9e1bca4419e5_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645484792
2,12443737,65,9,3,401989,,0,401989,Kentei Leonhardt,https://img2.finalfantasyxiv.com/f/3b43ec19e8dc0bc4a25327b821c2cfc0_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645430143
3,12584179,65,9,4,144558,,0,144558,Sfro Zanzo,https://img2.finalfantasyxiv.com/f/52cc1960671f2653584643b5e6f0dd73_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645269046
4,25575375,65,9,5,124712,,0,124712,Kriv Erayasch,https://img2.finalfantasyxiv.com/f/53d785bacc7cc24b296cef6d5c7386a2_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645509155
5,2337960,65,9,6,123962,,0,123962,Prothescar Centursa,https://img2.finalfantasyxiv.com/f/9e67eb3a177dce7db44ce052a6ef9286_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645507567
6,2489057,65,9,7,122220,,0,122220,Erza Scarleta,https://img2.finalfantasyxiv.com/f/192c60b116b3c649b45273eca30e1d57_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645428643
7,16077525,65,9,8,114031,,0,114031,Jill Frosttail,https://img2.finalfantasyxiv.com/f/73e05607240d6ee841c0cd23aae79cc3_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645491548
8,2744701,65,9,9,103609,,0,103609,Maela Pathi,https://img2.finalfantasyxiv.com/f/dcdb827d6fee9028499e57cdc7a6bfdb_1f5fd239b885860b7c2bfc72ad1d97effc0_96x96.jpg?1645124587
9,15073728,65,9,10,96960,,0,96960,Seda Mujuuk,https://img2.finalfantasyxiv.com/f/a73d78e6a43b7c179f94b7a58eadff62_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645410848
10,8489764,65,9,11,76215,,0,76215,Karin Embler,https://img2.finalfantasyxiv.com/f/a3cbdfdba54ce96341acfbd80bc498c1_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645371304
11,27566407,65,9,12,68635,,0,68635,Dhafo Mhacohniflh,https://img2.finalfantasyxiv.com/f/7f2b35b3fd7c179575a8433edd73df40_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645508093
12,19312233,65,9,13,64690,,0,64690,Myra Bishop,https://img2.finalfantasyxiv.com/f/9848374003d78e3dc9399f0da6d09a2c_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645417424
13,19662316,65,9,14,45113,,0,45113,Butterscotch Man,https://img2.finalfantasyxiv.com/f/be499306628c169c4cf1ff756ed4ca18_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645111023
14,18856291,65,9,15,34608,,0,34608,Ivy Grey,https://img2.finalfantasyxiv.com/f/f050411d7a304d41236dce47aa7e0118_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645390303
15,4579397,65,9,16,33619,,0,33619,Renkei Fukai,https://img2.finalfantasyxiv.com/f/4893cdcac8a066639caac80bb5000162_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644941263
16,20297024,65,9,17,28737,,0,28737,Cousin Tito,https://img2.finalfantasyxiv.com/f/e0cc8ddfc6e939f2597782e6fdc20c7e_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645191281
17,26964540,65,9,18,25262,,0,25262,Sailor Lobsta,https://img2.finalfantasyxiv.com/f/061b8fe61e23b3f048de70f127106455_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645282245
18,10210612,65,9,19,23834,,0,23834,Ahri Nyan,https://img2.finalfantasyxiv.com/f/554a98ed636fcd25026255f09adef2da_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645446453
19,21286685,65,9,20,22881,,0,22881,Yozukhara Khaize,https://img2.finalfantasyxiv.com/f/d57330a7aa4badca81b42ff85da6cd9d_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645270649
20,3413856,65,9,21,20089,,0,20089,Salted Poggies,https://img2.finalfantasyxiv.com/f/6016e627d7412080dbfaea4be0031738_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645120740
21,2892455,65,9,22,19658,,0,19658,Vivi Firestorm,https://img2.finalfantasyxiv.com/f/662d1d12273f42aaff636dc7f26d2a6d_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645501190
22,6626424,65,9,23,19016,,0,19016,Nymphina Akagane,https://img2.finalfantasyxiv.com/f/a8fcb763bc9e620f25542725701d551f_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645228011
23,6237201,65,9,24,17496,,0,17496,Dwyn Holst,https://img2.finalfantasyxiv.com/f/ca43a6cbebb1ec1d831c8f138cfedf4a_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645499428
24,2514544,65,9,25,13560,,0,13560,Sara Arrow,https://img2.finalfantasyxiv.com/f/39af93f72d18cd635774bf7e670485c7_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645411067
25,9275998,65,9,26,13478,,0,13478,Seijun Takai,https://img2.finalfantasyxiv.com/f/2587d85dbe63303c1050b1857b703af9_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645492556
26,23693423,65,9,27,12750,,0,12750,Kowabunga Kurabara,https://img2.finalfantasyxiv.com/f/4999e9e1201731797aeaa345c92b71bd_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645254051
27,1729959,65,9,28,12250,,0,12250,Tavir Rehlar,https://img2.finalfantasyxiv.com/f/2c4ce01f44a1becf5a584d43df10e5e6_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645396358
