,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15591902,56,18,1,1133242,,0,1133242,Bounding Boulder,https://img2.finalfantasyxiv.com/f/f92b43fe68f3da506cfba93053f28a98_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645403006
1,3382153,56,18,2,1118865,,0,1118865,Ereshu Tereshu,https://img2.finalfantasyxiv.com/f/d845eea43585a6145e0f33749adfdd00_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645407581
2,10881742,56,18,3,1110950,,0,1110950,Arilina Winterwryn,https://img2.finalfantasyxiv.com/f/a69663caf0dcde9c1a9848dc83fc3677_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645417083
3,16432517,56,18,4,1059617,,0,1059617,Sayo Tosho,https://img2.finalfantasyxiv.com/f/17cd0214d3d58529eaf30133019b97f0_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645116042
4,6927587,56,18,5,1010101,,0,1010101,Blacksouls Katamorph,https://img2.finalfantasyxiv.com/f/7d16438912fb230b2f336587db8494e9_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645468166
5,16951345,56,18,6,1008308,,0,1008308,Nyan Nekochan,https://img2.finalfantasyxiv.com/f/24df6ee90d32b69f939881c18f2aafc5_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645296346
6,23404804,56,18,7,950984,,0,950984,Natt Naweh,https://img2.finalfantasyxiv.com/f/1c1f12261f4338b386e0f0de31f6d317_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645271374
7,23188732,56,18,8,937172,,0,937172,Tesla Teriyaki,https://img2.finalfantasyxiv.com/f/3a8546881b519f3e65f0459848f052fa_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645342954
8,20154011,56,18,9,932299,,0,932299,Pandora Kumi,https://img2.finalfantasyxiv.com/f/54df64c94d2e52bdc5d4c46344e27ce5_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645410115
9,12486796,56,18,10,909712,,0,909712,Kamastakur K'rukan,https://img2.finalfantasyxiv.com/f/931310ecce6eac5ccfa0e96e68b1107a_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645496598
10,16321450,56,18,11,908301,,0,908301,Tuvaq Kumi,https://img2.finalfantasyxiv.com/f/a1e7a09e70bd341ee93de4b7019a079f_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645506383
11,13490971,56,18,12,713517,,0,713517,Esmerr B'nargin,https://img2.finalfantasyxiv.com/f/0f4cb2861f884831a5015d69eca834ff_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645086003
12,14032226,56,18,13,700609,,0,700609,Yerico Tsurara,https://img2.finalfantasyxiv.com/f/23dc8a4e0c6c62342922b4e09d4c1e5c_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645298438
