,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18935645,52,11,1,1772393,,0,1772393,Animo Yuga,https://img2.finalfantasyxiv.com/f/9c0c3a4225d969da7f48879b0c449ad3_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645406133
1,3250750,52,11,2,1355499,,0,1355499,Ice Milktea,https://img2.finalfantasyxiv.com/f/5a7ab9b0e601ffbeeeec6ef544122c49_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645457244
2,2538755,52,11,3,663920,,0,663920,Dinok Nahgah,https://img2.finalfantasyxiv.com/f/f1c2b4ab2fecbada2a7a53833da26509_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645410227
3,1032524,52,11,4,508699,,0,508699,Cellica Lagerfeld,https://img2.finalfantasyxiv.com/f/d29f6f0ec6437d5ee3cfd3aff6992b87_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645348338
4,18881575,52,11,5,500032,,0,500032,Viscuit Lucas,https://img2.finalfantasyxiv.com/f/497f67d5995b0cf2293087007ce23d13_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645485087
5,25220241,52,11,6,380575,,0,380575,Quwinq Novem,https://img2.finalfantasyxiv.com/f/4d9d191f046f5a7e32215d2a9ec341ac_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645420534
6,3662873,52,11,7,324036,,0,324036,Megu Lark,https://img2.finalfantasyxiv.com/f/f56c6d4d9b8b790978f7c0b9e8835430_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645386359
7,1629757,52,11,8,300378,,0,300378,Sora Sunset,https://img2.finalfantasyxiv.com/f/02f4b82a1743e598f8f58b56fcdaa7dd_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645508380
8,18385820,52,11,9,271859,,0,271859,I'scream Sanbai,https://img2.finalfantasyxiv.com/f/67568d60baefceda3c11b1ba7bd9aac9_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645497528
9,24684230,52,11,10,264922,,0,264922,Asteria Nocturna,https://img2.finalfantasyxiv.com/f/136ee2f1fc8ce0a10dfc57c3b429ab2c_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645470022
