,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,7320280,32,18,1,1030376,,0,1030376,Mii Sheffleid,https://img2.finalfantasyxiv.com/f/c90461ad40ef0acd61b1f7fc386aefc0_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645396456
1,26288110,32,18,2,893377,,0,893377,Field Border,https://img2.finalfantasyxiv.com/f/ed23dfb881df6d66bcd8d66bbdbe8818_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645461053
2,12777492,32,18,3,748716,,0,748716,Sylvia Moon,https://img2.finalfantasyxiv.com/f/c5ab41d7be3fce4b636f2a427388cedb_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645378672
3,22149872,32,18,4,738780,,0,738780,Soumu Huhaha-n,https://img2.finalfantasyxiv.com/f/ea9f2e6b2f33a28e7d85eba4d6cf5ed0_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645495532
4,16819470,32,18,5,716217,,0,716217,Ranar Fourteenage,https://img2.finalfantasyxiv.com/f/35632f1959ffd1c89aea5699c4be23bd_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645382456
5,20027768,32,18,6,693548,,0,693548,Ulu Ulu,https://img2.finalfantasyxiv.com/f/57c0dcbd2c14549e07a12775ee7612a1_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645373644
6,19607338,32,18,7,675802,,0,675802,Despotar Edge,https://img2.finalfantasyxiv.com/f/0760f90460f15e856331f9e2f31550a1_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645483874
7,10588956,32,18,8,666108,,0,666108,Yoh Primo,https://img2.finalfantasyxiv.com/f/6536802ad01b83d90bc6d35e06713235_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645456930
8,21386164,32,18,9,639567,,0,639567,Pinky Ponky,https://img2.finalfantasyxiv.com/f/5b3dce0c0a794635bb2bccc71266018f_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645348304
9,8277330,32,18,10,576291,,0,576291,Dani Dw,https://img2.finalfantasyxiv.com/f/7804a245d962690856c7147c7521914e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645410834
10,21373972,32,18,11,514082,,0,514082,Emilio Thankroad,https://img2.finalfantasyxiv.com/f/786084066fb57fb1cdb0c91af8642b1d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645225361
11,646690,32,18,12,456289,,0,456289,Yakisoba Pan,https://img2.finalfantasyxiv.com/f/051ac9df1a71299477ed67feed5a6ecc_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645432897
12,9259821,32,18,13,440210,,0,440210,Festy Lute,https://img2.finalfantasyxiv.com/f/82bc7fcef06796cbd348db36bffa4cb0_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645145564
13,5221494,32,18,14,427157,,0,427157,Natalia Tennant,https://img2.finalfantasyxiv.com/f/d0bbd0ef25ee9ea2d17e3fbcb51d1c08_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645426481
14,9356852,32,18,15,413983,,0,413983,Luque Veretti,https://img2.finalfantasyxiv.com/f/dbcd4a5639dee4bbdc7ff5ba826f92c2_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645157044
15,19780286,32,18,16,386236,,0,386236,Rino Iris,https://img2.finalfantasyxiv.com/f/9b7201445d667409352bedac9758a3d5_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645222309
16,18602314,32,18,17,368182,,0,368182,Siki Aberia,https://img2.finalfantasyxiv.com/f/b00a358280a4433564651d54419a6118_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645356977
