,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18371418,32,11,1,1153663,,0,1153663,Myria Berry,https://img2.finalfantasyxiv.com/f/640e7bf9e6ca0449bf94456e9a212169_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645488682
1,19511092,32,11,2,916691,,0,916691,Na Cho,https://img2.finalfantasyxiv.com/f/f35d242dffd53fa228d6b9ff2c06e354_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645309386
2,24256539,32,11,3,569263,,0,569263,Ruth Efes,https://img2.finalfantasyxiv.com/f/fa9539e3764f57d5f3138af20d22110e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645215560
3,5715653,32,11,4,523363,,0,523363,Historia Lee,https://img2.finalfantasyxiv.com/f/04138272ada9c675a80ab20c9adb6215_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645114574
4,22457813,32,11,5,513563,,0,513563,Mon Crest,https://img2.finalfantasyxiv.com/f/c877b33bf8d13effe40e7a0097d184ec_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645514710
5,646690,32,11,6,513543,,0,513543,Yakisoba Pan,https://img2.finalfantasyxiv.com/f/051ac9df1a71299477ed67feed5a6ecc_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645432897
6,9560584,32,11,7,451048,,0,451048,Hwang Mi,https://img2.finalfantasyxiv.com/f/4204ba8a6f34b3d784641e833dafde1a_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645503651
7,16786611,32,11,8,360625,,0,360625,Hayata Gajumaru,https://img2.finalfantasyxiv.com/f/94aeef7d451e035e0a7b1a5920790ee5_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645388747
8,5013448,32,11,9,351274,,0,351274,Aaliyah Stoner,https://img2.finalfantasyxiv.com/f/4848343fab29088683aac2972a573db7_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645420293
9,20142944,32,11,10,260162,,0,260162,Small Goma,https://img2.finalfantasyxiv.com/f/2c22188146faee3ab44660c60584233a_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645111141
10,18546739,32,11,11,228553,,0,228553,Akane Ryoka,https://img2.finalfantasyxiv.com/f/320a325f8fb69cb8ccc5a3a2ef4d6b1d_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645346854
11,10000513,32,11,12,213640,,0,213640,Illune Hal,https://img2.finalfantasyxiv.com/f/3c2321bb388baa0ada8fef18110721bb_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645412011
12,22322639,32,11,13,192677,,0,192677,Nose Shi,https://img2.finalfantasyxiv.com/f/5f6adc3448495270dddf685daf54e9ac_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645509866
13,4739614,32,11,14,134694,,0,134694,Cynthia Marguerite,https://img2.finalfantasyxiv.com/f/c8930766d8d2b06e00831f7388134f44_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645403817
14,18372119,32,11,15,128101,,0,128101,Dear Lowell,https://img2.finalfantasyxiv.com/f/3934bfe40687767ed3c62e6ddc0e6cc6_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645405664
15,17753575,32,11,16,84953,,0,84953,Regulus Vinculum,https://img2.finalfantasyxiv.com/f/3bc6f7a0c183dcdb9740d832d125b802_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645505343
16,19728466,32,11,17,81089,,0,81089,Ellen Mokopan,https://img2.finalfantasyxiv.com/f/a25620ca0db6e900073f2f2f6fbcdb7c_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645397198
17,18161526,32,11,18,44914,,0,44914,Konoha Sakuhana,https://img2.finalfantasyxiv.com/f/e01f1e6dc0d64da109bb0834825359bd_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645138119
18,27609884,32,11,19,44051,,0,44051,Luchel Roselitt,https://img2.finalfantasyxiv.com/f/f8f52fe8074ac8605f2b7d60f9866ad9_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645418395
19,12941948,32,11,20,27945,,0,27945,Snow Spirits,https://img2.finalfantasyxiv.com/f/1bb5873cf95f1d5d71254122efd16d41_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645511101
20,22690539,32,11,21,25384,,0,25384,Nachi Sirius,https://img2.finalfantasyxiv.com/f/53cd57dfbcef500c0792faedf40e008d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645412169
21,20222878,32,11,22,21816,,0,21816,Scotty Taylor,https://img2.finalfantasyxiv.com/f/dbcf6898ea01d54a9beeb84f1554a160_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645092034
22,26363621,32,11,23,19579,,0,19579,Star Sibyl,https://img2.finalfantasyxiv.com/f/4d9aff7ef260fb50c7e4d4e47f73f7cc_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645460255
23,14628226,32,11,24,17783,,0,17783,Ricca Rucca,https://img2.finalfantasyxiv.com/f/3e9734cb6b2480ce41ce625046643df6_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645424176
24,26227852,32,11,25,17726,,0,17726,Yuki Shiroi,https://img2.finalfantasyxiv.com/f/173b7620f51ede8ff4197c016f6227f8_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645476726
25,20873033,32,11,26,17482,,0,17482,Lavshuca Poirot,https://img2.finalfantasyxiv.com/f/3ab89bcd5edc64720d5d85646f97d9a5_9eb3c19866f7ae0eeeffac7bf770aba5fc0_96x96.jpg?1645469997
26,27698491,32,11,27,13730,,0,13730,Moscow-mule Melon,https://img2.finalfantasyxiv.com/f/7ee5b670cda88355ccff8d6022ead5c8_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645449599
27,2306764,32,11,28,13620,,0,13620,Bobbidi Boo,https://img2.finalfantasyxiv.com/f/11676dcbf42257c4bcf9da62d8d2ca7c_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645274136
28,15035140,32,11,29,13543,,0,13543,Turane Nya,https://img2.finalfantasyxiv.com/f/181b39e7c4e399cf050aa20ca9268671_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645167688
29,15107742,32,11,30,13413,,0,13413,Kame Dynasty,https://img2.finalfantasyxiv.com/f/4ac9ed8628b879de5f66ab45eb97df30_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645493976
30,22294631,32,11,31,13344,,0,13344,Rey Honokaduchi,https://img2.finalfantasyxiv.com/f/4dc8b1f065b9ff2b6be37abe7e0eb4e2_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645476372
31,19256877,32,11,32,12941,,0,12941,Eva Bennett,https://img2.finalfantasyxiv.com/f/ea5a63cb5eb346719bafd95373d76088_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645404930
32,13832368,32,11,33,12418,,0,12418,Haku Mokuren,https://img2.finalfantasyxiv.com/f/de0f6bcd43a0deb6213005836a49b13f_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645399107
33,20592028,32,11,34,12280,,0,12280,Kotaro Fuma,https://img2.finalfantasyxiv.com/f/0d0af7b5ce1b997c86b156b339694b30_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645493384
34,23665422,32,11,35,10717,,0,10717,Myria Bloom,https://img2.finalfantasyxiv.com/f/7a3dc208d14e7ceb6c5b0a7d72efd690_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645457915
35,6291840,32,11,36,10635,,0,10635,Sapphire Radeon,https://img2.finalfantasyxiv.com/f/e99af8fa6e520649f32ae5df55e3ac9d_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645166966
36,9214111,32,11,37,10619,,0,10619,Mimina Mina,https://img2.finalfantasyxiv.com/f/8aa578df70da81c61605e75b2bb88eaf_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645383275
37,22688623,32,11,38,10234,,0,10234,Shigure Inleel,https://img2.finalfantasyxiv.com/f/437d82db8d1deab3b4a9a6edeb8b040e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645470265
38,26244165,32,11,39,9511,,0,9511,Satake Satake,https://img2.finalfantasyxiv.com/f/aff9a2c749883c53c3c57b67e8b1d040_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645498493
39,9655178,32,11,40,9489,,0,9489,Azusa Yuuki,https://img2.finalfantasyxiv.com/f/0529533c97bf5f509839291104ed53a2_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645458751
40,27657593,32,11,41,8832,,0,8832,Nanagi Nagi,https://img2.finalfantasyxiv.com/f/3bd339d7d4c2768923aa0b8c44e74c67_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645479417
41,11582520,32,11,42,8819,,0,8819,Hiro Cedar,https://img2.finalfantasyxiv.com/f/5eeca45e34a479b9da1f9f7398b7e74e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645368435
42,15118403,32,11,43,8611,,0,8611,Rakuyo Obinata,https://img2.finalfantasyxiv.com/f/ccb1d8e75918643f2be28af05af71e99_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645094648
43,2305331,32,11,44,8209,,0,8209,Moshika Styx,https://img2.finalfantasyxiv.com/f/addfa3e9e9aff7955b4ec6d46a85c8a6_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645391246
44,9563123,32,11,45,7674,,0,7674,Neige Rivaklart,https://img2.finalfantasyxiv.com/f/d3e16384f9203ee69952c8402faef353_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645475142
45,16702077,32,11,46,7474,,0,7474,Arukari Taonyan,https://img2.finalfantasyxiv.com/f/d3a98fc313dc76656712ccd729e06061_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645141726
46,5832835,32,11,47,7257,,0,7257,Komama Koma,https://img2.finalfantasyxiv.com/f/d7cddc5da154afb59536374b595daee3_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645476430
47,22485076,32,11,48,7098,,0,7098,Calfa Zilfa,https://img2.finalfantasyxiv.com/f/01fb8b65e16641f38b3788b25e1450aa_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645170636
48,12387818,32,11,49,6800,,0,6800,Miwa Cartwright,https://img2.finalfantasyxiv.com/f/fb616f069a8232df919cb1674500ce85_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645423186
