,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22805411,42,16,1,598582,,0,598582,Ares Denma,https://img2.finalfantasyxiv.com/f/ed46e63e103d321c5c77b66a26008fa9_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645465975
1,18291844,42,16,2,342910,,0,342910,Auelin Fae,https://img2.finalfantasyxiv.com/f/2d6204db02c5efce86aca234fd6f1ce1_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645402616
2,14014055,42,16,3,341820,,0,341820,Kira Yoshikage,https://img2.finalfantasyxiv.com/f/58af8f13971c9fc9257656aebcb490f4_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645502370
3,17307913,42,16,4,302657,,0,302657,Sami Saevus,https://img2.finalfantasyxiv.com/f/993ebf927945100ea58e56bd9363b789_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645342494
4,16797450,42,16,5,227561,,0,227561,Lighten Wing,https://img2.finalfantasyxiv.com/f/da84adf49e81942db9f6ec2a798f59e8_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645423761
5,27433744,42,16,6,201255,,0,201255,Julie Capulet,https://img2.finalfantasyxiv.com/f/6d7dd4c6fecc283a3a856335dbe4d491_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645002111
6,14243357,42,16,7,166065,,0,166065,Larie Ohara,https://img2.finalfantasyxiv.com/f/91a39122cf48cbacd3104a23e0830520_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645409496
7,15241166,42,16,8,165939,,0,165939,Remeru Chan,https://img2.finalfantasyxiv.com/f/86a4fbfc258a552d6020d719d8a0d4bc_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645494129
8,20529799,42,16,9,158989,,0,158989,Ela Ishida,https://img2.finalfantasyxiv.com/f/dc42edf3feb82876de309f0ce5d1a114_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645442291
9,20879549,42,16,10,147953,,0,147953,Ayan Mizaghi,https://img2.finalfantasyxiv.com/f/0ea58b28cc1a964f6917fa2d69b974e6_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645316888
10,13257208,42,16,11,140231,,0,140231,Orufugangu Biru,https://img2.finalfantasyxiv.com/f/f9a6c7d64302ee7102e8793ca6aa49d4_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645126329
11,8293775,42,16,12,135344,,0,135344,Selina Ambertail,https://img2.finalfantasyxiv.com/f/faedf0b962e5427a2e507fb119071f6a_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645344813
12,24136893,42,16,13,132592,,0,132592,Melisandre Baratheon,https://img2.finalfantasyxiv.com/f/097490b03ca922f09a9110e1c06ab6f8_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645092115
13,21424969,42,16,14,121335,,0,121335,Celaena Lien,https://img2.finalfantasyxiv.com/f/42bdbf1140cd824d6e2ae7742ad644c3_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645162206
14,17556695,42,16,15,118219,,0,118219,Sirris Ahriman,https://img2.finalfantasyxiv.com/f/a26e7de321aa293e38b0aac0eaafa527_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645360151
15,15243168,42,16,16,117027,,0,117027,Kylia Mondschatten,https://img2.finalfantasyxiv.com/f/038e114ce1800eaf124bf3440548ed65_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645470065
16,11841003,42,16,17,100475,,0,100475,Daisy Mo,https://img2.finalfantasyxiv.com/f/035089b5d0ebcbf2c1a96850e6557209_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645290045
17,11580742,42,16,18,100214,,0,100214,Aria Nightingale,https://img2.finalfantasyxiv.com/f/83f82c6fb0f3c2cae3a7437f079d8f4d_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645462894
18,27957487,42,16,19,96456,,0,96456,Riku Small,https://img2.finalfantasyxiv.com/f/6e1ccd493d32f56a4278042836c72a9e_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645223219
19,11144152,42,16,20,87731,,0,87731,Jazrail Paraxoi,https://img2.finalfantasyxiv.com/f/95702024c94cfcb23cc36a397cf19f69_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645481324
20,21216450,42,16,21,76856,,0,76856,Cassiopeia Tsih,https://img2.finalfantasyxiv.com/f/48a9d45919d8a6916a90f0934e460271_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645379588
21,19688695,42,16,22,69842,,0,69842,Galliard Hanadin,https://img2.finalfantasyxiv.com/f/b19cd6856e76d4e298662243ca0a82f2_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645457255
22,840661,42,16,23,68269,,0,68269,Nero Corvus,https://img2.finalfantasyxiv.com/f/021c0cda72e0115167a9ca7d8a9ce006_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645458898
23,27353884,42,16,24,66901,,0,66901,Serena Yllafina,https://img2.finalfantasyxiv.com/f/8edb5964b8a44ce6f8a2684a6c3c76bd_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645511449
24,15309241,42,16,25,62799,,0,62799,Kurotora Iga,https://img2.finalfantasyxiv.com/f/97b4b0b6825937acf10aad415f5d470f_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645344870
25,14508885,42,16,26,59409,,0,59409,Lambi Tia,https://img2.finalfantasyxiv.com/f/75684e3c597dd8dba0c9adaa86a681ed_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645130483
26,10795732,42,16,27,55250,,0,55250,Mikana Teka,https://img2.finalfantasyxiv.com/f/5b9cb21b963d432a42e5e3ccfca4d501_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645507915
