,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,6008600,90,15,1,38503,,0,38503,Yu Minesima,https://img2.finalfantasyxiv.com/f/3220156ac3b832b3191128b22f865387_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645033641
1,18795583,90,15,2,16608,,0,16608,Kirsch Blute,https://img2.finalfantasyxiv.com/f/440b40c83717e6c9f6353e2cf4efd63a_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645070331
2,886,90,15,3,7523,,0,7523,Mikan Arida,https://img2.finalfantasyxiv.com/f/a67074e056ab8194f7b49106e29ae66e_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644902083
3,35435,90,15,4,5442,,0,5442,Aruhya Popo,https://img2.finalfantasyxiv.com/f/665a02efa9b0c699aa582863d0ec7d03_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645151272
4,92181,90,15,5,3930,,0,3930,Rosa Alfinia,https://img2.finalfantasyxiv.com/f/029bf81af64fb8fb2ab73c84b4227730_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644760582
5,26478726,90,15,6,3501,,0,3501,Liz Triangle,https://img2.finalfantasyxiv.com/f/a943825cfdbc1ea1bce6d9dd9bb6f153_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645019399
6,26184233,90,15,7,3312,,0,3312,Nu Chrono,https://img2.finalfantasyxiv.com/f/c90df09db1a6c71305742e25601b594c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1644804157
7,23447285,90,15,8,3175,,0,3175,Kuro Hitsuji,https://img2.finalfantasyxiv.com/f/0dfc56a27b27c3a780192018aaa92367_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645057934
8,24289679,90,15,9,2969,,0,2969,Ham Sakura,https://img2.finalfantasyxiv.com/f/aad5fda72632821b018e58af1aa88240_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645080662
9,5385746,90,15,10,2885,,0,2885,Na Eun,https://img2.finalfantasyxiv.com/f/cb4e4b2a1c48752b9ef4e7d41166f7b2_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645003424
10,25568475,90,15,11,2680,,0,2680,Mellow Kino,https://img2.finalfantasyxiv.com/f/bbbf394d15f279d4597add8d6ccad79c_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645132806
11,1322,90,15,12,2545,,0,2545,Kvarfolian Trifolion,https://img2.finalfantasyxiv.com/f/eade6f6b8e4dfb4ca9978efbcea3b26d_3ea38e723c590aabf186367e1eb7e6a1fc0_96x96.jpg?1645125647
12,25980667,90,15,13,2361,,0,2361,Soruca Rig,https://img2.finalfantasyxiv.com/f/f2c21abcfa3ff1b03b2fc2e6cb4fc4e8_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645159040
