,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,5849302,69,8,1,86594,,0,86594,Lychee Glass,https://img2.finalfantasyxiv.com/f/02bf1fd335d919ce8d0467dc73b89fba_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645057628
1,3928295,69,8,2,28992,,0,28992,Oracle Atorandom,https://img2.finalfantasyxiv.com/f/e35cd5f412a084b545f1d70231db31f1_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645043290
2,3503500,69,8,3,24020,,0,24020,Flip Flap,https://img2.finalfantasyxiv.com/f/cd8530a0c1303ff46a9fa62abc6ebdd1_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1644817117
3,2217101,69,8,4,13693,,0,13693,Toru Mccartney,https://img2.finalfantasyxiv.com/f/fa0cd147c8cdfd9898e8fe3eccc37a63_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645121935
4,2529481,69,8,5,6840,,0,6840,Paruru Shimazaki,https://img2.finalfantasyxiv.com/f/6ecf2f91d62c5ac8604b286ce2edc917_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645057457
5,27841513,69,8,6,6677,,0,6677,Sharon Hyuberiosu,https://img2.finalfantasyxiv.com/f/636e4b8b548aec35b45db3e5b108f237_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644765442
6,1573047,69,8,7,4504,,0,4504,Theo Waitz,https://img2.finalfantasyxiv.com/f/f57c2729e6de9c12d42c52eaf410964c_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645039457
7,6320902,69,8,8,3202,,0,3202,Lilitea Silvestri,https://img2.finalfantasyxiv.com/f/a13d4703aa07d0af23efe5ebd43dc352_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645180116
8,17284102,69,8,9,2683,,0,2683,Elun Azul,https://img2.finalfantasyxiv.com/f/794690f8f446e45b886751520144223b_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644994868
9,4274449,69,8,10,2043,,0,2043,Yuki Ilcuore,https://img2.finalfantasyxiv.com/f/2a2b0a2a83153646ec0bac8cf4c886a5_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645077752
10,1644707,69,8,11,1737,,0,1737,Ryuke Fiaruda,https://img2.finalfantasyxiv.com/f/a1707544504b6de4b8eed6322cb82066_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645167653
11,17748546,69,8,12,1703,,0,1703,Bean Paste,https://img2.finalfantasyxiv.com/f/47026469aa6f3be6f6aed492f3345410_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644985319
12,13455449,69,8,13,1348,,0,1348,Isharta Dion,https://img2.finalfantasyxiv.com/f/5c6252abcf27c26882e252052504f957_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644851728
13,21309106,69,8,14,1259,,0,1259,Momo Yatsurugi,https://img2.finalfantasyxiv.com/f/ac6f2fddc67a78d11e6bcb9cf26241d1_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645082698
14,10684198,69,8,15,1012,,0,1012,Zyuria Mi'fetora,https://img2.finalfantasyxiv.com/f/1e116346cea61c8675fe24711496d769_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644956520
15,2306526,69,8,16,979,,0,979,Kinaco Motti,https://img2.finalfantasyxiv.com/f/720d8fc6da16ebcf6d42681e38e27dfe_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645179024
