,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,16559242,53,17,1,60345,,0,60345,Melanie Arai,https://img2.finalfantasyxiv.com/f/9f749412d6bb0ed298bee639abd1a96d_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644780721
1,24651603,53,17,2,53558,,0,53558,Primrose Sugarplum,https://img2.finalfantasyxiv.com/f/be4080b3f4325f45547846448c82b829_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645161617
2,11511672,53,17,3,47298,,0,47298,Keldav Emeria,https://img2.finalfantasyxiv.com/f/b6a1a79efa44dd506abf7f8ab587a4cb_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645122361
3,2547780,53,17,4,37612,,0,37612,Ceeth Durota,https://img2.finalfantasyxiv.com/f/db1675a008ee4fcc33a979c3938975f3_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644968123
4,3227649,53,17,5,31817,,0,31817,Tesehvu Hoodwinks,https://img2.finalfantasyxiv.com/f/c2d1914bf3da70cd5dc103e043b7bc7d_c514cdcdb619439df97d906d4434ccc6fc0_96x96.jpg?1644770024
5,13174560,53,17,6,31113,,0,31113,Alpappell Ponchocho,https://img2.finalfantasyxiv.com/f/6ea876beb935d75b39eb9af05431e01a_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645016228
6,27439551,53,17,7,28937,,0,28937,Crystal Sandwich,https://img2.finalfantasyxiv.com/f/d5faf79576f44953b9ccf58cb0a854d6_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644990444
7,28050445,53,17,8,27276,,0,27276,Bum Sum,https://img2.finalfantasyxiv.com/f/76d057fa295cee0a3b2c6c0504dd8980_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645056547
8,18397975,53,17,9,26273,,0,26273,Star Bara,https://img2.finalfantasyxiv.com/f/75fc6a5aabb4030ea19c752f068b5db9_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645058261
9,14975596,53,17,10,25343,,0,25343,Ren Ette,https://img2.finalfantasyxiv.com/f/8845dfb4fcea4aee46ce020d371f2358_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645106404
10,15237476,53,17,11,24996,,0,24996,Saeran Choi,https://img2.finalfantasyxiv.com/f/6ed3ecfb112889ecd0c1814484d64e00_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645122468
11,25577387,53,17,12,24722,,0,24722,Valentine Vieux,https://img2.finalfantasyxiv.com/f/6e1f4088040c4158989b7904f19fd5c1_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644885918
12,24482672,53,17,13,23730,,0,23730,Sami'a Lyehga,https://img2.finalfantasyxiv.com/f/47c187eafb3e07637a2af375fed8017c_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645142781
13,3479628,53,17,14,22534,,0,22534,Mr Piccolo,https://img2.finalfantasyxiv.com/f/ec71f5b998be04f58e3211276756e58e_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645179408
14,4242582,53,17,15,22345,,0,22345,Kisura Uchiha,https://img2.finalfantasyxiv.com/f/d4a5c89faca5ea18997f067af8aff167_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645066016
15,4328146,53,17,16,21984,,0,21984,Jill Miyu,https://img2.finalfantasyxiv.com/f/90defc7e16392d801df3ee69c2e1e27b_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1644872442
