,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,18710035,59,14,1,292485,,0,292485,Peropero Yuunan,https://img2.finalfantasyxiv.com/f/a65eb14be3b5e25baf7279159bc4717d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644755109
1,17888651,59,14,2,39293,,0,39293,Kyukyu Alab,https://img2.finalfantasyxiv.com/f/1b19cf2022f9a43427f92c0d71490e6a_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1645010829
2,22027309,59,14,3,26136,,0,26136,Amane Lias,https://img2.finalfantasyxiv.com/f/9cf5d1a505b992dea985c1a6cf38b223_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645111636
3,21921099,59,14,4,18904,,0,18904,Aster Scholar,https://img2.finalfantasyxiv.com/f/3accdcbf490abc4775edf61cd8d0a93c_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644835132
4,23768061,59,14,5,16097,,0,16097,Lupinus Bern,https://img2.finalfantasyxiv.com/f/24ee9772e9e4deae97633e0151aad154_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644766243
5,11596161,59,14,6,15032,,0,15032,Rain Bunny,https://img2.finalfantasyxiv.com/f/3270ef4f6e14bc11eab58565595a0f28_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645059991
6,25002939,59,14,7,11600,,0,11600,Ren Verona,https://img2.finalfantasyxiv.com/f/037eada589afd69adb8c7e4d3cb8b022_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644963089
7,19491138,59,14,8,7110,,0,7110,Mikasa Kasagiri,https://img2.finalfantasyxiv.com/f/cc0574a82ca1b4881eebeb14273bdb20_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645057670
8,24884614,59,14,9,6195,,0,6195,Neun Zehn,https://img2.finalfantasyxiv.com/f/c9b58f1d2569f86fa148473061486e49_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645177611
9,18415577,59,14,10,5492,,0,5492,Enishi Yoi,https://img2.finalfantasyxiv.com/f/fcb530da5ea14a5175e707fb703c495e_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645075685
