,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,14752987,36,10,1,20195,,0,20195,Weisz Kinoc,https://img2.finalfantasyxiv.com/f/b8967a848d9d9b0d60500632a2c347be_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645044581
1,11296012,36,10,2,10913,,0,10913,Selena Arcadia,https://img2.finalfantasyxiv.com/f/25613e8053dd089e1b98acbfc9c61ed1_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645055868
2,14029611,36,10,3,7579,,0,7579,Aura Rose,https://img2.finalfantasyxiv.com/f/046312c338d49579b1c4c21a63559ab2_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645053262
3,11000069,36,10,4,7243,,0,7243,Mystearica Alynn,https://img2.finalfantasyxiv.com/f/2e26734a112917990bb5ef9c1ac080a9_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645029975
4,22780300,36,10,5,6954,,0,6954,Senna Komori,https://img2.finalfantasyxiv.com/f/a034ded619d7d532ac69185498b19484_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1645119511
5,12765423,36,10,6,5760,,0,5760,Godbear Minx,https://img2.finalfantasyxiv.com/f/232ff8950de7261d1603c3657c2d170d_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645157256
6,10241937,36,10,7,5353,,0,5353,Maiyuki Satsuki,https://img2.finalfantasyxiv.com/f/6f58f7c341593010228d4131f3cb438a_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645051003
7,10486101,36,10,8,4796,,0,4796,Ladwi Vyrix,https://img2.finalfantasyxiv.com/f/ad1f43d3bd12fbdeef3fe03654d23394_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644930057
8,13132406,36,10,9,4791,,0,4791,Clairence Valancourt,https://img2.finalfantasyxiv.com/f/bc0d466c4d19c57d613249a5dab5d860_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644829502
9,16153345,36,10,10,4288,,0,4288,Thederion Bornsyn,https://img2.finalfantasyxiv.com/f/246f4dab0ae55a7eb1ed5fec9d29bad8_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645053166
10,4356905,36,10,11,3690,,0,3690,Seregil Solidor,https://img2.finalfantasyxiv.com/f/f74db481197dead93d5a02d4a5df0837_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645001199
11,23742948,36,10,12,2880,,0,2880,Lotharius Lux,https://img2.finalfantasyxiv.com/f/ab353734d9a5b6444b01128bb560c744_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645088902
12,25850359,36,10,13,2796,,0,2796,Sophiaxes Jara,https://img2.finalfantasyxiv.com/f/4d9f0f5eaa4807bcecdeb6dc795b87af_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644824469
13,24767822,36,10,14,2490,,0,2490,Gwen Dunharrow,https://img2.finalfantasyxiv.com/f/4af65ebb1d2cdbb2df8b1ffbe80abc1b_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644962892
14,2829766,36,10,15,2486,,0,2486,Yunna Tomowaki,https://img2.finalfantasyxiv.com/f/52a7a81a963a5b2de171de7d129ba964_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645089418
15,4723435,36,10,16,2370,,0,2370,Yukako Tomowaki,https://img2.finalfantasyxiv.com/f/fd49fffd7aa49cc9185302756fa730a7_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644783973
16,11987697,36,10,17,1800,,0,1800,Sky Foot,https://img2.finalfantasyxiv.com/f/5ef607628a95e07aa0ba4833e540ed84_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645150809
17,19549221,36,10,18,1749,,0,1749,Aya Twilightscale,https://img2.finalfantasyxiv.com/f/129e4c241ba8b683edfe24631bb15f9f_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645066819
18,12763654,36,10,19,1740,,0,1740,Abby Mills,https://img2.finalfantasyxiv.com/f/2124e78c4216179b7750b2f57fddeeaf_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645113825
19,6097319,36,10,20,1708,,0,1708,Mikasa Jaeger,https://img2.finalfantasyxiv.com/f/b7161e77be9f61c410f3ce67f4fb45ed_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645172611
20,16146266,36,10,21,1698,,0,1698,Raneds Bears,https://img2.finalfantasyxiv.com/f/9a9d2425f165e45fd12e6cb87ba1e2b1_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645081268
21,20869408,36,10,22,1629,,0,1629,Marcus Milo,https://img2.finalfantasyxiv.com/f/5a32ca7c6fe8a5f04152d88028898164_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645122788
22,10471291,36,10,23,1526,,0,1526,Thraja Shodow,https://img2.finalfantasyxiv.com/f/5705e43126229f54782079333e5e4bc0_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1645007250
