,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,12795579,82,10,1,37679,,0,37679,Flare Scarlet,https://img2.finalfantasyxiv.com/f/dbc25707b8d395985db090d86960dc7e_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645086182
1,9594463,82,10,2,21982,,0,21982,Minami Gattoni,https://img2.finalfantasyxiv.com/f/12e41081cb8854087e0488f0d5ad6e7d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645063930
2,17793972,82,10,3,21197,,0,21197,Toppan Press,https://img2.finalfantasyxiv.com/f/37adcb87dd875d6594d0eecfbc407218_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645152721
3,2172780,82,10,4,18421,,0,18421,Dina Ubyltuwyn,https://img2.finalfantasyxiv.com/f/0854585c8d4a54431813c4cc8b5c0344_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645118490
4,16855711,82,10,5,7410,,0,7410,Yuhannes Kirkland,https://img2.finalfantasyxiv.com/f/651e4a1c6d1f555fc51de59cbc2b22fe_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645011985
5,18754448,82,10,6,6330,,0,6330,Yukinko Kyouju,https://img2.finalfantasyxiv.com/f/403da2dc2513cb92845833451a1052de_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644995081
6,1675567,82,10,7,6257,,0,6257,Imber Yy,https://img2.finalfantasyxiv.com/f/148e249e446c0b6b20aa7903b594e838_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644971572
7,2580605,82,10,8,5130,,0,5130,Syam Roze,https://img2.finalfantasyxiv.com/f/7471bbc41322f67c505389b08da2cee2_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644978581
8,11885987,82,10,9,4315,,0,4315,Iso Iso,https://img2.finalfantasyxiv.com/f/993e212525316b99e8a55bd5047c592c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644988195
9,1644501,82,10,10,3983,,0,3983,Galactose Sugar,https://img2.finalfantasyxiv.com/f/b12e757c4a7776dfa851a131708e15d2_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645048557
10,15806576,82,10,11,3600,,0,3600,Diad Yurias,https://img2.finalfantasyxiv.com/f/01e062da07d26a7729e7017e5f96a7b2_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644949344
11,16320715,82,10,12,3536,,0,3536,Haze Holly,https://img2.finalfantasyxiv.com/f/b608911bac4c8f812a79317560411a1a_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1645017918
12,22685319,82,10,13,3311,,0,3311,Tore Co,https://img2.finalfantasyxiv.com/f/b84e3c87495dcd2fe9bb60ad0e14d56f_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644771153
13,9454689,82,10,14,3300,,0,3300,Oho Shi,https://img2.finalfantasyxiv.com/f/442abe6616d9875ae474484767c589fa_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645032187
