,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,10433383,65,10,1,52361,,0,52361,Emini Kissu,https://img2.finalfantasyxiv.com/f/1c0c1d4d24b2a98f157ddb5840518d4d_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645112470
1,16022820,65,10,2,27307,,0,27307,Amenti Meshangi,https://img2.finalfantasyxiv.com/f/f811e0d266b1a99cf73d1692cdad45b4_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645149295
2,2892330,65,10,3,22096,,0,22096,Rigor Mortis,https://img2.finalfantasyxiv.com/f/0de08dbb0c799e4b66b1abdad66f8cb8_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645053488
3,23305646,65,10,4,12775,,0,12775,Name's Taken,https://img2.finalfantasyxiv.com/f/47804b70b5a40b4264e3bc79a44dd0a6_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645133536
4,2237979,65,10,5,6732,,0,6732,Pruviant Arclight,https://img2.finalfantasyxiv.com/f/bbe94dbefa244ddd0a873ba018ff9d83_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645174996
5,7131865,65,10,6,5160,,0,5160,Deshavi Kirin,https://img2.finalfantasyxiv.com/f/cc7315def6b017352dc413d1e2504ffc_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644934709
6,6480733,65,10,7,4366,,0,4366,Thunderthighs Crybaby,https://img2.finalfantasyxiv.com/f/fe71ce9e9eded931a168408db83d1b8c_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645016646
7,12363438,65,10,8,3588,,0,3588,Narius Lake,https://img2.finalfantasyxiv.com/f/c537ac98b7d1c71b921cf850a6b7551c_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645078576
8,13344941,65,10,9,3523,,0,3523,Adarel Vinna,https://img2.finalfantasyxiv.com/f/95caa4f2c9a6012a2007d326a25d81a7_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645183813
9,15515621,65,10,10,3314,,0,3314,Enya Turron,https://img2.finalfantasyxiv.com/f/dea1eb38a053befc40a97bee6a575be5_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645181398
10,9656365,65,10,11,2640,,0,2640,Celia Leda,https://img2.finalfantasyxiv.com/f/851ffb273f9121f6db0428e3cf1554d0_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645031777
11,10948814,65,10,12,2381,,0,2381,Tabitha Satori,https://img2.finalfantasyxiv.com/f/918f27e53567618b27f505908fa8c2af_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645138844
12,28201427,65,10,13,2054,,0,2054,Breccia Seven,https://img2.finalfantasyxiv.com/f/7fbc82da91e99387477954251e686ea7_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645097500
