,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,19842202,66,9,1,75838,,0,75838,Eyris Mitsuyuki,https://img2.finalfantasyxiv.com/f/3c2602d54a80471adf5ba4bbb666eb91_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645173730
1,8879480,66,9,2,57125,,0,57125,Searth Stormcurse,https://img2.finalfantasyxiv.com/f/4672146c9de5e7718f34f8a240f7a8a2_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645044900
2,6261647,66,9,3,54482,,0,54482,Blue Storm,https://img2.finalfantasyxiv.com/f/88675cafc5d00d8006eacbc25b158daf_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645134617
3,2373655,66,9,4,42291,,0,42291,Vlythra Moonshadow,https://img2.finalfantasyxiv.com/f/0c47b2ec22bccabe352f814ee9e216ed_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645014018
4,2228299,66,9,5,35643,,0,35643,Eirah Everdream,https://img2.finalfantasyxiv.com/f/768224e8f53576a114784cd5c195f8bb_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645161873
5,18568859,66,9,6,27278,,0,27278,Vala Mossvine,https://img2.finalfantasyxiv.com/f/a5f58cb6fef1233b78977c60844f658f_c274370774c6bc3483cc8740805f41bcfc0_96x96.jpg?1644904292
6,22593021,66,9,7,24180,,0,24180,Antonius Xavalien,https://img2.finalfantasyxiv.com/f/3260519adf70f797b39305bc9aabeee6_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645052809
7,24607956,66,9,8,14454,,0,14454,Melo Diz,https://img2.finalfantasyxiv.com/f/f955d1ca73f7ecd6327c98f4c017f27e_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645070496
8,6712655,66,9,9,12244,,0,12244,Scarlett Dark,https://img2.finalfantasyxiv.com/f/25b024567f10858f61b2df18ad304477_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645120816
9,9986974,66,9,10,7850,,0,7850,Hilde Redsteele,https://img2.finalfantasyxiv.com/f/da743ef3f08210149547fa69c4a83106_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645089345
