,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22445494,52,16,1,72200,,0,72200,Turara Lihzes,https://img2.finalfantasyxiv.com/f/d1dec8973d5c33566b658cf78e1f03d4_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645092419
1,22051227,52,16,2,48246,,0,48246,Fanary Kaibell,https://img2.finalfantasyxiv.com/f/e500b96148ccc7968473667680669dc4_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645030449
2,21225067,52,16,3,40560,,0,40560,Ash Mocho,https://img2.finalfantasyxiv.com/f/6d4514d60d355edcc8ea99c2be0ce586_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645015201
3,26234492,52,16,4,34525,,0,34525,Wakana Nagase,https://img2.finalfantasyxiv.com/f/5e941a429f0c7dc8b8410cf9ad8fe8d8_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644634124
4,27108443,52,16,5,33988,,0,33988,Sin Karas,https://img2.finalfantasyxiv.com/f/ed0e132ffb4cae895635898b1aba6a60_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645095677
5,28566172,52,16,6,32811,,0,32811,Habanero Boukun,https://img2.finalfantasyxiv.com/f/875dbb2d94fe76c71c094e8d32e6b266_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644933833
6,11081625,52,16,7,32721,,0,32721,Tomoyo Clannad,https://img2.finalfantasyxiv.com/f/62721c33323f3b094900ec06ec5d9e7f_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644772962
7,5850133,52,16,8,32331,,0,32331,Kabuto Ken,https://img2.finalfantasyxiv.com/f/fa72d94177cb926e7a385dc51c64ac3b_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645154245
8,19611241,52,16,9,31846,,0,31846,Sk Raou,https://img2.finalfantasyxiv.com/f/36a8cf5f172fa6fe0c6282c15814145d_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645181485
9,13074831,52,16,10,28171,,0,28171,Rute Moskie,https://img2.finalfantasyxiv.com/f/267dcbc2f6db9a7e2c4892866741d01e_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645012511
10,23025143,52,16,11,27253,,0,27253,Akane Kotonoha,https://img2.finalfantasyxiv.com/f/58657a4f4f9eaab0a7c916b8cf3a635c_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644767834
11,25699694,52,16,12,27075,,0,27075,Kochi Haru,https://img2.finalfantasyxiv.com/f/377063e97cdee85d74c8a04b6e1b42c7_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645119527
12,3217610,52,16,13,25084,,0,25084,Luco Seem,https://img2.finalfantasyxiv.com/f/16c10a0b4a902b4940b6ee92a72faff1_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644944297
13,28505829,52,16,14,24267,,0,24267,Eria Charmer,https://img2.finalfantasyxiv.com/f/7da6033fdd916b15b52aee250991dd39_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644796271
14,22793643,52,16,15,24197,,0,24197,Riku Tenma,https://img2.finalfantasyxiv.com/f/e80778dba43ed8c02f6c714fe90d3c94_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645029869
15,27855057,52,16,16,23511,,0,23511,Ruggle Duvalier,https://img2.finalfantasyxiv.com/f/d5cc26c2c8e1c69f502ad2d6f76e2fc2_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645059243
16,14121056,52,16,17,22617,,0,22617,Bootscat Shamshir,https://img2.finalfantasyxiv.com/f/625415490e684a816fae9dbc3eed08f4_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645166408
17,4316940,52,16,18,22325,,0,22325,Alicia Einzbren,https://img2.finalfantasyxiv.com/f/b235d695789939a11b2c5c08d1949bdc_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645024136
18,16248981,52,16,19,21903,,0,21903,Sidney Snow,https://img2.finalfantasyxiv.com/f/7e54eff33e4b4474ec9be0cb10d63a24_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644919444
19,9459488,52,16,20,21624,,0,21624,Path Regl,https://img2.finalfantasyxiv.com/f/77cf51e0e5f5f7ec79ab8656c7406e73_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645023558
20,13355991,52,16,21,21068,,0,21068,Idzuna Valiele,https://img2.finalfantasyxiv.com/f/9c4c629f1cee3b3ef70eb56d499bd593_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645142935
21,23566548,52,16,22,20241,,0,20241,Kai Lunan,https://img2.finalfantasyxiv.com/f/2a414926de1c8a54486a8fc1032f4c88_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645109331
22,22633745,52,16,23,19742,,0,19742,Rin Evol,https://img2.finalfantasyxiv.com/f/daf0e1140b1c6cae6bc340eea369ea4d_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645154800
23,1624908,52,16,24,18729,,0,18729,Calme Etincelant,https://img2.finalfantasyxiv.com/f/8171e94258c952b546d61b2fc9700fdc_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644966870
24,17756387,52,16,25,18671,,0,18671,Iishi Machi,https://img2.finalfantasyxiv.com/f/15860b19520111afe34ff80defc645df_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644979816
25,15482968,52,16,26,18623,,0,18623,Remate Lunatear,https://img2.finalfantasyxiv.com/f/efeba96319b7b6634fa102d3752eb21c_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644955742
26,7262409,52,16,27,17945,,0,17945,Tatsuki The-ripper,https://img2.finalfantasyxiv.com/f/0c839f91f62f5c93cd83e4d66f528bd2_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645107007
27,12825529,52,16,28,17376,,0,17376,Momiji Ibaneze,https://img2.finalfantasyxiv.com/f/53c7c1179bf0832724ae84c9aaaef5de_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644793227
28,10831691,52,16,29,17233,,0,17233,Kiht'li Zhwan,https://img2.finalfantasyxiv.com/f/5cf897d815b507cb63aaab7a97820f89_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644969503
29,25598611,52,16,30,17073,,0,17073,Schna Fluffy,https://img2.finalfantasyxiv.com/f/6c448fc2e5997ecee29f034cafe42513_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645000633
30,25470989,52,16,31,16970,,0,16970,Mizuki Akane,https://img2.finalfantasyxiv.com/f/5825a9c14efa3148b58248f197f31619_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644780149
31,25973096,52,16,32,16913,,0,16913,Kunado Sainokami,https://img2.finalfantasyxiv.com/f/ef5b0a318f0ea140f1ab09dc8d26a44c_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645112802
32,28450358,52,16,33,16014,,0,16014,Eumelia Sniaw,https://img2.finalfantasyxiv.com/f/fc0f3f76e45797ccef9bef80fd5454cc_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644989729
33,25760984,52,16,34,15854,,0,15854,Sesirun Fu-ma,https://img2.finalfantasyxiv.com/f/733741a223449c72fd6b8e72a5e5c250_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645129396
34,20079030,52,16,35,15679,,0,15679,Lune Etoile,https://img2.finalfantasyxiv.com/f/27d913801aa93ec88e7c3f064dcffab1_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645033128
35,25839903,52,16,36,15569,,0,15569,Setsuna Snowgreen,https://img2.finalfantasyxiv.com/f/218e56670f15044f79aee28e865328dd_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645042738
36,28386884,52,16,37,15559,,0,15559,Tebasaki Qwer,https://img2.finalfantasyxiv.com/f/73b7e3277986861cb1820937fc975712_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645163170
37,16602345,52,16,38,15189,,0,15189,Kowloon Habaki,https://img2.finalfantasyxiv.com/f/bb8eecea25310042a9f8f9fb512ef208_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645019955
38,23358439,52,16,39,14998,,0,14998,Miru Reprica,https://img2.finalfantasyxiv.com/f/5f9b9bcbf4ebbd3ef7052614d1ee2575_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645025028
39,8350698,52,16,40,14287,,0,14287,Scarlet Redraven,https://img2.finalfantasyxiv.com/f/004f757a523e6a49b59ea708233e47d2_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645084497
40,27698553,52,16,41,13548,,0,13548,Ria Rivera,https://img2.finalfantasyxiv.com/f/aca9547b4794b0455246740fb33f9cce_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644812985
41,22488781,52,16,42,13463,,0,13463,Irea Cipher,https://img2.finalfantasyxiv.com/f/e8dab074bed5306b200115d3fe8a0e32_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644868630
42,22560008,52,16,43,13458,,0,13458,Aya Layla,https://img2.finalfantasyxiv.com/f/feb4e94d33c2d6a6059d16ddd5ed769f_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645062093
43,24697831,52,16,44,13161,,0,13161,Rei Rinne,https://img2.finalfantasyxiv.com/f/52e692ba5fed0e4752df439065bddd50_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645102449
44,21973495,52,16,45,13160,,0,13160,Mugi Chacha,https://img2.finalfantasyxiv.com/f/b8760c24ddc668e1bdd345db1b0cb28c_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645052043
45,3287705,52,16,46,13070,,0,13070,Cozwind B'c'gyaon,https://img2.finalfantasyxiv.com/f/f266ec66f53fb7a6019c8d24f71e241d_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645083693
46,22157734,52,16,47,13069,,0,13069,Popo Poyon,https://img2.finalfantasyxiv.com/f/bd7bda0999e750ee5fc32922f014fe71_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1607748195
47,27672155,52,16,48,13036,,0,13036,Bufferin Premium,https://img2.finalfantasyxiv.com/f/dec1b2008d4810a9ab04abfacf2a3235_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645128441
48,21418619,52,16,49,12893,,0,12893,Noi Falmer,https://img2.finalfantasyxiv.com/f/c069aa2f8cc3bb0ccf2496a0ed867753_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645176361
49,26210294,52,16,50,12701,,0,12701,Kasi Party,https://img2.finalfantasyxiv.com/f/ee18f5fc96bc5490eb515b15b1d5ae9d_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1644818894
50,20358718,52,16,51,12562,,0,12562,Aki Hito,https://img2.finalfantasyxiv.com/f/8d684c32ae0fdd39991b3c03b28233b7_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644962746
51,723949,52,16,52,12294,,0,12294,Rasheel Winchester,https://img2.finalfantasyxiv.com/f/b716cf95bd0e50081e89b6aecde912c4_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645075848
52,28273889,52,16,53,12254,,0,12254,Emma Erica,https://img2.finalfantasyxiv.com/f/194c7878866430f79b266e25720e33a2_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644911545
53,26157578,52,16,54,12072,,0,12072,Eost Cat,https://img2.finalfantasyxiv.com/f/9fb0c30c39cd2ef38ed5630542c323b4_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645108721
54,18520094,52,16,55,11994,,0,11994,Koane Northrop,https://img2.finalfantasyxiv.com/f/ddabc4b1fcb62203601b203bcb92d360_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645064616
55,23812915,52,16,56,11669,,0,11669,Lassie Neko,https://img2.finalfantasyxiv.com/f/a4d054c50be2540e8313adb2093d31b5_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644644250
56,22507098,52,16,57,11654,,0,11654,Dixon Tito,https://img2.finalfantasyxiv.com/f/ccea4a22c1d623d2b3b34b3f6a885bde_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644983830
57,26241309,52,16,58,11449,,0,11449,Rin Castella,https://img2.finalfantasyxiv.com/f/43ade29e8188fe75de599f04749da7b1_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644977341
58,28197939,52,16,59,11376,,0,11376,Momose Mose,https://img2.finalfantasyxiv.com/f/03e7f3b52fca70f297a3f7741790e3ac_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645124292
59,24301083,52,16,60,11361,,0,11361,Azana Shino,https://img2.finalfantasyxiv.com/f/90e589a4d8bb68d09bf9a1d013bd32f8_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644845959
60,26342087,52,16,61,11180,,0,11180,Aster Drake,https://img2.finalfantasyxiv.com/f/3830e63d313fa95b3839e1613b857d6f_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645071283
61,25645482,52,16,62,11127,,0,11127,Mamiya Siro,https://img2.finalfantasyxiv.com/f/c6f9f250eabae4b75bc0327a597723c4_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644867922
62,26876642,52,16,63,11065,,0,11065,Miroir Oxymoron,https://img2.finalfantasyxiv.com/f/6df3fc0f102d68dbff0c7bd409563cd1_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645076225
63,15029501,52,16,64,10869,,0,10869,Ruler Shock,https://img2.finalfantasyxiv.com/f/15b49276ad3a04e346ae7d1a71a26eae_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644857500
64,18762696,52,16,65,10867,,0,10867,Liselotte Friendear,https://img2.finalfantasyxiv.com/f/9de1a1d8b203c9ed40ae0dda48884f03_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645165788
65,22102589,52,16,66,10795,,0,10795,Cytie Mihiro,https://img2.finalfantasyxiv.com/f/a3b431f24058228eb8dd7c278dd4a28b_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645085842
66,6912786,52,16,67,10751,,0,10751,Sena Kom,https://img2.finalfantasyxiv.com/f/706e6cb4effd768b032059e3bf41761c_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645120800
