,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,4777323,69,9,1,1400000,3.0,775142,624858,Aaron Guiel,https://img2.finalfantasyxiv.com/f/ba046ea986bd4108bb226add25b50456_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645182523
1,8101310,69,9,2,1335552,1.0,1164840,170712,S'ec Ret,https://img2.finalfantasyxiv.com/f/2eb4ee7c0080cce82a15ee1aa56f0371_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645070713
2,5019086,69,9,3,1063453,12.0,199765,863688,Hige Jovovich,https://img2.finalfantasyxiv.com/f/c65d833a28c87ca5714990616a424b6d_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644618308
3,10358694,69,9,4,867436,2.0,791171,76265,Michle Auriol,https://img2.finalfantasyxiv.com/f/2e72d812985b47f2226bf5d54d3945a8_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645142468
4,6126172,69,9,5,522368,13.0,185962,336406,Lere Paer,https://img2.finalfantasyxiv.com/f/e72eb754e3327f6161bc54404caa661a_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645065603
5,1687587,69,9,6,507893,15.0,160818,347075,Rea Neustadt,https://img2.finalfantasyxiv.com/f/2608da278f41d5798da8e8edabfcbcba_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645102969
6,15431693,69,9,7,500192,4.0,500192,0,Final Fantasy-player,https://img2.finalfantasyxiv.com/f/fc286eeaf007e6d6fb6c13f7567f2f83_a4730651230dd43cb129562a30d531aefc0_96x96.jpg?1645112509
7,16926915,69,9,8,500071,5.0,500071,0,Fullarmor Vii-viii-i,https://img2.finalfantasyxiv.com/f/e80eb3aca353db23180b7da81c520292_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645164872
8,25679422,69,9,9,472140,6.0,402733,69407,Alba Trion,https://img2.finalfantasyxiv.com/f/d145000d45b64865b795aaa52da1177d_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645143357
9,13529553,69,9,10,450310,16.0,143898,306412,Iookg Hyap,https://img2.finalfantasyxiv.com/f/1c9aefb191cb0aa5a5f87f5a2c65ee04_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645161279
10,9717127,69,9,11,405826,7.0,358493,47333,Himea Luna,https://img2.finalfantasyxiv.com/f/702da6d9227af75bfc9a05df92579525_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1644951666
11,7033612,69,9,12,391869,8.0,331295,60574,Hugues Piaf,https://img2.finalfantasyxiv.com/f/e4407260b2b31b84345f89c37efb4136_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645036471
