,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,3696737,91,8,1,1360217,2.0,774271,585946,C'saka Kahjai,https://img2.finalfantasyxiv.com/f/235c867ee9876f00c28d146be1f0fcee_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645190648
1,6677442,91,8,2,1219715,1.0,933627,286088,Luce Agreas,https://img2.finalfantasyxiv.com/f/201b5d2054c3ef530e0e235abf54cd0a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644949721
2,4219354,91,8,3,832103,3.0,693750,138353,Tairront Ancelot,https://img2.finalfantasyxiv.com/f/0b7265ee2e92ddae2eb6bd1d176488cd_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645165649
3,16256039,91,8,4,710126,5.0,600212,109914,Selfina Sinuvar,https://img2.finalfantasyxiv.com/f/98a4114ef451765d3858b0eab143bcba_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645074472
4,30152444,91,8,5,703160,6.0,576708,126452,Kaneki Kazuto,https://img2.finalfantasyxiv.com/f/99748c8cb71f59997aa9447b3530ce58_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645079792
5,7720340,91,8,6,700039,7.0,553068,146971,Nonoliri Cocoliri,https://img2.finalfantasyxiv.com/f/e418e8ad9cae8bce51344e2792898241_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645142249
6,29942258,91,8,7,698676,4.0,663272,35404,Lunalesca Seiun,https://img2.finalfantasyxiv.com/f/98649525a06d8799de8ee973e55e009a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644693727
7,11519739,91,8,8,634013,8.0,496757,137256,Eldegai Malaguld,https://img2.finalfantasyxiv.com/f/a092d958227c42a98549575b1fd65b4d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645040367
8,10054613,91,8,9,573643,10.0,463286,110357,Lupus Maxius,https://img2.finalfantasyxiv.com/f/5dfa5b2ddf0459faa15299febeea77c3_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645110538
9,26791193,91,8,10,559649,9.0,480870,78779,Y'shai Yhunja,https://img2.finalfantasyxiv.com/f/fa77a73997dc3fca4c8da7f4c436883f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645181311
10,200865,91,8,11,544924,15.0,217388,327536,Alice Eizenheim,https://img2.finalfantasyxiv.com/f/c516b686ff8301c758ac08daef5e4ff8_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645075787
11,1537652,91,8,12,540815,11.0,425604,115211,Chrysomallos Krios,https://img2.finalfantasyxiv.com/f/6b7ac85c1510318b4723eae571bc1f1b_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644981866
12,12219794,91,8,13,414890,12.0,329043,85847,Talan Dracht,https://img2.finalfantasyxiv.com/f/f9c32e6b5cadbf657fff91181d9c5a05_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644783110
13,10840418,91,8,14,412753,14.0,227200,185553,Kimiie Reine,https://img2.finalfantasyxiv.com/f/5845576b7d310753100c555fcf2a03b2_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645165023
14,2913850,91,8,15,312617,13.0,299818,12799,Cloaking Lioncourt,https://img2.finalfantasyxiv.com/f/5d06a9ffcc326d310a173df9424206a5_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645158527
15,2272887,91,8,16,88816,16.0,88816,0,Tantantaru Lolotaru,https://img2.finalfantasyxiv.com/f/8279326dbb174be4ea38f202940fc898_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644775239
16,13021351,91,8,17,43597,17.0,43597,0,Elphanse Silmontaix,https://img2.finalfantasyxiv.com/f/90dd650e87b07cbc61cee4ad9fd8517e_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644863335
17,10941662,91,8,18,38852,18.0,31043,7809,Frelia Hawksley,https://img2.finalfantasyxiv.com/f/9b63a0fc500a4fa4362b11d289166f9b_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644699606
18,6267396,91,8,19,30848,19.0,30848,0,Corvellia Berger,https://img2.finalfantasyxiv.com/f/64074e48b371e766e5738e4d9990d83a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644836733
19,8199645,91,8,20,29565,20.0,28755,810,Tristan Adelbern,https://img2.finalfantasyxiv.com/f/5219174ca4bf690b8312bb0ecaca080c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645145670
20,8770117,91,8,21,27625,21.0,26056,1569,Yulia Arseid,https://img2.finalfantasyxiv.com/f/8f9f0463b1963dfd57a795509fd5e6db_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645082851
21,11454918,91,8,22,25195,22.0,23245,1950,M'teshi Rahz,https://img2.finalfantasyxiv.com/f/f2e1249c804155151b188f1332f6c4c0_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644813367
22,7259918,91,8,23,22069,23.0,22069,0,Aris Frey,https://img2.finalfantasyxiv.com/f/30d168d61bef3db482cb214541288607_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645063426
23,11842908,91,8,24,14743,24.0,14743,0,Bardon Steele,https://img2.finalfantasyxiv.com/f/083a0219e068c02b43c69b249825402c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644602426
24,15264858,91,8,25,14428,25.0,13530,898,Seiun Uyagir,https://img2.finalfantasyxiv.com/f/ffa90d20f2e535b2be014e4f5cb31320_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645177872
25,11049292,91,8,26,11503,29.0,10903,600,Scynestra Fatewalker,https://img2.finalfantasyxiv.com/f/545568042b73c28d2699a6dea2803eea_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645065182
26,16726229,91,8,27,11347,26.0,11347,0,Sarto'rien Faltomyri,https://img2.finalfantasyxiv.com/f/ac9a5e9013587e7c9c05348a1f91ef62_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644803705
27,16450115,91,8,28,11275,58.0,5158,6117,Reginald Drachenvene,https://img2.finalfantasyxiv.com/f/d1b188d73624334a862ea23ac6ce7b56_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645083357
28,2386586,91,8,29,11252,27.0,11252,0,Jysna Tanssija,https://img2.finalfantasyxiv.com/f/de1ffaf04f03275c9c382f035b43a3e0_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644809569
29,300237,91,8,30,11020,28.0,11020,0,Jace Hunter,https://img2.finalfantasyxiv.com/f/13f6ddd5f05595efd935df3d221d60c1_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644840021
30,8242212,91,8,31,10964,31.0,10169,795,Lorax Okochi,https://img2.finalfantasyxiv.com/f/306d25d20afeae8c1935ec7cea7005cf_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645088330
31,304498,91,8,32,10500,46.0,6271,4229,Blade Belisaire,https://img2.finalfantasyxiv.com/f/fcd42e573492b43ed7668afd139fdc67_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645111215
32,8319409,91,8,33,10368,30.0,10368,0,Nalukai Swarfjaryn,https://img2.finalfantasyxiv.com/f/742786735c07447911eea448cc1e8c4f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645110111
33,26918969,91,8,34,10158,32.0,10158,0,White' Rabbit,https://img2.finalfantasyxiv.com/f/0f76e68d62644c4f5b4ef42e06c96f05_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645105192
34,27571541,91,8,35,8542,39.0,7342,1200,Kiht'a Nhaesin,https://img2.finalfantasyxiv.com/f/38a0ee14bd2d7c28887022d8a8c82667_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645093211
35,7609752,91,8,36,8495,33.0,8495,0,Zelo'a Jholaan,https://img2.finalfantasyxiv.com/f/30ca1719f05ee0ce51ce5e5914c54f25_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645143890
36,11501455,91,8,37,7992,43.0,6933,1059,Kelas'ra Sanpou,https://img2.finalfantasyxiv.com/f/20e33158d6b0c9b1fe74502708e2a1c5_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645106167
37,3093727,91,8,38,7983,34.0,7983,0,Ink Leoheart,https://img2.finalfantasyxiv.com/f/d5610d4780e5989cc8e21150662e226e_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644978565
38,16029436,91,8,39,7765,35.0,7765,0,Nhavir Yhvitra,https://img2.finalfantasyxiv.com/f/6c4d95f705e4dbf47845bf49aedf081c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645110378
39,25156750,91,8,40,7707,36.0,7497,210,Natasha Amariyo,https://img2.finalfantasyxiv.com/f/2a258fc843bb2f681bb7ecfc7573a4ce_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644909421
40,8169476,91,8,41,7407,37.0,7407,0,Dorian Rousseau,https://img2.finalfantasyxiv.com/f/87ab0ce518cf4addd18e37c711183270_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645090224
41,14393550,91,8,42,7359,38.0,7359,0,Vex'ahlia Vess,https://img2.finalfantasyxiv.com/f/3bc4a2be5c32e82fe243ff4a657ba8e4_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644907606
42,5172290,91,8,43,7250,40.0,7250,0,Chaza Moonglow,https://img2.finalfantasyxiv.com/f/0c52e95f03edd2adc4585b2453ff815f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645172280
43,16898271,91,8,44,7230,41.0,7230,0,Veis Miret-moor,https://img2.finalfantasyxiv.com/f/f16e1655dc11e1f326188916deee2483_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644892808
44,1577336,91,8,45,7164,42.0,7164,0,C'io Behkt,https://img2.finalfantasyxiv.com/f/7f24c05cfa5c1d627cfba71b3839603f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645107557
45,6531785,91,8,46,6925,44.0,6925,0,Lihli Nbolo,https://img2.finalfantasyxiv.com/f/60aa255632cfcfefbe15a5f476890103_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644981634
46,8804749,91,8,47,6859,49.0,5910,949,Moonbunny Chan,https://img2.finalfantasyxiv.com/f/459c7927a2dca2340f7f378484613683_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645082567
47,25400127,91,8,48,6726,45.0,6726,0,Chloe Hilvan,https://img2.finalfantasyxiv.com/f/0c078aeae7c72fba6c929238a2ba92ba_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644808078
48,5128604,91,8,49,6175,47.0,6175,0,Valerie Firewing,https://img2.finalfantasyxiv.com/f/4e131a2f675cee2722ba3e7e55124bcf_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645004833
49,12626582,91,8,50,5931,48.0,5931,0,Mintawe Mcfluffbutt,https://img2.finalfantasyxiv.com/f/bc0bc5e5d0d19007fea0f7b37bd633cd_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645014962
50,11111728,91,8,51,5753,50.0,5753,0,Nyanpire Mcfluffbutt,https://img2.finalfantasyxiv.com/f/b31ba9690e214b04c3cad2fc8b7ed664_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645063072
51,8663795,91,8,52,5710,59.0,5067,643,A'rasi Rial,https://img2.finalfantasyxiv.com/f/3b92c58b3d562a321386db677a450aff_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644808619
52,16364049,91,8,53,5686,62.0,4456,1230,Kaldirent Brenoy,https://img2.finalfantasyxiv.com/f/56e1ac9c362e49ffba4e8bb2960b122a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645162928
53,16586891,91,8,54,5624,52.0,5534,90,Micaiah Lightsworn,https://img2.finalfantasyxiv.com/f/b67582d536952ee959844e224b08d055_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645064623
54,23153318,91,8,55,5580,51.0,5580,0,Kai Rivers,https://img2.finalfantasyxiv.com/f/47946a992f88c1c3f191674b67e14143_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645099208
55,11467868,91,8,56,5520,53.0,5520,0,Rabbit Punch,https://img2.finalfantasyxiv.com/f/281ecfeb60b40e454412594c15e467d6_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645193908
56,11252270,91,8,57,5494,54.0,5494,0,Aden Dellebecque,https://img2.finalfantasyxiv.com/f/4a39c1e1b93e9ecfd16ed25b4a7759cf_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645126152
57,6303337,91,8,58,5400,55.0,5400,0,Kalto Nalto,https://img2.finalfantasyxiv.com/f/a6bee1cc0f11f1d9da00614a1f3bb976_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644700758
58,21077315,91,8,59,5340,56.0,5340,0,Aranea Highwind',https://img2.finalfantasyxiv.com/f/a8c44a013750f19e3e18164b5bc0433d_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644986271
59,22899619,91,8,60,5220,57.0,5220,0,Miakis Nor,https://img2.finalfantasyxiv.com/f/c50aa853f29036ff331e52aee136b621_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645088549
60,12058946,91,8,61,5079,67.0,3349,1730,Ysebe Tigulryk,https://img2.finalfantasyxiv.com/f/fcef0b1882df7c244c83b8f3255347b7_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645175587
61,4386999,91,8,62,5014,60.0,4785,229,Aldi'ir Imbri,https://img2.finalfantasyxiv.com/f/dc88402513e334cad0de4e647249f104_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645027371
62,10948936,91,8,63,4800,69.0,3030,1770,Rigil Kinnem,https://img2.finalfantasyxiv.com/f/bf647d3ff603fe465aa79c38e3b9e7d6_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645066117
63,4310783,91,8,64,4605,61.0,4605,0,Rahela Waters,https://img2.finalfantasyxiv.com/f/c28feaca320e5eea181c49b713883d15_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645170162
64,16099035,91,8,65,4231,63.0,4231,0,Pyliah Silverbolt,https://img2.finalfantasyxiv.com/f/70396dd48386400c086836aa8ac4255b_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644608892
