,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,17193526,49,15,1,855119,23.0,63767,791352,Yukihime Koneko,https://img2.finalfantasyxiv.com/f/b2d16401f13de0a87e9330dbcdbf51f9_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645098720
1,19728335,49,15,2,771955,3.0,481626,290329,Eris White,https://img2.finalfantasyxiv.com/f/332a009705c8ad21ee77cfc146c3c78f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645101144
2,21475111,49,15,3,724872,1.0,589376,135496,Pickle Tickle,https://img2.finalfantasyxiv.com/f/c37a86cdc1273837cb0a7979dd10288d_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1644906862
3,24310510,49,15,4,581016,2.0,506069,74947,K'yo Murasaki,https://img2.finalfantasyxiv.com/f/2291209237e45ee973ac91eb8792e2f6_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644955853
4,15039868,49,15,5,500361,16.0,158933,341428,Purin Muccin,https://img2.finalfantasyxiv.com/f/a7d7377ecfd1fba0ffb43d19acb94e9c_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644905484
5,27341635,49,15,6,458028,6.0,318840,139188,Seiro Follis,https://img2.finalfantasyxiv.com/f/579ca93bb5fa42f3887aff180b296c99_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645062729
6,18551191,49,15,7,437861,17.0,130695,307166,Primus Palus,https://img2.finalfantasyxiv.com/f/05baba264ebb30c3f0bd373b5b5ada7d_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1644814612
7,20851140,49,15,8,420554,4.0,340742,79812,Rising Soowoop,https://img2.finalfantasyxiv.com/f/2ede61810cb474605bcf4a7138cd01cb_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645125107
8,1659228,49,15,9,420391,5.0,338485,81906,Lotte Latte,https://img2.finalfantasyxiv.com/f/ca2d073bd7785ccb872698aefe9b6221_410ddb5a66a2fcacf538bec5ea5d0291fc0_96x96.jpg?1645128995
9,21165296,49,15,10,419345,7.0,270927,148418,Haru Cocoa,https://img2.finalfantasyxiv.com/f/7a20df73194ba4875ac7d5d86455ac3e_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645028010
10,29509480,49,15,11,384098,10.0,252008,132090,Tuffy Luffy,https://img2.finalfantasyxiv.com/f/a5f1f34eb1e34c071548b8724d485d9d_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645114012
11,18400032,49,15,12,383567,9.0,261762,121805,Fiore Liberi,https://img2.finalfantasyxiv.com/f/f77a756d9197088e7195f99022871739_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644810192
12,14390763,49,15,13,354777,11.0,237669,117108,Adalbert Fahrenheit,https://img2.finalfantasyxiv.com/f/105ecf6761ea1bbc8efc72ff65ccc982_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645170604
13,30164271,49,15,14,319180,14.0,203129,116051,X'ghonako Xhalu,https://img2.finalfantasyxiv.com/f/a82c91b810ac5b90b98b0a560ec163ab_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645045597
14,24039455,49,15,15,317620,8.0,270829,46791,Hitsuji Hitsuji,https://img2.finalfantasyxiv.com/f/57128a966e687a4f7d33575af334f935_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645159305
15,6389824,49,15,16,230638,12.0,230638,0,Terry Bonaparte,https://img2.finalfantasyxiv.com/f/95c3401d44e061bb374c712117534198_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645059167
16,3881021,49,15,17,214487,13.0,210394,4093,Nickel Oxide,https://img2.finalfantasyxiv.com/f/c72965adca6234945c313f594c756e8f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644835945
17,26376348,49,15,18,186242,15.0,184087,2155,Towa Gocewa,https://img2.finalfantasyxiv.com/f/a67dc6efdbe21e3e822116e4e96bf7e4_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644788309
18,13136662,49,15,19,151899,18.0,117659,34240,Selene Winchester,https://img2.finalfantasyxiv.com/f/714b7c6db0bea56a72d8e4e10b1c60fe_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645003246
