,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,6389824,49,11,1,1017892,6.0,405145,612747,Terry Bonaparte,https://img2.finalfantasyxiv.com/f/95c3401d44e061bb374c712117534198_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645059167
1,11885748,49,11,2,976039,2.0,620214,355825,Reon Niarevir,https://img2.finalfantasyxiv.com/f/5fb78e990250bf6d1bae6ef2d3ec25ad_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644895873
2,17193526,49,11,3,802656,1.0,802656,0,Yukihime Koneko,https://img2.finalfantasyxiv.com/f/b2d16401f13de0a87e9330dbcdbf51f9_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645098720
3,8351076,49,11,4,576387,3.0,509056,67331,Tane Marururu,https://img2.finalfantasyxiv.com/f/5f5af80aef3be926b8394460584cfce3_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645080555
4,9630461,49,11,5,543794,5.0,415986,127808,Kiyo Kiyotaka,https://img2.finalfantasyxiv.com/f/9a95f204ddfb730ac8d0e77cdc0842ed_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645188358
5,9884124,49,11,6,521748,7.0,381518,140230,White Aldis,https://img2.finalfantasyxiv.com/f/c552db684304a16120481099991b3afb_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645130214
6,4521643,49,11,7,517588,20.0,35853,481735,Rena Vhuh,https://img2.finalfantasyxiv.com/f/57b9db49d3bcf42272c031f9649db625_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645139676
7,2243965,49,11,8,503027,4.0,503027,0,Shi'loh Seaworth,https://img2.finalfantasyxiv.com/f/0ac78fe1f5d3b51039f570eaa80daab0_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645051949
8,18429183,49,11,9,478696,8.0,363381,115315,Ciliegio Croce,https://img2.finalfantasyxiv.com/f/52dad03e50b2c79140300a3137351fb7_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645120110
9,23006468,49,11,10,322128,9.0,272888,49240,Tobicorn Blackrose,https://img2.finalfantasyxiv.com/f/46d3393d233126bae74a43b67f5e9458_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645091157
10,11757524,49,11,11,321919,10.0,216311,105608,Elise Aanstoot,https://img2.finalfantasyxiv.com/f/b803eadf5294d4fdc26f2d91440ce9d3_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644943730
11,19392877,49,11,12,288475,21.0,32017,256458,Curry Way,https://img2.finalfantasyxiv.com/f/afa6e113f743d1927c06c610426cb11d_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1644969064
12,25044152,49,11,13,277721,14.0,83943,193778,Alison Belrose,https://img2.finalfantasyxiv.com/f/c3b1bd79ac6d67e3cbf8411a2ea3763f_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645130227
13,20079042,49,11,14,265352,12.0,119021,146331,Aamurusko Valo,https://img2.finalfantasyxiv.com/f/14bb6e41ebb832cecba4bd591c494ad2_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644928501
14,21353949,49,11,15,215522,13.0,108185,107337,Constal Rhapsodos,https://img2.finalfantasyxiv.com/f/8ab7ff7fba4e21252e78536d87d1d506_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644722630
15,6232200,49,11,16,208829,11.0,170136,38693,T'eiru Myna,https://img2.finalfantasyxiv.com/f/fa142251f273feffb3ad260250bc71d6_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645159597
