,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2308408,76,9,1,592891,1.0,503180,89711,Ryo Zehn,https://img2.finalfantasyxiv.com/f/19e9f59604656b8fe22a1baf92fa740f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645184596
1,22444551,76,9,2,538626,4.0,463275,75351,Pe- Oxenfurt,https://img2.finalfantasyxiv.com/f/1722874f8d8aa18bced002679c80bade_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645165519
2,6265180,76,9,3,500669,2.0,500669,0,Yoko Hamar,https://img2.finalfantasyxiv.com/f/aa4d83523e8084c71e2bdeb66bc7d953_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645187730
3,25635184,76,9,4,500000,3.0,488758,11242,Casey Strait,https://img2.finalfantasyxiv.com/f/016d393b2e4738a7cacbaf5e0ee8470f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645140428
4,2409701,76,9,5,468029,6.0,379073,88956,Luna Wistaria,https://img2.finalfantasyxiv.com/f/6659c3cd48e24220fae9ee22733d14a5_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645182576
5,12648795,76,9,6,440792,5.0,406371,34421,Zara Moore,https://img2.finalfantasyxiv.com/f/895579ebab69e599f9f31449de478587_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645152813
6,22021581,76,9,7,240001,8.0,183456,56545,Rei Resche,https://img2.finalfantasyxiv.com/f/c76da8af0e7fddb8e47a6bf7213ffd9f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645003092
7,22572715,76,9,8,235401,7.0,202601,32800,Kyonzwei Svangur,https://img2.finalfantasyxiv.com/f/daea15a25a01fc098561b291c82998fa_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645073073
8,24151430,76,9,9,200021,11.0,130496,69525,Lag Wolz,https://img2.finalfantasyxiv.com/f/1b571bbaefdbab5ac4f09ebb278f1675_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645042848
9,1561313,76,9,10,190001,9.0,138247,51754,Tio Hunter,https://img2.finalfantasyxiv.com/f/f263244b32f315fe08e761b5daab1b34_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645074345
10,29822461,76,9,11,188512,12.0,126095,62417,Atu Fa,https://img2.finalfantasyxiv.com/f/4c8cad20ee67c0ea0eac37e271bd5fba_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644948093
11,18565687,76,9,12,188156,23.0,37058,151098,Emile H'weitis,https://img2.finalfantasyxiv.com/f/4ce2a1804dc9bbfce53535fff297ecc2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645035938
12,2966822,76,9,13,173418,10.0,132302,41116,U'hari Tia,https://img2.finalfantasyxiv.com/f/92f0f9add172eaded711de46503faf3d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645045774
13,9393088,76,9,14,153789,16.0,73608,80181,Raita Raita,https://img2.finalfantasyxiv.com/f/50834b10a45c50b63093719167accc94_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645093886
14,7786647,76,9,15,125637,20.0,51452,74185,Kulto Lotus,https://img2.finalfantasyxiv.com/f/53b37efb546eb8228eec659c71d3b17e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645098985
15,26468239,76,9,16,94826,13.0,94826,0,Sara Curtiss,https://img2.finalfantasyxiv.com/f/cf218c0cc3d61aab3d0dc0c45c40ed27_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645134210
16,2222876,76,9,17,86521,14.0,86521,0,Rai Mei,https://img2.finalfantasyxiv.com/f/edf2db9954299396c74de1f65561e94d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645023668
17,2177359,76,9,18,82451,17.0,60902,21549,Yui Patupatu,https://img2.finalfantasyxiv.com/f/ba55e079860a8ed24a3806b3ad1b5882_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645020186
18,18396122,76,9,19,82346,15.0,77855,4491,Shiona Tycoon,https://img2.finalfantasyxiv.com/f/80b89628fb46f1fa3562eb2dddf12024_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645091429
19,23628587,76,9,20,68188,21.0,50668,17520,Geneva Shoreline,https://img2.finalfantasyxiv.com/f/76ef20b7b77370fd49a1f3fcb3bf612d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644949260
20,3894089,76,9,21,66740,31.0,18211,48529,Alice Hien,https://img2.finalfantasyxiv.com/f/4a5d4aa4d4904540880054fdc7abc283_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645171918
21,3547704,76,9,22,66250,19.0,53362,12888,Green Toto,https://img2.finalfantasyxiv.com/f/42be9322133ea413d54beba42187af10_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644955839
22,1576644,76,9,23,60502,18.0,60502,0,Mine Toto,https://img2.finalfantasyxiv.com/f/a2f2415f24d7ca720538ef9ed2a3bc62_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645092426
23,5898096,76,9,24,51614,22.0,38769,12845,Asuna Blood,https://img2.finalfantasyxiv.com/f/548569897134f70dd6877e6c589ea284_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644849085
24,25751522,76,9,25,32767,26.0,26055,6712,Palm Dor,https://img2.finalfantasyxiv.com/f/a9155259fcb8cc5dad40219dd0f50ceb_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645117815
25,25762794,76,9,26,31327,24.0,31327,0,Ryu Gadyn,https://img2.finalfantasyxiv.com/f/40aa05444c77e97796817b2ff8b65dd2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644911556
26,24133859,76,9,27,30584,25.0,30584,0,Basa Blanc,https://img2.finalfantasyxiv.com/f/5bb3e82ae94216c872dfef135dbd8b4c_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645158865
27,23696565,76,9,28,21722,27.0,21722,0,Locke Luminox,https://img2.finalfantasyxiv.com/f/81cf0afeb8ccddaae846c3e81a91fef2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644785726
28,20118088,76,9,29,21407,48.0,7474,13933,Corona Prominence,https://img2.finalfantasyxiv.com/f/2479c805a5295373a820cefcf0de6060_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645017897
