,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,19188883,33,14,1,413560,2.0,294197,119363,Gamling Razorleaf,https://img2.finalfantasyxiv.com/f/7759dced0d541118c79513625af41d8a_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644974084
1,26740226,33,14,2,371887,1.0,303127,68760,Zero Recoat,https://img2.finalfantasyxiv.com/f/6b25bf5feed1be1821c5be582caa7595_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645131183
2,18533709,33,14,3,251281,8.0,139672,111609,Himiko Kaisuri,https://img2.finalfantasyxiv.com/f/b50da2f94632737b7eef6c0afcccb91b_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644811587
3,24223690,33,14,4,212226,3.0,182206,30020,Yuria Yakumo,https://img2.finalfantasyxiv.com/f/9071a403c21a0cb7d6cd9fa4fb5e8b58_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645061230
4,27167573,33,14,5,182674,7.0,139791,42883,Thor Hamerhall,https://img2.finalfantasyxiv.com/f/e906ecdf15c030effb60912f1a4bab9c_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644936439
5,15724282,33,14,6,172887,5.0,143479,29408,Yurei Nyona,https://img2.finalfantasyxiv.com/f/6af8bd038f0cf48077e28ecea1e40767_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645049847
6,24328880,33,14,7,163879,6.0,143255,20624,Gain War,https://img2.finalfantasyxiv.com/f/6d8246ceb994e32c110e6a9033a3510b_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645042267
7,17822867,33,14,8,162878,4.0,147468,15410,Kim Diaz,https://img2.finalfantasyxiv.com/f/f5818fb204be50641c01ece01259eeaa_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644987516
8,18429030,33,14,9,138081,10.0,96368,41713,Lan Umi,https://img2.finalfantasyxiv.com/f/5746d862fc6db70cb3f72ebbeda7bd63_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645055931
9,21873843,33,14,10,120191,11.0,95116,25075,Brin Lockhart,https://img2.finalfantasyxiv.com/f/8e3fcd7529d4286ae3ab9b78f38627f5_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645141804
10,28110759,33,14,11,119152,12.0,86811,32341,Dacien Vaincannet,https://img2.finalfantasyxiv.com/f/cd8764e7ee76f00605140b9533b08c40_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645078650
11,22575733,33,14,12,109171,9.0,103250,5921,Ava Fortuna,https://img2.finalfantasyxiv.com/f/7e2eddafe03b5bf9430fa994044ca860_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1645137680
