,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22421465,24,16,1,202625,1.0,102621,100004,Minea Fuaim,https://img2.finalfantasyxiv.com/f/3882fc7226673d024e6615517c4f6960_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644757262
1,23765369,24,16,2,143759,5.0,45528,98231,Natsumeso Seki,https://img2.finalfantasyxiv.com/f/a51919bec1e891175b2b35cd1f8537b3_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645055430
2,14985674,24,16,3,110284,3.0,52698,57586,Ritsuka Penguin,https://img2.finalfantasyxiv.com/f/317f4c73689258ffdc56c00e40a2e642_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645142612
3,21792635,24,16,4,104561,2.0,91302,13259,Meguri Astrea,https://img2.finalfantasyxiv.com/f/5e6d10f490833268313cb5c12479f8d7_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644765041
4,20933276,24,16,5,81695,7.0,35035,46660,Shingo' Kicks,https://img2.finalfantasyxiv.com/f/09ce11e3c21143be84977ab99646d740_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645021875
5,20160586,24,16,6,65641,8.0,32844,32797,Jake Aimar,https://img2.finalfantasyxiv.com/f/c90677211fde749622b3ba5ecddcfe66_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644914671
6,31227893,24,16,7,63975,10.0,27154,36821,Ura Ria,https://img2.finalfantasyxiv.com/f/4403a558b7a54ea4ee96c1fa8c423ce6_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644824307
7,12002366,24,16,8,61587,4.0,47713,13874,Ayame Ugeki,https://img2.finalfantasyxiv.com/f/3a5beb205e3c3f2ecc8f393e1863b350_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645098749
8,23317724,24,16,9,56302,11.0,27021,29281,Lyric Sievell,https://img2.finalfantasyxiv.com/f/9d78d1b4ad2811a32c3ed24e91b9a275_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644822242
9,23281145,24,16,10,56088,15.0,19781,36307,Luxio Bradyon,https://img2.finalfantasyxiv.com/f/f045d12576a030c8be6ef370826aab59_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645074890
10,17937841,24,16,11,55055,14.0,19799,35256,Zhloe Aliapoh,https://img2.finalfantasyxiv.com/f/4006ab59417d28c42dfc37617bb7e3c2_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644821965
11,22402290,24,16,12,53081,17.0,19042,34039,Vanu Vanu,https://img2.finalfantasyxiv.com/f/16600e9ecf92866dde39ad05bf3cb2d8_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645122930
12,24872733,24,16,13,51979,26.0,15895,36084,Marrofy Kahkol,https://img2.finalfantasyxiv.com/f/6a7b5b077d017e816e3a7e70ae52d80d_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645026747
13,23500683,24,16,14,48758,19.0,18431,30327,Miu Minette,https://img2.finalfantasyxiv.com/f/41e076ea9a62c31ab727a9979d315ada_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645099741
14,29155539,24,16,15,48604,20.0,18236,30368,Keicha Yatulugi,https://img2.finalfantasyxiv.com/f/0a2a0853a5ecceda6839a5b6f32be590_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644920774
15,1558843,24,16,16,48005,,0,48005,Caster Mild,https://img2.finalfantasyxiv.com/f/52f48df75de8ae5c917eb3c7e9fea12c_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645077600
16,21303956,24,16,17,47844,29.0,15660,32184,Rinea White,https://img2.finalfantasyxiv.com/f/dc1c25d81283de77e253fb093e5233fc_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645088018
17,14352390,24,16,18,41038,13.0,20940,20098,Ravi Sterabbit,https://img2.finalfantasyxiv.com/f/747382e4dfdaa5e64cbdde6830cafc60_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644891114
18,15271791,24,16,19,40630,51.0,11630,29000,Aika Lily,https://img2.finalfantasyxiv.com/f/d3e1a4c6ba5f97d1148e12878ff48fc1_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644981231
19,3830603,24,16,20,39629,18.0,18790,20839,Ice Naname,https://img2.finalfantasyxiv.com/f/4d73d69c14a1bfff66272cd140195c78_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644857102
20,15808747,24,16,21,37596,6.0,37596,0,Sakura Tokunaga,https://img2.finalfantasyxiv.com/f/6100486e44c355d6bf066b501da46cb7_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645111945
21,26115835,24,16,22,37172,,0,37172,Natsuki Suilen,https://img2.finalfantasyxiv.com/f/36acf8bc1e448499af701487be6feba7_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644946061
22,17882397,24,16,23,36792,33.0,14170,22622,Cheruru Nonokuma,https://img2.finalfantasyxiv.com/f/01fbf98c8e99696828c35d91423d6230_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645148583
23,6335838,24,16,24,36241,9.0,27794,8447,Chan Banco,https://img2.finalfantasyxiv.com/f/70bc4c2721d3afc0acdbb86870025776_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644978765
24,25332873,24,16,25,32911,52.0,11524,21387,Pilili Tougarashi,https://img2.finalfantasyxiv.com/f/1f26cab7f566ea7d71186d39a30f3574_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645184499
25,28256239,24,16,26,32287,24.0,16352,15935,Stallone Dolph,https://img2.finalfantasyxiv.com/f/e93af2ab32612abd21b43c7725904812_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644930353
26,27149771,24,16,27,31098,16.0,19742,11356,Alusutna Payuhn,https://img2.finalfantasyxiv.com/f/e8b8d366fdc9c70173f10ad8b17f54e2_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645123978
27,21572844,24,16,28,30527,38.0,13119,17408,Your Id,https://img2.finalfantasyxiv.com/f/4393a08cd902eaed6c5a922e91c84dc8_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645091606
28,14209863,24,16,29,29549,35.0,13560,15989,Camille Aquarius,https://img2.finalfantasyxiv.com/f/30f5ea2ac2232667d8a67af9f81bef71_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645064437
29,10037376,24,16,30,28932,12.0,22360,6572,Lerax Walker,https://img2.finalfantasyxiv.com/f/45eb8b2b5c0ad3a57c85ff561bd7091c_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644639280
30,21985495,24,16,31,28237,,0,28237,Teito Fox,https://img2.finalfantasyxiv.com/f/b2ea9e8880ac31642c242259395555e5_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644890016
