,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,12561827,80,13,1,203230,3.0,75380,127850,Raza Lee,https://img2.finalfantasyxiv.com/f/1a1d05a82efb9fdca084907ddd5457d0_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645183648
1,6683326,80,13,2,194209,,0,194209,Midnight Runner,https://img2.finalfantasyxiv.com/f/b285075563eb1ebeea5a5b9fe54e4d4b_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645103257
2,21555610,80,13,3,178201,1.0,81547,96654,Juko Kujo,https://img2.finalfantasyxiv.com/f/ce5e1e00b8c886f34a6e74088d8f1ee7_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645166793
3,21950292,80,13,4,169319,2.0,77703,91616,Lanara Iscool,https://img2.finalfantasyxiv.com/f/bed362ae4c2c6903102688ba22136127_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645007337
4,1555754,80,13,5,82483,,0,82483,Inara Hena,https://img2.finalfantasyxiv.com/f/743090b534082a1229da57134910c57c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645017852
5,14185518,80,13,6,50559,8.0,8074,42485,Elsie Shyr,https://img2.finalfantasyxiv.com/f/06985b902d96b94a4b22df9dc6832c60_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645016992
6,10001544,80,13,7,48767,6.0,15476,33291,Sanae Kochiya,https://img2.finalfantasyxiv.com/f/88328cb71e5969388c16cd4fe3b7178b_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1645139665
7,4153363,80,13,8,43715,5.0,15954,27761,Crepe O'sucre,https://img2.finalfantasyxiv.com/f/1c7112bc2e14286d90848c633516e207_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645014182
8,5614974,80,13,9,34077,7.0,10996,23081,Laphael Lanelar,https://img2.finalfantasyxiv.com/f/90a522ccad5068e588500c4190e9ff60_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645167434
9,2814936,80,13,10,27299,14.0,3489,23810,Sema Soulfire,https://img2.finalfantasyxiv.com/f/658afaea569d84402d94c5594ded18cb_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645142717
10,28259865,80,13,11,25878,10.0,5502,20376,Adrasteia Lapine,https://img2.finalfantasyxiv.com/f/b4bac507aadeaa58d440d2771cb7b7f3_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645133152
11,25837890,80,13,12,25108,,0,25108,Miara Gratte,https://img2.finalfantasyxiv.com/f/00d00f3f2757964e0e38e45295e402f5_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645066194
12,2812815,80,13,13,22340,4.0,22340,0,Arnumera Nil'eria,https://img2.finalfantasyxiv.com/f/5856df6773a1faec22abaf33d8fe8f3d_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645056218
13,15792959,80,13,14,12339,9.0,7602,4737,Aria Astraea,https://img2.finalfantasyxiv.com/f/39035feef79c87129ca35aa06493cd2e_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645022529
14,19229655,80,13,15,12044,83.0,186,11858,Mya Lan,https://img2.finalfantasyxiv.com/f/39d2fde02a4c778d556a87793f2cd8f1_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645181683
15,23549708,80,13,16,6246,26.0,1579,4667,Ricyosma Ladair,https://img2.finalfantasyxiv.com/f/9afcd27be4f1a15fde65db2d528d56d7_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644851562
16,28374292,80,13,17,5460,13.0,3510,1950,Astara Darkmoon,https://img2.finalfantasyxiv.com/f/024697c12dcced9e445258228fc26d05_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645118234
17,16151971,80,13,18,5263,,0,5263,Amelia Oakmoon,https://img2.finalfantasyxiv.com/f/dccfb8f27e8db8e3b38c18f388064b49_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645075830
18,11251794,80,13,19,5230,,0,5230,Chi Val'eska,https://img2.finalfantasyxiv.com/f/bb527320aa6c398fab000d6e02a2884c_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645128397
19,16360205,80,13,20,4637,11.0,4637,0,Moh Niflheim,https://img2.finalfantasyxiv.com/f/c1d207191af1dc5c1eea7f5cef2ed1b5_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644949842
20,27253345,80,13,21,4590,15.0,3210,1380,Linalya Nymphea,https://img2.finalfantasyxiv.com/f/f8c07f21600a9ebe245f6b48b0fd01ac_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645086354
21,16171835,80,13,22,4582,12.0,4582,0,Oric Yaeger,https://img2.finalfantasyxiv.com/f/41af09deaa2d91ecd884f1339f78c3ec_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645030245
22,2192461,80,13,23,4567,18.0,2310,2257,Ny'lka Jaeger,https://img2.finalfantasyxiv.com/f/112f26a242e3d0c092806f2edde72e8f_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644996881
23,21468411,80,13,24,4410,,0,4410,Makomi Beoulve,https://img2.finalfantasyxiv.com/f/2a1645a891f928a6343c0dc8f32db5fe_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644774238
24,20114159,80,13,25,4129,45.0,800,3329,Emoni Arkewright,https://img2.finalfantasyxiv.com/f/3f85e3757338166033d06535aa98c512_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645063409
25,3048536,80,13,26,4065,,0,4065,Chappi Rukia,https://img2.finalfantasyxiv.com/f/e550993054313278eeb57a4e6bdd49bf_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645016601
26,1466089,80,13,27,4050,62.0,450,3600,Yamshirai Yamhoro,https://img2.finalfantasyxiv.com/f/5c938d6a46ca44b309b7851cb6326d5b_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645025809
