,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,22418427,40,8,1,202763,1.0,101313,101450,Kara Makoto,https://img2.finalfantasyxiv.com/f/6d08882d9444b45a83b08171638eafc9_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644905546
1,13498115,40,8,2,166054,2.0,74624,91430,Finh Bezahl,https://img2.finalfantasyxiv.com/f/1d39f185a990e888487902d3262c194c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645164411
2,16032734,40,8,3,102430,3.0,50493,51937,Vynn Valtin,https://img2.finalfantasyxiv.com/f/1373ca3b107d2359ccdfc7df08e76b94_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645142705
3,24488688,40,8,4,59174,7.0,3838,55336,Shiara Zephyr,https://img2.finalfantasyxiv.com/f/5c8b37c94ad73565a74ae5dff733de54_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644864495
4,23807938,40,8,5,41509,10.0,2858,38651,Mana Iser,https://img2.finalfantasyxiv.com/f/546c1721846b0101a7334626790edb08_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645018519
5,16614170,40,8,6,16126,,0,16126,Nym Rielle,https://img2.finalfantasyxiv.com/f/05014636170d78dc03f9f36f87e4bf0c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645041213
6,11943915,40,8,7,10433,4.0,10433,0,Vali Sa'yuan,https://img2.finalfantasyxiv.com/f/34d75264d5e2907496bcc218aa75bed5_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645163458
7,2461432,40,8,8,8689,6.0,5035,3654,Chi Chi,https://img2.finalfantasyxiv.com/f/7c2ad9b307070c3c6dab534f6409df0e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645175594
8,8148103,40,8,9,8291,8.0,3406,4885,Lane Epocan,https://img2.finalfantasyxiv.com/f/0e64c5dd61f32d0bc66c6e4865cd3a15_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645088100
9,17981914,40,8,10,5427,18.0,1199,4228,Yukiyo Kakita,https://img2.finalfantasyxiv.com/f/c85742e54553eb9299f344dbbcad6819_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644767855
10,14533390,40,8,11,5129,5.0,5129,0,Hina Katsura,https://img2.finalfantasyxiv.com/f/9b90bdfd2ed15bdc8fa01b494aec151d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645164398
11,29755630,40,8,12,4560,62.0,30,4530,Juniper Owl,https://img2.finalfantasyxiv.com/f/07aac2756bf559693eac2bdf8a673d6a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644844958
12,18566821,40,8,13,3081,9.0,3081,0,Tk Wolf,https://img2.finalfantasyxiv.com/f/b18dc45591a21285a383976f8d6095c1_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644971777
13,24642713,40,8,14,2966,14.0,1800,1166,Shalltear Neku,https://img2.finalfantasyxiv.com/f/1b3f2ee8f7d69b400ec52d443fa3d8e2_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644993840
14,19239772,40,8,15,2654,11.0,2654,0,Sausage Roll,https://img2.finalfantasyxiv.com/f/71322aad783b472961a2dc284fed3712_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645034665
15,13426516,40,8,16,2520,12.0,2070,450,Szorlin Noquana,https://img2.finalfantasyxiv.com/f/635ccae141a5f745e96cfe6ec6aa869e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645149349
16,1359569,40,8,17,1888,,0,1888,Jane Lane,https://img2.finalfantasyxiv.com/f/89b0145674bfb3b4adcac55cb825a007_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645042420
17,21988761,40,8,18,1830,13.0,1830,0,Zule'ya Jhixa,https://img2.finalfantasyxiv.com/f/bd928313739c7914c76ccb3fabcede1e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644798424
18,730770,40,8,19,1822,21.0,1102,720,Skywise Drewpnuts,https://img2.finalfantasyxiv.com/f/ec5c80b69b6fb4517c45b8042c49d455_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644997151
19,27955585,40,8,20,1799,15.0,1799,0,Boy Friend,https://img2.finalfantasyxiv.com/f/99378f45085358b17dc96f4f011206b8_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645035673
20,13465172,40,8,21,1680,,0,1680,Expired Pineapples,https://img2.finalfantasyxiv.com/f/41480f84f9300a377a96a7941452e56d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645017756
21,24442639,40,8,22,1677,17.0,1241,436,Videh Japlughu,https://img2.finalfantasyxiv.com/f/93570bbdae383b2dcc0f532d8190b109_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645162754
22,28281789,40,8,23,1498,16.0,1498,0,Ayvalen Zephyr,https://img2.finalfantasyxiv.com/f/494da045cb26b8b6e174fc87243b850d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644990055
23,28800286,40,8,24,1392,19.0,1152,240,Aileen Woods,https://img2.finalfantasyxiv.com/f/809eee72a16ba12c3fa53f20fa6694fd_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644761976
24,24717542,40,8,25,1380,35.0,540,840,Luluny Luny,https://img2.finalfantasyxiv.com/f/2574da407fcce1b06c4e03dce6d1477e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645047555
25,11644971,40,8,26,1200,,0,1200,Rose Sarosa,https://img2.finalfantasyxiv.com/f/9f4679bfce02fb46d25270e297280a88_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645147543
26,20049664,40,8,27,1139,20.0,1139,0,Jusu Gurepu,https://img2.finalfantasyxiv.com/f/40bad3dabb51d224b39d437de2514b4e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645172074
