,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,866993,49,8,1,207245,1.0,101903,105342,Tyrfing Dring,https://img2.finalfantasyxiv.com/f/fb0c20ffecd240ec5931d51bc7f4ecd4_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644995228
1,18877099,49,8,2,137562,2.0,75000,62562,U'luca Tia,https://img2.finalfantasyxiv.com/f/56f692d5eaec1ea6039176d28f17e9c4_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645152847
2,12027969,49,8,3,115398,3.0,31034,84364,Jo Relz,https://img2.finalfantasyxiv.com/f/57edaf5e8785d71857a4027a46cd673a_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645114308
3,3221132,49,8,4,68784,6.0,12127,56657,Kairi Yu-ki,https://img2.finalfantasyxiv.com/f/97583d9fd4ebe4079a73766c5dc4fc88_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644807363
4,18223932,49,8,5,66990,7.0,11517,55473,Run Tamura,https://img2.finalfantasyxiv.com/f/73603537c03f45006ec96f4cd4ed11d0_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645068782
5,5281709,49,8,6,66554,9.0,10048,56506,Ha'ani Kai,https://img2.finalfantasyxiv.com/f/80986b733bba732a29cb73121a2fca8c_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644958522
6,9788565,49,8,7,46019,5.0,15919,30100,Eden Kenorah,https://img2.finalfantasyxiv.com/f/fd26134fad2bd72cad8aecc071dc65cb_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644883915
7,21651742,49,8,8,28526,8.0,10523,18003,Lacrima Vian,https://img2.finalfantasyxiv.com/f/0a0cd6f33325ab0de9a9b176ad397ca9_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1644924130
8,10137404,49,8,9,26656,4.0,16429,10227,Lynis Allegra,https://img2.finalfantasyxiv.com/f/22510c78d7076cc0139f9fa4534a6f6a_30a5f9eadea6e0cb684a5265362d0d59fc0_96x96.jpg?1645062461
9,20472782,49,8,10,20795,14.0,5431,15364,Hina Lowell,https://img2.finalfantasyxiv.com/f/c89ae2323e24f90f5afdfd2192e8cc03_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1644784036
10,24346913,49,8,11,17424,18.0,2240,15184,Aya Ya,https://img2.finalfantasyxiv.com/f/3189b00006fb93e5e662ed2e0b072e36_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1645142741
11,21410631,49,8,12,15422,11.0,6860,8562,Regis Regalia,https://img2.finalfantasyxiv.com/f/5939b9fa855a009c63d2845db3f9ab6d_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645143175
12,12363381,49,8,13,9692,,0,9692,Lalamunko Tutumunko,https://img2.finalfantasyxiv.com/f/8008d003bcf6878f2b902fc76a21c8b5_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645070457
13,16443529,49,8,14,8460,13.0,6210,2250,Take Yuu,https://img2.finalfantasyxiv.com/f/69bc06d5d18a9605a2dc1927c270dd77_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645043293
14,24346411,49,8,15,7941,42.0,442,7499,Ami Brown,https://img2.finalfantasyxiv.com/f/f9578b0d78756ba4646115c396b82757_72c48f093f2278ac3243962d3eb6a8d7fc0_96x96.jpg?1645007014
