,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,1833901,82,14,1,222222,1.0,88200,134022,Tak Patry,https://img2.finalfantasyxiv.com/f/40383e426d0a44b668add92bd9532393_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645048094
1,2319417,82,14,2,96644,2.0,28906,67738,Refuse Ansbach,https://img2.finalfantasyxiv.com/f/85e38362a0d71ce5f78c5520012ac145_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645137778
2,5248105,82,14,3,58289,3.0,25781,32508,Etoile Scintillante,https://img2.finalfantasyxiv.com/f/234dbb26f53b8123842d520a2b895777_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645074215
3,17652354,82,14,4,56382,5.0,13051,43331,Poteg Taa,https://img2.finalfantasyxiv.com/f/29b3ed22ef6aacfa5fda9fe9c140ff53_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644956898
4,2825808,82,14,5,44671,4.0,16217,28454,Ruca Makalacca,https://img2.finalfantasyxiv.com/f/c40aefc89433e9eadc3c73e714755c04_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645159480
5,11885987,82,14,6,33026,6.0,12404,20622,Iso Iso,https://img2.finalfantasyxiv.com/f/993e212525316b99e8a55bd5047c592c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644988195
6,13913661,82,14,7,28365,,0,28365,Tsukika Shiranui,https://img2.finalfantasyxiv.com/f/dfc80b8f96da0bed873a23f20220c1bb_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645133369
7,15637697,82,14,8,27148,11.0,4238,22910,Railai Honas-fontana,https://img2.finalfantasyxiv.com/f/1cfaec447a194717a50e0c39d725c23d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645025007
8,6643365,82,14,9,25372,19.0,2479,22893,Julia-r Vilijonkka,https://img2.finalfantasyxiv.com/f/ede854fba7ee1e6b1ff47b0afd82d9fe_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644904166
9,3582885,82,14,10,13975,26.0,2050,11925,Ludovraint Merthelin,https://img2.finalfantasyxiv.com/f/a5a7f1525d1c5e871273074b9f0b7cc9_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645032678
10,15687216,82,14,11,8843,7.0,8212,631,Natsume Nakiri,https://img2.finalfantasyxiv.com/f/243afb7991e65fbfe616d9d52957fb4f_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645065609
11,13741094,82,14,12,8520,10.0,6330,2190,Ignis Vanquish,https://img2.finalfantasyxiv.com/f/08932233c0f7517b1baec6d980d86aeb_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645094521
12,2369312,82,14,13,8267,8.0,7244,1023,Neru Rem,https://img2.finalfantasyxiv.com/f/89fcbcedb0481577837e30700fbd0c0d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645135538
13,15466730,82,14,14,8199,,0,8199,Muguet Laurent,https://img2.finalfantasyxiv.com/f/5cac0228bd71872d855f486cc4226e72_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645059430
14,15596746,82,14,15,8105,44.0,1136,6969,Sura Lion,https://img2.finalfantasyxiv.com/f/270ad199d1fc8d8489daf29e7e8e7d59_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645085418
15,3924092,82,14,16,7311,33.0,1503,5808,Baltan Baltzer,https://img2.finalfantasyxiv.com/f/ffe01ee89eb3c99dadc6811536a02f8c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645070157
16,8174711,82,14,17,7080,,0,7080,Sakura Tamago,https://img2.finalfantasyxiv.com/f/dbb94a3bf3e804276df543f51acfcb9e_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645064705
17,2318933,82,14,18,6443,9.0,6443,0,Geso Cl'o'lb,https://img2.finalfantasyxiv.com/f/a91238fc41c125e6b8d05ca4874af468_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645024672
18,22246847,82,14,19,5872,,0,5872,Noir Lime,https://img2.finalfantasyxiv.com/f/44fea813624bd661103dda1e92519084_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645037728
19,15643301,82,14,20,5850,81.0,420,5430,Miya Flowdia,https://img2.finalfantasyxiv.com/f/ee2f5a1a92be496e01549bb00a9d1c56_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645168951
20,24118774,82,14,21,5652,20.0,2477,3175,Ao'k Carlet,https://img2.finalfantasyxiv.com/f/002f3d5eb61fef6dd489f53efafc8503_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644819783
21,6527045,82,14,22,5430,23.0,2250,3180,Yukina Silfy,https://img2.finalfantasyxiv.com/f/d4b16510a993ea731bc9401bd0d64c86_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645111049
22,2512843,82,14,23,5351,,0,5351,Lain Wired,https://img2.finalfantasyxiv.com/f/864f4952c3eb9d0a1559bc9d1f71e3c8_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644973273
23,7996465,82,14,24,4623,29.0,1650,2973,Willens Loire,https://img2.finalfantasyxiv.com/f/64a15dfb0a583394b30332326ba5f048_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645034550
24,1553414,82,14,25,4589,74.0,546,4043,Cocode Code,https://img2.finalfantasyxiv.com/f/ceb206c8ede0299c353931bb40a702c4_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644999176
25,1686908,82,14,26,4474,14.0,3495,979,Peoru Peopeo,https://img2.finalfantasyxiv.com/f/f80cc02769680a1ea2928802788dfe6c_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645000959
26,16440729,82,14,27,4167,,0,4167,Saku Carol,https://img2.finalfantasyxiv.com/f/96eca3e20de8daffc1200c5aa5b643e2_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645034147
27,19341648,82,14,28,3927,18.0,2505,1422,Suzu Ne,https://img2.finalfantasyxiv.com/f/068963643d3fd3865771851c1376a14b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645009433
28,3214477,82,14,29,3893,12.0,3893,0,Kid Vicious,https://img2.finalfantasyxiv.com/f/5239482e2db10ce59c8d800c1657745d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645081893
29,1677541,82,14,30,3840,17.0,2610,1230,Lycoris' Radiata,https://img2.finalfantasyxiv.com/f/001f45e3d44068c6acb94a64cba4519a_781d6b3603312f6be41670afa37282e0fc0_96x96.jpg?1645149843
30,1601215,82,14,31,3833,13.0,3833,0,Licht Fluegel,https://img2.finalfantasyxiv.com/f/193190bc2dcdd29ada394b99fa83edb4_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644970944
31,30124624,82,14,32,3820,96.0,282,3538,Maron Garanjy,https://img2.finalfantasyxiv.com/f/c801d6aafd332960750c2632aa262376_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644999172
