,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,14484757,82,15,1,124549,1.0,47829,76720,Cia Yuletide,https://img2.finalfantasyxiv.com/f/ab9e832ef63dfa7bc2f7f6c529b8aaf7_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645001288
1,17711859,82,15,2,85439,2.0,38640,46799,Aki Mew,https://img2.finalfantasyxiv.com/f/1db3e7e392286f4b84e61fb1ad36b28b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644985395
2,25582564,82,15,3,34627,3.0,16738,17889,Misoshiru Schwarz-p,https://img2.finalfantasyxiv.com/f/3e3de01980af24d82020dffc9e2723ed_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644864712
3,14159348,82,15,4,32778,4.0,14208,18570,Puni Ariel,https://img2.finalfantasyxiv.com/f/7492c5ca519ae9df6b452856ef7c832f_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645166366
4,7998908,82,15,5,21228,5.0,13782,7446,Shalsh Noir,https://img2.finalfantasyxiv.com/f/cb3358607be3f3245b2670118340e6eb_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645052726
5,21623888,82,15,6,18422,,0,18422,Aios Mu,https://img2.finalfantasyxiv.com/f/eec5efb85e4e462aa755c61bbe7ea0cd_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645008452
6,12128589,82,15,7,14113,7.0,6267,7846,Bayan Horo,https://img2.finalfantasyxiv.com/f/ffabc94fb0ea9e84505fad72f902b87f_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645094862
7,13286429,82,15,8,13274,10.0,5102,8172,Sammy Tanukichi,https://img2.finalfantasyxiv.com/f/980cd47157c35fa7978c9058b84d453b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645187672
8,25396705,82,15,9,11753,16.0,2678,9075,X'save Tia,https://img2.finalfantasyxiv.com/f/d359bbcf65c62f4123b593f9024ab12b_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645116194
9,5893644,82,15,10,8895,40.0,1070,7825,Mia Meilleur,https://img2.finalfantasyxiv.com/f/67c26910d212fdc53432b31872374536_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644987494
10,29537698,82,15,11,8247,,0,8247,Mutsuki Yield,https://img2.finalfantasyxiv.com/f/a1967b6799ef34b1999e1508f2ea2bf1_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644761316
11,24508615,82,15,12,8036,8.0,5920,2116,Syuu Alil,https://img2.finalfantasyxiv.com/f/d4f80aa841ad07890fc64469f726ec74_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644843974
12,1608627,82,15,13,7379,,0,7379,Miyah Tsukitachi,https://img2.finalfantasyxiv.com/f/0db44905ca8c9ca5d9de8f1572005fd3_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644986890
13,4324902,82,15,14,7050,18.0,2460,4590,Atonose Sakusaku,https://img2.finalfantasyxiv.com/f/cf66e7ba56fb98cd8e24ba16c5250627_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645093320
14,15430529,82,15,15,6718,13.0,3321,3397,Charlotte Avery,https://img2.finalfantasyxiv.com/f/010253468f69fb1890be01773a2d65de_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645124182
15,25525184,82,15,16,6372,6.0,6372,0,Selena Fryxell,https://img2.finalfantasyxiv.com/f/338a5c316ad2efbb97c4b4ee082f0d9e_7126768d768f6c6c7fed3eaee98c3a8afc0_96x96.jpg?1644971642
16,5753609,82,15,17,6042,20.0,2147,3895,Sena Highwind,https://img2.finalfantasyxiv.com/f/8174b574e8ec7f5661891de505daedcd_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644784530
17,17424970,82,15,18,5799,9.0,5799,0,Pome Missile,https://img2.finalfantasyxiv.com/f/15edbec4dbf5dc18eb83ef79a1aa9650_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645135849
18,8550915,82,15,19,5782,14.0,3248,2534,Rem Melvin,https://img2.finalfantasyxiv.com/f/6492b3bedf7032c3a9c231bc486effec_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644950939
19,17432818,82,15,20,5573,15.0,3025,2548,Hal B'r,https://img2.finalfantasyxiv.com/f/bdb6e64d292527dcc678f123c534e00a_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645090994
20,19130917,82,15,21,4747,11.0,4747,0,Georgie Macaroon,https://img2.finalfantasyxiv.com/f/6327d4ad2600a69683a3932219ef0c53_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645133674
21,1643858,82,15,22,4669,12.0,3742,927,Sion Atlasia,https://img2.finalfantasyxiv.com/f/bc1863b0953af4d6dbbd1fbec2085626_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645142228
22,1679160,82,15,23,4529,,0,4529,Rikka Twinkle,https://img2.finalfantasyxiv.com/f/b9a71ecc1aadf93905269c2b5fa05594_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644986090
23,17022784,82,15,24,4408,23.0,1964,2444,Amy Clence,https://img2.finalfantasyxiv.com/f/059ee9a5b009c057451e2bbcf2558583_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645091278
24,3345430,82,15,25,4408,17.0,2523,1885,Yutama Leaf,https://img2.finalfantasyxiv.com/f/9d0b72546f21ad912112feb3bc728f4d_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1645091439
25,14295956,82,15,26,4359,21.0,2091,2268,Lily Papillon,https://img2.finalfantasyxiv.com/f/b59026a9bfc864ea76af75714e0c190a_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644995942
