,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,1891283,65,11,1,255663,1.0,114420,141243,Butta Stackz,https://img2.finalfantasyxiv.com/f/7fd0da6c7e0533ed421a2677f42c34a3_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645064007
1,6779466,65,11,2,174435,2.0,36607,137828,Professor Daddy,https://img2.finalfantasyxiv.com/f/7e46e0b3ad972ec894d5c93bb735eb1b_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645118853
2,10544666,65,11,3,91854,3.0,33672,58182,Biggy Spriggan,https://img2.finalfantasyxiv.com/f/fb9759ab2b04dac98473de9772bf89c1_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644909432
3,25655830,65,11,4,44471,17.0,2082,42389,Xiao Long'bao,https://img2.finalfantasyxiv.com/f/f5a3d407bae6dc49f7a2020342a3ab94_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645012183
4,19151872,65,11,5,39988,9.0,5113,34875,Sanja Lyekhi,https://img2.finalfantasyxiv.com/f/548e1f4bfc296f92c0cd3b8180194d63_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645027815
5,28191057,65,11,6,24902,5.0,11914,12988,Cynthia Treeguard,https://img2.finalfantasyxiv.com/f/ec4e58f3825164cd3100c3863f501f72_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644764723
6,6186246,65,11,7,23035,11.0,4301,18734,Kou Gaiji,https://img2.finalfantasyxiv.com/f/508682402c9f552872419f1a204075a0_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645027191
7,15709353,65,11,8,21956,20.0,1759,20197,Yoshiko Tsushima,https://img2.finalfantasyxiv.com/f/e5e4cfccce01a171ad73b8afc99bab0a_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645180827
8,19301306,65,11,9,17987,7.0,8869,9118,Fiamma Corvec,https://img2.finalfantasyxiv.com/f/1a7cfdb2d0837b5264051277723d399a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645017952
9,5117427,65,11,10,16552,8.0,5452,11100,Jihyo Park,https://img2.finalfantasyxiv.com/f/dcfde610536efacf136c897c79e422cd_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645143625
10,28928115,65,11,11,14688,4.0,14688,0,Okay Champ,https://img2.finalfantasyxiv.com/f/92dce5fe9fd3d3bf91b4b9ce37399432_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645091767
11,20012557,65,11,12,13435,6.0,11132,2303,Ziyo Edo,https://img2.finalfantasyxiv.com/f/1856d75a4757a0f9879fd0f32c691391_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645051699
12,22636843,65,11,13,11274,12.0,3834,7440,Makoto Hatasashi,https://img2.finalfantasyxiv.com/f/9a58c2b29fe6f9ec2dc798a328ae2b6f_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644878114
13,28009419,65,11,14,9848,,0,9848,Eco Friendly,https://img2.finalfantasyxiv.com/f/fef845b126f0f72e845d901306691d66_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645098861
14,26581257,65,11,15,9300,18.0,1800,7500,Velvet Sorbae,https://img2.finalfantasyxiv.com/f/b510102b662544a6ce171f486098c65d_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644826002
15,13230448,65,11,16,8420,14.0,2520,5900,Rune Lyall,https://img2.finalfantasyxiv.com/f/fc5c100ba79cf157c65a8126bf67af81_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645114470
16,25981175,65,11,17,7556,,0,7556,Osric Greave,https://img2.finalfantasyxiv.com/f/13ca955adc277f199a26945029ab5624_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644627647
17,6521095,65,11,18,6926,10.0,4305,2621,Dingo Bladewalker,https://img2.finalfantasyxiv.com/f/d565ef931b836deec34a215b05508f75_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645169450
18,3449636,65,11,19,4171,19.0,1761,2410,Lunamarie Hayashi,https://img2.finalfantasyxiv.com/f/e8b90a5b94c0338ec8ea84adc5b9c1c5_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645042693
19,31092185,65,11,20,3672,16.0,2182,1490,Silvare Valeriant,https://img2.finalfantasyxiv.com/f/243179553c17089e82fd335c4c58b7ef_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644865504
20,9166923,65,11,21,3522,15.0,2383,1139,Emma Woodhouse,https://img2.finalfantasyxiv.com/f/75f033bdf47edd46818ae1e6cdc22955_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645049044
21,2264929,65,11,22,3356,13.0,3356,0,Rebont Celymir,https://img2.finalfantasyxiv.com/f/e39936aba00116591f14d5069425ef60_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645128341
22,12230872,65,11,23,2460,,0,2460,Lucian Grim,https://img2.finalfantasyxiv.com/f/3c32dc996e962ffe0cd7b2de5b762dc9_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645185921
23,19574692,65,11,24,2024,22.0,942,1082,Shara Kaelar,https://img2.finalfantasyxiv.com/f/b11b4a9fe527bc21187981f475f61a6e_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645079552
24,18723978,65,11,25,1909,51.0,161,1748,Vanita Vittoria,https://img2.finalfantasyxiv.com/f/9b1bf6f313033b6e1857bd1a2f4a4c6b_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645152166
25,3158587,65,11,26,1866,21.0,1446,420,Laila Zilart,https://img2.finalfantasyxiv.com/f/bf03f75a6606fc2ca9731f1f47b7d5e3_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644993224
26,20752415,65,11,27,1499,23.0,899,600,Pippa Seabounty,https://img2.finalfantasyxiv.com/f/8e4a4e415353c03ba8ccc80a4c4f038d_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645003763
27,915422,65,11,28,1289,,0,1289,Julie Maltzahn,https://img2.finalfantasyxiv.com/f/d035c38f7300bc0e76859f3bf18e60c5_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645110054
28,6515758,65,11,29,1287,25.0,749,538,Yamato Kougami,https://img2.finalfantasyxiv.com/f/b9ace1a23609d13cac638dcaac7a85b8_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645106596
29,30611694,65,11,30,1278,45.0,230,1048,Girl Boss,https://img2.finalfantasyxiv.com/f/8db7e82d3e771f2fa18d058c52db5c04_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644769079
30,12601184,65,11,31,1200,32.0,540,660,Alexander Leonhardt,https://img2.finalfantasyxiv.com/f/b75f6e4d3c0e401965a9cdbfa97e848f_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645052917
31,19284415,65,11,32,1198,28.0,628,570,Momu Plund,https://img2.finalfantasyxiv.com/f/a86671f49c986d2f0925c5d54f830937_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1645004005
32,2334940,65,11,33,1182,30.0,591,591,Reznix Mynach,https://img2.finalfantasyxiv.com/f/c1599e872c2f83dbfbd8a5027c1d5032_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645047916
33,2179967,65,11,34,1148,,0,1148,Kaze Farel,https://img2.finalfantasyxiv.com/f/6fce557c1219cf1126b2d5385c8e69bb_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645102562
34,23504214,65,11,35,1109,,0,1109,Lisa Scorch,https://img2.finalfantasyxiv.com/f/da210a04a218c2d42baea0ca0b75fe16_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645099391
35,29007896,65,11,36,990,,0,990,A'kawani Mjek,https://img2.finalfantasyxiv.com/f/400fabf1a27460f041b94ab9d51829f5_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645176483
36,12013982,65,11,37,990,,0,990,Mellow Mallow,https://img2.finalfantasyxiv.com/f/009d89f05c2b4f2cd16d004e9b90ee11_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1644903220
37,9278965,65,11,38,941,,0,941,Pookie Shadowfang,https://img2.finalfantasyxiv.com/f/67fb4da4649e19881f7084d2f31daab8_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645184353
38,15876689,65,11,39,840,,0,840,Velin Loxaerion,https://img2.finalfantasyxiv.com/f/24c7f9e2e00436dcdef63bf7f9ae58eb_5c8ecfbc673e1287a9b5e85423fe1657fc0_96x96.jpg?1645167692
