,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2270257,67,11,1,92867,1.0,55613,37254,Walter White,https://img2.finalfantasyxiv.com/f/598bf6f0ae2c75d46a876e941b42f5bc_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645087864
1,8608557,67,11,2,80060,6.0,6823,73237,Maro Kanshi,https://img2.finalfantasyxiv.com/f/525e984bd9ca10b29d51eb1e7d00bb3f_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645134801
2,8046613,67,11,3,79656,2.0,26350,53306,Sixt Nero,https://img2.finalfantasyxiv.com/f/1aedbffb5582cc76c2f3aacf5fba1c70_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645131458
3,8191679,67,11,4,52477,4.0,11845,40632,Solare Starlight,https://img2.finalfantasyxiv.com/f/781ef20175248089dc90bbf8304d2d57_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645028743
4,14367747,67,11,5,50868,,0,50868,Quirinus Mystlteinn,https://img2.finalfantasyxiv.com/f/657187bd91b4b90b01206c02017cc775_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645125352
5,11955012,67,11,6,47426,3.0,20532,26894,Dysea Yuki,https://img2.finalfantasyxiv.com/f/dcb3b56cbb0c6978ab885f97ff216a96_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645087816
6,23111052,67,11,7,26531,5.0,10363,16168,Kasumi Arashiyama,https://img2.finalfantasyxiv.com/f/974b9cf5c83337b5c70f0fbe3285b417_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645156365
7,26012647,67,11,8,15831,9.0,3612,12219,Ellaa Xess,https://img2.finalfantasyxiv.com/f/05520ed1b8e6e6e3e68aae345683635a_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644901604
8,1360249,67,11,9,15118,7.0,5149,9969,Raylien Liuyaa,https://img2.finalfantasyxiv.com/f/897bccce191d3840e8e3704576210adb_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645162680
9,14033225,67,11,10,9280,15.0,2280,7000,Smokeii Jones,https://img2.finalfantasyxiv.com/f/7cb8ed01277343d478a9970be2cb726c_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645150684
10,1377298,67,11,11,8664,51.0,210,8454,Xell Dragoon,https://img2.finalfantasyxiv.com/f/ca658198a75ba9e95c54b551bd0320b5_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644979467
11,22909992,67,11,12,7018,8.0,3780,3238,Chi'yo Usui,https://img2.finalfantasyxiv.com/f/811cc64d88af4f409dfde8a56a180770_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644791899
12,25042989,67,11,13,6900,16.0,2280,4620,Yazu Isashi,https://img2.finalfantasyxiv.com/f/dbce7e405838568b5ec557cab3289e0b_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645026253
13,1817335,67,11,14,6207,11.0,2659,3548,Silas Yuugen,https://img2.finalfantasyxiv.com/f/0e79e7ebbfb9c4edfa193353467118e2_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644972618
14,25253661,67,11,15,5220,,0,5220,Aya Ya,https://img2.finalfantasyxiv.com/f/9fb3f02b40aeb6d5598346216938c856_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645178703
15,4025829,67,11,16,4426,10.0,3526,900,Ahri San,https://img2.finalfantasyxiv.com/f/97eb9ac42cf96a928326bab7a2292507_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645046600
16,24784305,67,11,17,4307,13.0,2328,1979,Ren Crosszeria,https://img2.finalfantasyxiv.com/f/d708d8c69c76c8105411c6c6bff3b09c_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644957929
17,2237711,67,11,18,4283,31.0,829,3454,Sai Natsuki,https://img2.finalfantasyxiv.com/f/f33279c0273eeb1242ea18ba61aa4c5c_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645003587
18,21185172,67,11,19,4246,18.0,2010,2236,Yuqi Minami,https://img2.finalfantasyxiv.com/f/c4d44bbe9bd3361ea75f37eca8149f51_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644825913
19,7085363,67,11,20,3000,,0,3000,Rayne Raven,https://img2.finalfantasyxiv.com/f/6aa491865c8c12a30d98dace829d2a0d_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644952373
20,13642848,67,11,21,2905,30.0,990,1915,Chemosch Sadorius,https://img2.finalfantasyxiv.com/f/d43b6b7250caae4d612bf83e5049ec09_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644984255
21,27523722,67,11,22,2670,28.0,1080,1590,Yuuna Moonchild,https://img2.finalfantasyxiv.com/f/0f21cf7f8c557687085dcbabeae62ebb_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644960554
22,13383834,67,11,23,2460,12.0,2460,0,Ziderza Amare,https://img2.finalfantasyxiv.com/f/05740792824e9b817963a0918b813774_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644944958
23,15352390,67,11,24,2354,21.0,1695,659,Azih Silvae,https://img2.finalfantasyxiv.com/f/c4592060cd9b740c6e8a7694ca178107_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645174723
24,24170316,67,11,25,2298,14.0,2298,0,Jin Rose,https://img2.finalfantasyxiv.com/f/ce13b97dc933c73d4e9fb79efe5aa565_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644792104
25,28643379,67,11,26,2190,22.0,1620,570,Hideri Kanzaki,https://img2.finalfantasyxiv.com/f/db44a23ba0d1151929ccaabd156bc4f2_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645045427
26,22691429,67,11,27,2015,17.0,2015,0,Jeanne Kyela,https://img2.finalfantasyxiv.com/f/cf133fab09f0a93f41937f0479b7576a_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645177499
27,28651299,67,11,28,1886,49.0,210,1676,Kaya Xurae,https://img2.finalfantasyxiv.com/f/b27e1dc3799f37dee2a0dc4c4c482554_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645170515
28,7733189,67,11,29,1880,19.0,1880,0,Dyn Nooks,https://img2.finalfantasyxiv.com/f/0d383dfc5c9b1fdf81b7eaa0f12f8903_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645022170
29,19851403,67,11,30,1708,20.0,1708,0,Daenerys Tenjou,https://img2.finalfantasyxiv.com/f/9fb06d05987bc75fc01407a337c5832c_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645004719
30,6341638,67,11,31,1648,41.0,344,1304,Mia Elirion,https://img2.finalfantasyxiv.com/f/1c06caf8197e99141304d45e50bce479_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645043288
31,13219865,67,11,32,1500,23.0,1470,30,Danko Paceko,https://img2.finalfantasyxiv.com/f/6119140a5e0f6085a86bff3e51d20d4c_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1645162747
32,11956570,67,11,33,1473,32.0,810,663,Tinka Bella,https://img2.finalfantasyxiv.com/f/6ebf619d0dfa9cd2775bea9d1da1bc51_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644850372
33,24663329,67,11,34,1463,24.0,1463,0,Saraana Qalli,https://img2.finalfantasyxiv.com/f/ad2795ccae30467b1e164d3ce85b3d2f_3fbff0e6b620e4d259dc427abc6574dafc0_96x96.jpg?1644903642
34,16364997,67,11,35,1259,25.0,1259,0,Pal Kinizsi,https://img2.finalfantasyxiv.com/f/67e68548b3f6d9e38995b331e7112b19_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644850878
