,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2478026,76,17,1,103068,3.0,44508,58560,Resonance Helix,https://img2.finalfantasyxiv.com/f/c2054f64c2698f74b7e7b51603a3bf3f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645118584
1,22887177,76,17,2,101950,2.0,51994,49956,Mon Stary,https://img2.finalfantasyxiv.com/f/0ca6b616d93902e188a217f1d3d98287_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645052805
2,2210222,76,17,3,97805,7.0,37359,60446,Tsukune Felton,https://img2.finalfantasyxiv.com/f/1a80c9560283055bf1c21a7fb22f1ed0_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645045823
3,22697376,76,17,4,93367,5.0,41994,51373,Lyco Ris,https://img2.finalfantasyxiv.com/f/4b40828511f92c7de9eaa2023768c61d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644638010
4,2824827,76,17,5,89568,17.0,26358,63210,Psychic Guernica,https://img2.finalfantasyxiv.com/f/3894deec09beda3c0f19f60ae9bd4459_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645159913
5,18537441,76,17,6,85431,12.0,32729,52702,Neko Teisyoku,https://img2.finalfantasyxiv.com/f/2dd8b0cd77c8b9d0c36268702415bd11_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645019756
6,10330376,76,17,7,78909,1.0,56013,22896,Ni Na,https://img2.finalfantasyxiv.com/f/ec363001135148b6a68dd721cbfad03f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645039150
7,2213755,76,17,8,76854,9.0,34557,42297,Yukui Yy,https://img2.finalfantasyxiv.com/f/281863976515531efc2f81d99bb7e3a6_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645052307
8,1555571,76,17,9,74654,11.0,34103,40551,Totokupu Nonokupu,https://img2.finalfantasyxiv.com/f/03b6f44907c7447cd037dd6357f7c4ec_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645177752
9,14797292,76,17,10,73769,8.0,34892,38877,Rayla Gradius,https://img2.finalfantasyxiv.com/f/bc3f0701a640496195c5751998aed933_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644934276
10,22877835,76,17,11,73402,10.0,34408,38994,Esslie Sombold,https://img2.finalfantasyxiv.com/f/07db82bf850d165a83f441985e80adfa_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644635191
11,21538519,76,17,12,70124,44.0,11565,58559,Kasabuta Rin,https://img2.finalfantasyxiv.com/f/6d8d67e157f0f2dd7100ab1f67c95aaa_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645046912
12,18295206,76,17,13,67436,14.0,29187,38249,Alica Liddell,https://img2.finalfantasyxiv.com/f/335713443aca90164e0c011a4031df4e_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644976594
13,5219841,76,17,14,57445,15.0,28495,28950,Smoooch Xizeta,https://img2.finalfantasyxiv.com/f/574a1eda6a946a8100ddbae9105b0b35_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644953575
14,4039835,76,17,15,55819,4.0,42922,12897,Yulion Heart,https://img2.finalfantasyxiv.com/f/b8ec1b4baa86e48aa019210dd6438527_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644955980
15,3337444,76,17,16,55381,6.0,40522,14859,Natsume Natsu,https://img2.finalfantasyxiv.com/f/a1ca611d84930dee75205255e9103347_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644970380
16,29589041,76,17,17,52903,19.0,22923,29980,Meowmeow Lunasea,https://img2.finalfantasyxiv.com/f/5ffc8d02ac92b7ca1dbe65625b2b6734_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645068922
17,3091545,76,17,18,49321,22.0,20249,29072,Eriri Eri,https://img2.finalfantasyxiv.com/f/66301d85053753432fcb62a3fb1d527a_36f0570990ac5402b2ef514d36b0435cfc0_96x96.jpg?1644767267
18,9533015,76,17,19,47077,13.0,29193,17884,Akira Rayroad,https://img2.finalfantasyxiv.com/f/ef753ab640174145e07a3a4b8184953b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645045886
19,26468239,76,17,20,46562,26.0,18450,28112,Sara Curtiss,https://img2.finalfantasyxiv.com/f/cf218c0cc3d61aab3d0dc0c45c40ed27_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645134210
20,27329647,76,17,21,45041,16.0,28337,16704,Gon Chan,https://img2.finalfantasyxiv.com/f/905824f03e2aafbd63f07741f8b0cd77_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644796445
21,17619860,76,17,22,38388,23.0,20050,18338,Cham Monspion,https://img2.finalfantasyxiv.com/f/bd4fb2a799e04259b26cf961f4f6658d_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645036659
22,1839720,76,17,23,33787,25.0,19227,14560,Mon Chi,https://img2.finalfantasyxiv.com/f/312e1fdcb4c1d5bcfd6b353e8aa29936_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644985771
23,21855398,76,17,24,32586,31.0,15971,16615,El Mirage,https://img2.finalfantasyxiv.com/f/c04ed7d8d6beb12bee0734eb16bd1bf5_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645114315
24,12170741,76,17,25,32328,24.0,19826,12502,Ichi'a Uki,https://img2.finalfantasyxiv.com/f/c76555b4504a933f1d62710be53faf5a_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645061363
25,8518564,76,17,26,28449,62.0,8462,19987,Rei Kirisame,https://img2.finalfantasyxiv.com/f/a3b4d0643fc2b13c3718e725aa694a5f_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645144824
26,26581024,76,17,27,28360,20.0,22549,5811,Yuni Seraphim,https://img2.finalfantasyxiv.com/f/4d9e92bdd9caf8ee2306dec1a2060ccf_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645153970
27,7985798,76,17,28,27180,83.0,7015,20165,Maya Himegami,https://img2.finalfantasyxiv.com/f/e2801c9bd70f5b9edad6bdac9a10b344_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644746624
28,18405188,76,17,29,25795,21.0,21519,4276,Hanaa Song,https://img2.finalfantasyxiv.com/f/3dee32f36f6de157c264c592b4609808_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644988873
29,3592921,76,17,30,25189,36.0,13762,11427,Lisa Knightley,https://img2.finalfantasyxiv.com/f/d545b5a909cafe5b8c9d4ece542f8164_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645176940
30,3147252,76,17,31,25116,32.0,15951,9165,Hotaru Samurai,https://img2.finalfantasyxiv.com/f/9148ccbb3affef1dade84ff786764fdf_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644837791
31,6220917,76,17,32,24689,,0,24689,Favor Wood,https://img2.finalfantasyxiv.com/f/ac548231ab553545d50f4f7ad05ed206_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644956785
32,24720925,76,17,33,23062,18.0,23062,0,Pero Tanuki,https://img2.finalfantasyxiv.com/f/2417de67cb22e25f13c86402e16e4f31_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645072991
33,2913034,76,17,34,23045,,0,23045,Bourg Heatalenu,https://img2.finalfantasyxiv.com/f/a6bf645f6f0af5a794b195fdb6526c44_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644922821
34,27554118,76,17,35,22486,55.0,9747,12739,Roni Sera,https://img2.finalfantasyxiv.com/f/5e4b9cf791cdfbfb4d5219370b8e1a1b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644902813
35,23844360,76,17,36,22475,50.0,10529,11946,Kira Pon-d-ring,https://img2.finalfantasyxiv.com/f/459b3b99f4bf447bf96f7de355b754e3_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644610487
36,21822269,76,17,37,22154,68.0,7932,14222,Sigur Stark,https://img2.finalfantasyxiv.com/f/cac115db9a41e458be2509928dea4ce0_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645114736
37,15557324,76,17,38,21790,33.0,15792,5998,Bel Lebon,https://img2.finalfantasyxiv.com/f/07c4b05f61dc0a7868d87ef1060ab942_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644976777
38,22764374,76,17,39,20792,,0,20792,Tkpn Oakville,https://img2.finalfantasyxiv.com/f/be01640affdc530ac3fcbb020b28f9e2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645085420
39,12658329,76,17,40,19821,51.0,10498,9323,White Cake,https://img2.finalfantasyxiv.com/f/0169c19d68b965f1abd16217cd2a53d2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645096173
40,960716,76,17,41,19707,,0,19707,Sayu Hisanuma,https://img2.finalfantasyxiv.com/f/269c216ae0746791cb33d6dba9f7f5d2_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644982195
41,7016727,76,17,42,19442,49.0,10586,8856,Vane Clean,https://img2.finalfantasyxiv.com/f/04b7528d58b74ab74fea3daf10332d6b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645067937
42,17434204,76,17,43,19375,91.0,6550,12825,Uni Sen,https://img2.finalfantasyxiv.com/f/fbe574ca585573b6207f49d06c276795_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645038640
43,3299781,76,17,44,18513,29.0,18063,450,Kaguran Akane,https://img2.finalfantasyxiv.com/f/c5f67d6f1758bb2b0dc6c6aac9338808_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644890204
44,20118088,76,17,45,18343,97.0,6123,12220,Corona Prominence,https://img2.finalfantasyxiv.com/f/2479c805a5295373a820cefcf0de6060_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645017897
45,17543190,76,17,46,18339,27.0,18339,0,Mass Nove,https://img2.finalfantasyxiv.com/f/0fb69c9744c0bfb6a54813258c5343f1_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645118887
46,22765677,76,17,47,18339,47.0,10622,7717,Sora Cerezo,https://img2.finalfantasyxiv.com/f/177be461aa922c94f35a81df9935352a_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644974067
47,25539966,76,17,48,18330,28.0,18330,0,Isla Flamel,https://img2.finalfantasyxiv.com/f/980793fcdf4900fed792fe235ba57d6b_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1644592021
48,3763630,76,17,49,17799,30.0,17799,0,Elehayym Origin,https://img2.finalfantasyxiv.com/f/d8482928ad8ca9a3f6b043ae00f9aca5_9f10d335198e90990f3437c5733468e7fc0_96x96.jpg?1645171197
