,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,6419652,68,14,1,208959,1.0,163980,44979,Rime Cat,https://img2.finalfantasyxiv.com/f/c6f58a04f95c29a77fbe110ad2c1414a_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645084763
1,9368772,68,14,2,117195,2.0,75283,41912,Huyuho Airy,https://img2.finalfantasyxiv.com/f/912f7b73da25c53bd0d13ad108b6caf7_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645165093
2,20851147,68,14,3,104892,5.0,50475,54417,Natasha Ether,https://img2.finalfantasyxiv.com/f/e3afe87d4995b4da8c4f49e232712c5d_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645066771
3,28476623,68,14,4,81111,4.0,55705,25406,Natose Sunman,https://img2.finalfantasyxiv.com/f/0bae2c2d96cebab796ccae7d76c8f537_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644840614
4,24365445,68,14,5,79800,6.0,44674,35126,Citrine Yellow,https://img2.finalfantasyxiv.com/f/319a6930c8516f251add78f2d2fe2793_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644784280
5,24679531,68,14,6,72775,7.0,40910,31865,Youkan Yomogi,https://img2.finalfantasyxiv.com/f/3cd3b1773d88786f45c4abcfc93b12cc_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645111070
6,22856509,68,14,7,56442,3.0,56442,0,Tiny Azuzu,https://img2.finalfantasyxiv.com/f/07d784fc704bf41ab25f818d961c0516_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645080713
7,5416604,68,14,8,54729,8.0,34361,20368,Mokata Mk,https://img2.finalfantasyxiv.com/f/51dbe770149abb14dbc4e1af16401bfe_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645143932
8,1684196,68,14,9,31845,9.0,31845,0,Yi Littleluna,https://img2.finalfantasyxiv.com/f/1d0cb26dbfc119384d60f5dc3cc80440_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645093422
9,1618481,68,14,10,26207,33.0,2834,23373,Mercedes Wainwright,https://img2.finalfantasyxiv.com/f/8a58809ca1260737a633f9f9237aad82_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645018219
10,3774173,68,14,11,25058,11.0,16182,8876,Shin Katsragi,https://img2.finalfantasyxiv.com/f/2242a2b5deef457100b1e9695d463ce3_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645003504
11,27643375,68,14,12,23039,13.0,14033,9006,Ruli Kozaki,https://img2.finalfantasyxiv.com/f/ad2fbfa91a5730e275767cb895887a53_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645100075
12,18057411,68,14,13,22595,10.0,17589,5006,Mame Milk,https://img2.finalfantasyxiv.com/f/2c38708d9dc3e0885823489319d480ee_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645086213
13,27178156,68,14,14,18204,18.0,7670,10534,Hiyui Ceresia,https://img2.finalfantasyxiv.com/f/bdeddfab44ab5ca5a7345b38b6143a25_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645117828
14,17330641,68,14,15,16872,15.0,11531,5341,Dio Jolno,https://img2.finalfantasyxiv.com/f/662fe262116d02cb5a877b5caed6cb72_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1645183332
15,26546703,68,14,16,15086,12.0,14191,895,Chann Mk,https://img2.finalfantasyxiv.com/f/e4ca3a6a2d98629e15b61c80e4f9bcd6_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645125998
