,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,26104189,74,15,1,205318,1.0,103120,102198,Eliza Cassan,https://img2.finalfantasyxiv.com/f/6819e56eb2c5f7caa21029970921effe_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645032343
1,27589204,74,15,2,141413,2.0,90569,50844,Delphine Vi'aerlys,https://img2.finalfantasyxiv.com/f/95b45cb99ae9714d99f4be6b1463df77_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645050983
2,20049745,74,15,3,80175,3.0,48647,31528,Jess Divinia,https://img2.finalfantasyxiv.com/f/1f71319e89f835b4aae1237da691c290_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645174665
3,11473219,74,15,4,63334,4.0,42965,20369,Keridwyn Maeve,https://img2.finalfantasyxiv.com/f/800d7fa4739ad61707833210bd650595_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645047472
4,3055305,74,15,5,32404,,0,32404,Dhembryda Frydwilfwyn,https://img2.finalfantasyxiv.com/f/291086587207545b9a25f0837a9e4c2d_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645053433
5,2831074,74,15,6,25404,5.0,25404,0,Niko Rasu,https://img2.finalfantasyxiv.com/f/60188ebb9eaba92b603cfe326428bd50_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645043956
6,2302502,74,15,7,24615,,0,24615,Mizz Milz,https://img2.finalfantasyxiv.com/f/8ddedc7da312b1de3924cbb2682faced_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645029912
7,5285245,74,15,8,24461,54.0,538,23923,Ume Yuzu,https://img2.finalfantasyxiv.com/f/3cce524d2be6c1805f874fce8d2f8105_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645149538
8,2336184,74,15,9,23440,10.0,5225,18215,Reinhart Bloodthirst,https://img2.finalfantasyxiv.com/f/381652c4a1109c4399bdd8a6a97c9cf5_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645103931
9,29364927,74,15,10,22223,,0,22223,Ice Coldwall,https://img2.finalfantasyxiv.com/f/45acc6e88cad55982332950324a3870b_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645147667
10,16866441,74,15,11,22029,25.0,2164,19865,Vyncent Aeolos,https://img2.finalfantasyxiv.com/f/770fbea508a3713f316cd1bf45ed8788_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644991235
11,24689988,74,15,12,14876,7.0,8410,6466,Detsu Eucliffe,https://img2.finalfantasyxiv.com/f/1959c367367b35ecac8cfee4ffa8d737_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645017413
12,11496858,74,15,13,10701,22.0,2780,7921,Mishio Kurohime,https://img2.finalfantasyxiv.com/f/d1c2e526af329e22fb2489eace856410_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645169344
13,2953447,74,15,14,10288,8.0,5580,4708,Verie Lihzeh,https://img2.finalfantasyxiv.com/f/37afa924d669eff97ba18d04e675fa0e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644977340
14,2334571,74,15,15,8416,6.0,8416,0,Curt Williams,https://img2.finalfantasyxiv.com/f/15749581cb06043a0da783b37a03f5f2_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645031896
15,16895581,74,15,16,7516,19.0,3555,3961,Alice Everglade,https://img2.finalfantasyxiv.com/f/ca1671ce7ba79554e7e3cbd7da2ea845_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645089727
16,14900225,74,15,17,7490,12.0,5011,2479,Claire Ilenna,https://img2.finalfantasyxiv.com/f/02a55de65098b5fa953f07cfc14a05d6_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645159146
17,20325520,74,15,18,6337,17.0,3852,2485,Portia Brewster,https://img2.finalfantasyxiv.com/f/66933fdb5014e05e8aa9c891213376ac_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644600275
18,7053342,74,15,19,5487,38.0,1303,4184,Aurelle Fauxtemps,https://img2.finalfantasyxiv.com/f/3ef49a618dd2c4edbe76c458e2879a49_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645065380
19,21617225,74,15,20,5457,9.0,5457,0,Tretesta Kerberion,https://img2.finalfantasyxiv.com/f/75a520488c4950f5335053ed00033782_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645026618
20,21360977,74,15,21,5130,11.0,5130,0,Myrcella Xapsis,https://img2.finalfantasyxiv.com/f/1e5a982d126e3faec941d7732145e61a_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645142334
21,18913092,74,15,22,4860,13.0,4860,0,Hinata Senpai,https://img2.finalfantasyxiv.com/f/af89c9c92fc9d8c36d5194abb52c63e0_a91aae52cff9ef65932db06b150ffd47fc0_96x96.jpg?1645179135
22,20582883,74,15,23,4696,14.0,4696,0,Josh Dragonhl,https://img2.finalfantasyxiv.com/f/4ce6f223380ab2ec2dfc56483cd8d935_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644761075
23,25033535,74,15,24,4560,18.0,3750,810,Antares Proxima,https://img2.finalfantasyxiv.com/f/a911c974f1cf1595acf7937a7698a145_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645014260
24,4536988,74,15,25,4525,15.0,4525,0,Super Hans,https://img2.finalfantasyxiv.com/f/adcded3a0be279fc70ca8560e2dd793d_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645034428
25,30588317,74,15,26,4318,16.0,4318,0,Little Three,https://img2.finalfantasyxiv.com/f/a1ce1d676322a5b70cc4cad6158bc6ce_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644970745
