,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2832422,57,11,1,325515,1.0,181864,143651,Wool Lafleece,https://img2.finalfantasyxiv.com/f/536ca081c01d4824c656afe737bc6207_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645080071
1,21249672,57,11,2,235957,2.0,128862,107095,Kaga Shikibu,https://img2.finalfantasyxiv.com/f/d220f2d76b302aeab27769f23735cccd_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645065300
2,24370298,57,11,3,82100,3.0,43672,38428,Berenice Bellveil,https://img2.finalfantasyxiv.com/f/7c40735221cc635e6518030e7393ec2b_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644994825
3,6762109,57,11,4,76742,6.0,10656,66086,Zehnn Adamas,https://img2.finalfantasyxiv.com/f/b18d4c033ed3d11cc71952787ae1c9a5_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644776946
4,30579393,57,11,5,27200,4.0,24866,2334,Reyla Melegris,https://img2.finalfantasyxiv.com/f/ccf649ce1326d996572328b9eee4dc99_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644841484
5,7998681,57,11,6,19317,5.0,13407,5910,Rikku Suave,https://img2.finalfantasyxiv.com/f/372d04e404003b4ae9e06af3dec91ab0_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645046452
6,19107282,57,11,7,14014,7.0,10312,3702,Viridian Prismian,https://img2.finalfantasyxiv.com/f/23b29d485e3e13c8d3af8bdbe071f787_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645047642
7,22647191,57,11,8,13683,9.0,7736,5947,Milo Verra,https://img2.finalfantasyxiv.com/f/437b1fe75bc88b166477f8082eb68163_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644912806
8,24166992,57,11,9,11784,31.0,1260,10524,Myria Tyr,https://img2.finalfantasyxiv.com/f/1581d0eaae7b83d4ce523caafa55bf3a_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645081288
9,24451378,57,11,10,10926,,0,10926,V'iridiana Astolla,https://img2.finalfantasyxiv.com/f/d0e898c2adab053c0d3d788a092d53b9_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644650458
