,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,13374469,93,15,1,251044,1.0,205218,45826,Arlen Wyze,https://img2.finalfantasyxiv.com/f/c7c7595963efbb4114b2cf2e58c987d6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645121869
1,3835884,93,15,2,146737,3.0,100466,46271,A'malia Fhey,https://img2.finalfantasyxiv.com/f/25cdb9212a20eff12785076895e7a392_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644966938
2,25599299,93,15,3,137441,4.0,99492,37949,Tetra Yato,https://img2.finalfantasyxiv.com/f/575eb98ded16b81993dbcdf9f92e4958_745baffc465480ed372e274d50318290fc0_96x96.jpg?1644916080
3,1180389,93,15,4,130970,5.0,94020,36950,Ezekiell Zepol,https://img2.finalfantasyxiv.com/f/4ad42e78dbedc29967c7a80c89723218_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645159290
4,18086508,93,15,5,107236,2.0,107236,0,Korbin Burnstead,https://img2.finalfantasyxiv.com/f/782228f08d421d0cbdfe199291628d97_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645145565
5,16860623,93,15,6,104619,6.0,74639,29980,Aunwae Kilath,https://img2.finalfantasyxiv.com/f/080a55a0069eb9fa94ca523d2c1d3e35_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645030203
6,15689090,93,15,7,86600,10.0,49893,36707,Nocia Chevrinne,https://img2.finalfantasyxiv.com/f/768721fd035bb63facf12f3f0514344e_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645106357
7,1725317,93,15,8,82507,7.0,73978,8529,Colonel Sanders-,https://img2.finalfantasyxiv.com/f/6bcace25183eb4c823b8f497723a866d_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645176899
8,19292950,93,15,9,78100,8.0,68489,9611,Sym Hollysharp,https://img2.finalfantasyxiv.com/f/a578935fd25685e65af3984e86514e93_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645177260
9,5657496,93,15,10,74573,9.0,51512,23061,Gunner Megaraptor,https://img2.finalfantasyxiv.com/f/6a5c43efb8ccd82af78a3d4c8a849024_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645047351
10,2973541,93,15,11,58320,12.0,42338,15982,Zeke Dracarys,https://img2.finalfantasyxiv.com/f/8299fe91f16f82a6403d988a7e0b7887_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645127031
11,523126,93,15,12,51646,11.0,49093,2553,Sol Cool,https://img2.finalfantasyxiv.com/f/95c462b8ca6855329c4a168d678ecbc6_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645160035
12,2944862,93,15,13,34372,14.0,23616,10756,Meo Wee,https://img2.finalfantasyxiv.com/f/3db7e317e55ccebfbfb8f5d271327113_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645179637
13,371598,93,15,14,26510,13.0,26510,0,Celes Fortis,https://img2.finalfantasyxiv.com/f/42bfa84fb30b88c9c466c4ab1df29b8c_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645069591
14,8140206,93,15,15,19800,16.0,13200,6600,Eropiro Basch,https://img2.finalfantasyxiv.com/f/d35b05eb84e9db0dc934a54743d42fdc_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645093662
15,1234905,93,15,16,18283,21.0,7046,11237,Ashleigh Vanderbilt,https://img2.finalfantasyxiv.com/f/fd3a0b7647a1ce0402d80eb5f7bcc291_745baffc465480ed372e274d50318290fc0_96x96.jpg?1645169628
