,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,1544609,40,16,1,300619,1.0,218407,82212,Alysiel Lenari,https://img2.finalfantasyxiv.com/f/9b952dbabba9c9605b72e1b7f3a347ab_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644978449
1,24952091,40,16,2,214985,3.0,145118,69867,Sugar Eve,https://img2.finalfantasyxiv.com/f/c4f20b2b86232ed0b3b0ab31abf3e20b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645138641
2,22017254,40,16,3,199148,5.0,133725,65423,Dain Verin,https://img2.finalfantasyxiv.com/f/6273a77bea539e69ac0f88061f4c95a3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645133621
3,7037148,40,16,4,187661,2.0,152620,35041,Abyss Watcher,https://img2.finalfantasyxiv.com/f/7378de7365a12cb6c13fcf577b857610_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645031989
4,17001639,40,16,5,185449,15.0,84439,101010,Matthis Barrigan,https://img2.finalfantasyxiv.com/f/2e0f0a9a0b9f084566dbf545f3bfaefa_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644990230
5,15688161,40,16,6,180521,4.0,140430,40091,Ravena Blackfyre,https://img2.finalfantasyxiv.com/f/e51f1eea2986738776f0896dd8ac6473_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645070909
6,19380245,40,16,7,179452,6.0,124463,54989,Yara Saltcliffe,https://img2.finalfantasyxiv.com/f/73854a41fb0e770609a50790f1d676e3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645149864
7,29211955,40,16,8,176639,9.0,114589,62050,Squirrel Pizza,https://img2.finalfantasyxiv.com/f/664a7461c92f5935197ea24408b8037d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645116269
8,15712484,40,16,9,173205,7.0,120880,52325,Kraken King,https://img2.finalfantasyxiv.com/f/d3c4b2829e52152ba9421535e8419f24_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644999996
9,27743129,40,16,10,170519,8.0,119209,51310,Amelia Spectre,https://img2.finalfantasyxiv.com/f/7a00f2140b685e0140088cd1bca50893_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644832898
10,9085850,40,16,11,160685,11.0,109232,51453,Xvett Aldtin,https://img2.finalfantasyxiv.com/f/f5d905a685a452fe5fdc85a04f2e83e8_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645010111
11,19024018,40,16,12,158619,16.0,82304,76315,Jiya Metherlance,https://img2.finalfantasyxiv.com/f/ae711f1bb3b326a1dd2291651f1051ba_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645070223
12,21716604,40,16,13,157641,10.0,110452,47189,Looney Miqo'te,https://img2.finalfantasyxiv.com/f/2eb8ced9aa05e61dc8d7facab9a81a19_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644958459
13,25964583,40,16,14,141892,24.0,59054,82838,Siris Lanverlais,https://img2.finalfantasyxiv.com/f/1fc240dc6cb6d31f61d58fae3dddb99a_4d9be17b5e1edc617052b4dbf4007875fc0_96x96.jpg?1644816144
14,27140432,40,16,15,125699,12.0,106637,19062,Uma Jan,https://img2.finalfantasyxiv.com/f/40859b5dfc8f5d4d3b057f7f759360b3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645052629
15,25043398,40,16,16,115489,22.0,65751,49738,Selina Neuenmuller,https://img2.finalfantasyxiv.com/f/911f9a99cef78c6945a3f5caf832e71a_1fa3a1b3845481a1b67b46854a3cc49afc0_96x96.jpg?1644607231
16,1362416,40,16,17,102421,13.0,102421,0,Illy Gainsborough,https://img2.finalfantasyxiv.com/f/a727ddef1208379cd0524c7cd63e984d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645127784
17,9962740,40,16,18,101867,21.0,67660,34207,Sarah Saeun,https://img2.finalfantasyxiv.com/f/45a5b3b8955cabda6472d1f2f58a1c0a_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645119838
18,14718768,40,16,19,100798,25.0,56446,44352,Himari Takahura,https://img2.finalfantasyxiv.com/f/c30bfee5059f0c6e17e849465f9e5ae8_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644985672
19,24483745,40,16,20,99297,18.0,78761,20536,U'mara Odh,https://img2.finalfantasyxiv.com/f/ff02c141f371e3653af2f85a9b2b0b6b_2f53b2675d3eea360f0b48d74d30af15fc0_96x96.jpg?1644902348
20,27851211,40,16,21,99280,17.0,82189,17091,Elisabeth Deseo,https://img2.finalfantasyxiv.com/f/e2f9dad6bc87220ae4c37ddebe4a3f22_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645172789
21,28242210,40,16,22,92812,14.0,92812,0,Ayla Redfer,https://img2.finalfantasyxiv.com/f/29dc78d8b329895fe31ef1a0433b735c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644926350
22,28501055,40,16,23,82461,20.0,67775,14686,Kaja Ruen,https://img2.finalfantasyxiv.com/f/af01cdc7eb2cf791c4f5df00f7192818_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644872244
23,22506470,40,16,24,81003,19.0,75174,5829,Specter Fugi,https://img2.finalfantasyxiv.com/f/40e08e69f78509a5b72174b5d1edeb0f_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644850327
24,27072753,40,16,25,74628,27.0,47121,27507,Divinity Fate,https://img2.finalfantasyxiv.com/f/a0c0d64020d9b80f80731a54161b80d7_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645136543
25,23627761,40,16,26,73229,,0,73229,Yuki Sakura,https://img2.finalfantasyxiv.com/f/d5fafa5d2105704d1d6db71f52eab57e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644767300
26,334111,40,16,27,73108,31.0,39845,33263,Alienor D'aquitaine,https://img2.finalfantasyxiv.com/f/5081e47ae0c7ea6863de7f6eb7042090_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645059673
27,2185047,40,16,28,61767,23.0,61767,0,Sapphire Starfall,https://img2.finalfantasyxiv.com/f/7f91b245687d58b9814358d265a21d04_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645043079
28,25758139,40,16,29,58745,33.0,38874,19871,Kga Clawsome,https://img2.finalfantasyxiv.com/f/66fbdd2441952e451bc75ae7ae49f3f0_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644698031
29,16150676,40,16,30,57146,29.0,42157,14989,Ayer Nahvi,https://img2.finalfantasyxiv.com/f/b4cd79a7facd4d5f463e9403cdff6914_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645088151
30,16614170,40,16,31,56529,26.0,50961,5568,Nym Rielle,https://img2.finalfantasyxiv.com/f/05014636170d78dc03f9f36f87e4bf0c_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645041213
31,24405079,40,16,32,56314,30.0,41886,14428,Levin Lemonade,https://img2.finalfantasyxiv.com/f/2ad7df6697190526bb9735109a6f3e52_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644593635
32,22023447,40,16,33,56063,28.0,43432,12631,Stamaskas Saito,https://img2.finalfantasyxiv.com/f/6d7e2e39f4104b14e635a0b7a5a8f7d0_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645167471
33,13290463,40,16,34,53683,34.0,38576,15107,Kahla'ka Anoxa,https://img2.finalfantasyxiv.com/f/cd2b52bf4bb9d4e76d4ec7d798785cbb_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645078687
34,28110378,40,16,35,50527,43.0,30791,19736,Sophie Kresnik,https://img2.finalfantasyxiv.com/f/2e8cf9f8a3b200b0d5aaf1c1c32310bf_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644834357
35,25576823,40,16,36,46914,38.0,34472,12442,Roysa Redsteele,https://img2.finalfantasyxiv.com/f/60925c59790e0495c30a0b68a5a9ea6b_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645060824
36,11332239,40,16,37,45736,39.0,32455,13281,Morihiro Morioka,https://img2.finalfantasyxiv.com/f/347676fa1c85782721f5560794c43c2a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644957045
37,28194246,40,16,38,44715,37.0,34593,10122,Voidsent Status,https://img2.finalfantasyxiv.com/f/13edb6c580d8d80aa81455e951ec34b3_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644891742
38,24050262,40,16,39,44552,36.0,34672,9880,Ellie Deseo,https://img2.finalfantasyxiv.com/f/f48f8563c3e3e9a6f799651e8521626e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645101681
39,26651979,40,16,40,43773,61.0,23623,20150,Shizuna Misurugi,https://img2.finalfantasyxiv.com/f/c520c16ad2a443ea9e058d3288c3558d_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645082327
40,31197387,40,16,41,40512,50.0,27643,12869,Yuko Asai,https://img2.finalfantasyxiv.com/f/01ed55244844eb994cfb14161383fb6a_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644760237
41,8442632,40,16,42,39391,32.0,39391,0,Withering Monkey,https://img2.finalfantasyxiv.com/f/df0d749d7a103e91b695d6ccc092fe93_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645101201
42,10934208,40,16,43,39283,48.0,29429,9854,Suiko Tatsunagi,https://img2.finalfantasyxiv.com/f/3755846ea77434ba14f80898951ee4f9_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644958101
43,30033478,40,16,44,38513,35.0,35875,2638,Rum-tum Tugger,https://img2.finalfantasyxiv.com/f/ec754f597a0987e86e53773feace2fb0_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644918200
44,30004226,40,16,45,37783,47.0,29487,8296,Lif Alpha,https://img2.finalfantasyxiv.com/f/0b4bc94d38a59351c168a629c3c64032_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1644821623
45,12240967,40,16,46,36785,45.0,30045,6740,Elira Irisa,https://img2.finalfantasyxiv.com/f/4f5398b9dfbe8248042d292810ca8bf7_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645148907
46,14617058,40,16,47,35895,54.0,26825,9070,Linca Hindesca,https://img2.finalfantasyxiv.com/f/673caee61812edbfa265dcbe472f7846_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645017493
