,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,2176136,71,12,1,241589,2.0,118809,122780,Snoewyb Falkoenwyn,https://img2.finalfantasyxiv.com/f/4882a9a5cefd731d66623e15299ba167_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645067200
1,6935591,71,12,2,215162,1.0,143538,71624,Margoton Sozohyre,https://img2.finalfantasyxiv.com/f/2b99b86e41e5a7c4cb470db95e273309_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645042863
2,13322909,71,12,3,172495,3.0,108055,64440,Nea Jennyfer,https://img2.finalfantasyxiv.com/f/4e5dbf8c35819a2a60a27ce3e3ddb2df_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644963081
3,18453014,71,12,4,130090,5.0,77173,52917,Twenty-fifth Baam,https://img2.finalfantasyxiv.com/f/84e0b47a47909d0865ad994ac4cbf61f_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645101466
4,19923415,71,12,5,116404,4.0,91554,24850,No Ma'rah,https://img2.finalfantasyxiv.com/f/1611662886d8b9f035c8822d2588b0ef_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645142719
5,7175488,71,12,6,111019,9.0,51958,59061,Kyouko Nishi,https://img2.finalfantasyxiv.com/f/39cd5aed6cac335d87f007c9828fd8fe_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644621793
6,22965619,71,12,7,92398,6.0,66668,25730,Alwyn Silberblatt,https://img2.finalfantasyxiv.com/f/d33f731c194f87127c51a278ddb8c6c9_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644983684
7,19312868,71,12,8,74564,7.0,65819,8745,Skylie Sabotender,https://img2.finalfantasyxiv.com/f/9c79b6ec2884cc7a9bc46ee00927f228_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645144757
8,12503461,71,12,9,65546,8.0,53941,11605,Nyx Loomagnus,https://img2.finalfantasyxiv.com/f/8e3c10840ac8571a388c2352d669cb80_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1645076631
9,2349553,71,12,10,40568,12.0,19588,20980,Zamaruki Starhallow,https://img2.finalfantasyxiv.com/f/78a47ed94100969429bf4a23e73fac9f_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645139743
10,1670099,71,12,11,36387,10.0,36387,0,Fioras Windchaser,https://img2.finalfantasyxiv.com/f/0b0d7444156fe13ba0aa189b2a74318d_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645148096
11,12390655,71,12,12,26472,11.0,26472,0,Sboxa Stalker,https://img2.finalfantasyxiv.com/f/1025b02c66792af1a0548ee5f9245a01_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644930545
12,2877070,71,12,13,22671,13.0,15021,7650,Tekh Karani,https://img2.finalfantasyxiv.com/f/4cc4b2787c416ba7c6eecad41fd6da67_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644811918
13,18748092,71,12,14,14187,14.0,10083,4104,Aries Macabre,https://img2.finalfantasyxiv.com/f/5b924795b84d709db0c9d51d6eb29c80_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645023170
14,11780971,71,12,15,9820,15.0,9820,0,Nhue'ra Amariyo,https://img2.finalfantasyxiv.com/f/f216adf6f41e80715179971c786abf9c_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645137325
15,2258757,71,12,16,5829,17.0,4959,870,Teza'to Mujuuk,https://img2.finalfantasyxiv.com/f/9d9747fdf8767c8b0062b01e8361588a_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644889420
16,15060219,71,12,17,5658,16.0,5658,0,Pyro Xie,https://img2.finalfantasyxiv.com/f/f9b5f2c37f2d022e9abe2fd1a6f84c8e_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645035663
17,21360982,71,12,18,3701,18.0,3701,0,Natsu Domie,https://img2.finalfantasyxiv.com/f/2ddb6fa64b0a04c78fa8bb8311b9169b_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644999152
18,6838189,71,12,19,3500,,0,3500,Rosalind Dex,https://img2.finalfantasyxiv.com/f/a53b2640f7ccadc943dc9458355c8a0e_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645112372
19,15654018,71,12,20,3245,52.0,227,3018,Xel Naga,https://img2.finalfantasyxiv.com/f/7477d0a8f1316aa3f58804bffec9fba5_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1644979714
20,16864027,71,12,21,3116,20.0,2606,510,M'nahbo Rhiru,https://img2.finalfantasyxiv.com/f/bfe8a14d8ceee9799a5691ec5e3f75c0_d7a9d5f85a29d6278ec1c7adc2c8d242fc0_96x96.jpg?1645172131
