,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,41869,28,18,1,455399,1.0,352796,102603,Harrisia Primrose,https://img2.finalfantasyxiv.com/f/62d1c95923e92930e420ea686c230b09_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645142951
1,19361655,28,18,2,352928,2.0,255621,97307,Ouwel Miko'n,https://img2.finalfantasyxiv.com/f/e0267d495d81ee0bae08d341526bf93d_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645116417
2,23404651,28,18,3,232149,3.0,155088,77061,Su Myss,https://img2.finalfantasyxiv.com/f/7196518ca98bd10c1486259d0915924e_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644765533
3,4292543,28,18,4,160076,8.0,100181,59895,Colt Seveule,https://img2.finalfantasyxiv.com/f/51f30cba4ad3b943e34af9c6487c1e1b_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644946012
4,28793465,28,18,5,157295,4.0,117133,40162,Emily Earhart,https://img2.finalfantasyxiv.com/f/6f40325e5cdf6fed8fb948301bb2e4c2_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645106730
5,27160629,28,18,6,151708,9.0,98885,52823,Rei Snake,https://img2.finalfantasyxiv.com/f/8b6a555cb7b4ed6393ac6bfea4dde0f9_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645104178
6,19216912,28,18,7,151091,6.0,109951,41140,Sky Flown,https://img2.finalfantasyxiv.com/f/7cd3b8375df915fe40f5feeceb5015d4_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644811742
7,6562744,28,18,8,144878,7.0,105442,39436,Blue Mountain,https://img2.finalfantasyxiv.com/f/fe861a4b04d9a2bc5e759b94cdec47c7_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645156219
8,18662042,28,18,9,144625,5.0,112813,31812,Naon Uc,https://img2.finalfantasyxiv.com/f/093d2cd8cf56eaf4a8346c60fccc03b1_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645037063
9,15028858,28,18,10,125417,12.0,83565,41852,Shizuku Hydrant,https://img2.finalfantasyxiv.com/f/e3f55e6ebb404fd124102f248dde5656_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644926297
10,23778083,28,18,11,120549,11.0,87685,32864,Barikata Chan,https://img2.finalfantasyxiv.com/f/26142f62c4f3a143fc833bb063813127_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645118466
11,28783382,28,18,12,109141,16.0,64776,44365,Director Center,https://img2.finalfantasyxiv.com/f/734e6404cf04c355b738c8cca4388f71_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645134733
12,30674226,28,18,13,101556,19.0,61451,40105,Ruru Shurie,https://img2.finalfantasyxiv.com/f/270230a0cdf7789c2f41ad3756b70ffb_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1644948945
13,18385901,28,18,14,100538,14.0,70042,30496,Plan Three,https://img2.finalfantasyxiv.com/f/a62dd65cd0a4bc34afb9f89a6b4d3c4a_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645081245
14,16625346,28,18,15,95965,10.0,95965,0,Yakitori Cola,https://img2.finalfantasyxiv.com/f/53cb58d4ebad90a2418ee570de871c6e_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645070545
15,16490456,28,18,16,95697,23.0,52344,43353,Geor Ferret,https://img2.finalfantasyxiv.com/f/3e04ccd9dd4496a0f755cfaaf6e1a54f_470db1bf2e865f9130531fea40b61ee4fc0_96x96.jpg?1645123570
