,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,10959109,85,15,1,429354,1.0,310516,118838,Lavanya Hope,https://img2.finalfantasyxiv.com/f/dcee759863536115770bfbfabc956ba2_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645189835
1,18302276,85,15,2,234256,3.0,132042,102214,Emina Catto,https://img2.finalfantasyxiv.com/f/c955d7f58f916710c1374244a9147057_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645075835
2,29728800,85,15,3,230191,2.0,145917,84274,Vermillion Terror,https://img2.finalfantasyxiv.com/f/d22c3a5a138185c19dbbe3dcc4e4d549_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644852931
3,13017836,85,15,4,105997,4.0,62952,43045,I'm Lucia,https://img2.finalfantasyxiv.com/f/7c4e215301f6bd7497461b8f06215870_57ae9ee5592123dd79c8912bf768cf99fc0_96x96.jpg?1644969859
4,26601295,85,15,5,54172,7.0,12271,41901,Anita Gofradump,https://img2.finalfantasyxiv.com/f/b04283611bcee4a96bd5210491007fd6_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645115347
5,29074325,85,15,6,38358,5.0,26351,12007,Nonweeb Ewidz,https://img2.finalfantasyxiv.com/f/efb5c3c87d3b5d9aba2ddb585e23fe81_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645018068
6,14779671,85,15,7,24462,10.0,9304,15158,King Viera,https://img2.finalfantasyxiv.com/f/2088ad53683d3de3199a44433f3af8bb_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644927176
7,12025520,85,15,8,22999,6.0,18401,4598,Shion Yumitori,https://img2.finalfantasyxiv.com/f/beb670164a03877e9422ef573888fe16_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645105606
8,25674206,85,15,9,21044,9.0,10277,10767,Runnala Loera,https://img2.finalfantasyxiv.com/f/af0afc21d64c1acbdb1ba9cb5ba323a4_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645083304
9,26388489,85,15,10,10434,8.0,10434,0,Val Mjrn,https://img2.finalfantasyxiv.com/f/1868f3c6f297769f103e235014e8c7b4_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645060201
10,18081307,85,15,11,8756,16.0,4346,4410,Zoe Byltwyn,https://img2.finalfantasyxiv.com/f/3fb84c30507c9a3982f88cca06b4a836_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645184019
11,26427652,85,15,12,7600,15.0,4540,3060,A'erstia Tyata,https://img2.finalfantasyxiv.com/f/a6152fba002b7a81c17701acfd826dae_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645104800
12,11618279,85,15,13,6591,11.0,6591,0,Kim Goldmane,https://img2.finalfantasyxiv.com/f/c148cd5ba6da51e993b724dc1023e6d7_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645153684
13,10270451,85,15,14,6095,12.0,6095,0,Wodar Hospur,https://img2.finalfantasyxiv.com/f/ae44fb566cee1e85b56e22ce13cd4219_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644954147
14,26110487,85,15,15,5310,13.0,5310,0,Asen Six,https://img2.finalfantasyxiv.com/f/bb9fc35efbac47f580689877acda48a5_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645117300
15,12644259,85,15,16,4592,14.0,4592,0,Quella Eldershield,https://img2.finalfantasyxiv.com/f/2e25fd87f93a46f934871f760c056b27_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644975614
16,12807465,85,15,17,4145,17.0,4145,0,Epione Pthinoporon,https://img2.finalfantasyxiv.com/f/7eb81776cfdcd63d3e4546088322d4f6_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645159652
17,25330708,85,15,18,3540,18.0,3540,0,Lexi Lockheart,https://img2.finalfantasyxiv.com/f/96bc829ebc9b1a6998bc0bae3aa8d3fd_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645091292
18,27066685,85,15,19,2668,19.0,2668,0,I'quonne Kalorotti,https://img2.finalfantasyxiv.com/f/ec958047dfb2b6ef4d66029eaea2b221_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645158391
19,27435589,85,15,20,2580,20.0,2580,0,Aurora Ryong,https://img2.finalfantasyxiv.com/f/423fb63f342c8b80e9b6178fe6e76225_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644916833
20,5064661,85,15,21,2398,22.0,2248,150,Neo'queen Serenity,https://img2.finalfantasyxiv.com/f/adf90b492e0039f9ae14cccdd24ae566_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645171494
21,20578959,85,15,22,2291,21.0,2291,0,Brima Donna,https://img2.finalfantasyxiv.com/f/3f770fcbd2e4fa0106509f1265e3b5da_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645173149
22,31110371,85,15,23,2143,32.0,671,1472,Seraph Faevalur,https://img2.finalfantasyxiv.com/f/3b7cf39bfd54e223ce9b7edfae0d6dc9_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645139070
23,23294000,85,15,24,2035,23.0,1521,514,Amara Pluto,https://img2.finalfantasyxiv.com/f/bb2b450182bcb727bfe0d99299fc40da_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645160801
24,23141339,85,15,25,1860,,0,1860,Miss Ari,https://img2.finalfantasyxiv.com/f/a71412bfddb1c2e364d41d824a1fa1a6_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645054907
25,20802115,85,15,26,1395,27.0,1081,314,Chrysopee Nehema,https://img2.finalfantasyxiv.com/f/96f31027eae42293c24b344cc6e5ecaf_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645039053
26,11834210,85,15,27,1320,41.0,360,960,Aomine Satsuki,https://img2.finalfantasyxiv.com/f/3f6ddffef2805fb4a4d01207f0bcd840_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645052091
27,20766706,85,15,28,1163,24.0,1163,0,Capitan Biscotto,https://img2.finalfantasyxiv.com/f/0d54ecfbd5200118647bd1d4e8f63b9c_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645054427
28,27683174,85,15,29,1140,25.0,1140,0,Xeroth Astraea,https://img2.finalfantasyxiv.com/f/554414528d63b40793c8408aa8c8f742_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644978538
29,6611954,85,15,30,1110,26.0,1110,0,Haruto Shinjiro,https://img2.finalfantasyxiv.com/f/632af277be8cbf845c6b4cd3ee251159_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645146206
30,20246206,85,15,31,1038,28.0,1038,0,Bearry Adnaw,https://img2.finalfantasyxiv.com/f/7dc0a68c2ca50fde767511acd55e4a3f_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645137506
31,20039494,85,15,32,930,,0,930,Cedrik Djt-gilda,https://img2.finalfantasyxiv.com/f/80bcd281948a74f40eda31c023773f4a_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644942822
32,26072159,85,15,33,930,29.0,930,0,Bao Jin,https://img2.finalfantasyxiv.com/f/1b74742daa43df4d3e88425a16b027b4_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644970090
33,26390984,85,15,34,861,30.0,861,0,Loakey N'yah,https://img2.finalfantasyxiv.com/f/9b8a2637f8c17fccc97822d7a6e9caff_ba15a18cd3a8fb567e39053022515eb6fc0_96x96.jpg?1644761955
34,30826775,85,15,35,861,31.0,861,0,Iris Noire',https://img2.finalfantasyxiv.com/f/9942b38946cb0de4ef6f5434b3a2b06b_0a122616f3718d3f45cab10fd8fc1604fc0_96x96.jpg?1644797375
35,27906621,85,15,36,776,42.0,360,416,Kirito Fhuzuxa,https://img2.finalfantasyxiv.com/f/5f2b6960b7dc4ad7a5b79d6ec13ebaf2_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645005289
36,27300705,85,15,37,760,37.0,476,284,Robin Bishonen,https://img2.finalfantasyxiv.com/f/c39cd542f4dd8d5301271c4ca549445d_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644770482
37,22504291,85,15,38,670,44.0,347,323,Enrei Oshidari,https://img2.finalfantasyxiv.com/f/429fc869d68bc8e517705cd8b4e14d97_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1644904426
