,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,13435305,99,11,1,457355,2.0,257867,199488,Andega Asura,https://img2.finalfantasyxiv.com/f/20357cfe9be9b12a4259ef4bf7c0cbe7_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645079403
1,14875026,99,11,2,291759,1.0,258845,32914,Sophia Tashi,https://img2.finalfantasyxiv.com/f/9609bb2cadcdbc9398c9e635bd2a65e2_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645085087
2,23721041,99,11,3,250835,4.0,167285,83550,Renana Rena,https://img2.finalfantasyxiv.com/f/b7935cdd1107a469ffda80aeb6d8038d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644943638
3,11150993,99,11,4,212046,7.0,59143,152903,Malthius Xavalien,https://img2.finalfantasyxiv.com/f/9daa6f02a29d4dbbb3431e09449bc9a6_0cdf051c93865faa15cbc5cd3d2b69fbfc0_96x96.jpg?1645179362
4,1513993,99,11,5,188539,5.0,154420,34119,Krystal Au'raina,https://img2.finalfantasyxiv.com/f/134950a6002b6497a1d05cdb9dd437dc_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645046975
5,1414570,99,11,6,185482,3.0,176939,8543,Kenji San,https://img2.finalfantasyxiv.com/f/71f63f106627c67dd00cd5e4e5d0ad4a_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645141197
6,21973826,99,11,7,91676,6.0,69539,22137,Y'aesh Nunh,https://img2.finalfantasyxiv.com/f/90868af1484b1a60e29989aee7033dfb_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645113879
7,17070870,99,11,8,88873,,0,88873,Keaton Noble,https://img2.finalfantasyxiv.com/f/9996e2693d3821cc3ca42d876de50b0a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645121576
8,2922703,99,11,9,81268,9.0,43770,37498,Chassit Wren,https://img2.finalfantasyxiv.com/f/cfb66358f660f05edfd9c84522829d49_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644975536
9,1349997,99,11,10,58594,10.0,39582,19012,Kaiyoko Star,https://img2.finalfantasyxiv.com/f/5288f3375672b96ed58a3ebb6f719717_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645136299
10,13453391,99,11,11,55789,11.0,37963,17826,Zirnwyb Solkstahlwyn,https://img2.finalfantasyxiv.com/f/edbff1a498aa66631366d6cb2d07862d_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644822856
11,1891954,99,11,12,55144,8.0,55144,0,Yan Valorite,https://img2.finalfantasyxiv.com/f/4932ece06464874804715b17e99b4b7e_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645188147
12,19563133,99,11,13,37730,,0,37730,Prize Patrol,https://img2.finalfantasyxiv.com/f/817ab1c2a8fddc05111c90fde67636e3_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644767733
13,1373063,99,11,14,34271,16.0,9283,24988,Laela Prismriver,https://img2.finalfantasyxiv.com/f/ed2ce5e15107b8802d14a8db24b6d8e9_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1645181301
14,2822701,99,11,15,26712,12.0,17091,9621,Idieo Kapow,https://img2.finalfantasyxiv.com/f/962c1af6d76eef8eeb3a016386214d26_ba22853447012a24cee115315d6a5bebfc0_96x96.jpg?1644783372
15,26364698,99,11,16,16332,13.0,12183,4149,Yui Leymil,https://img2.finalfantasyxiv.com/f/8099d70ab0ca83162a59d2eb1afa5619_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644963690
