,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25173716,31,12,1,489207,2.0,229527,259680,Chil Remi,https://img2.finalfantasyxiv.com/f/a0b1b99d2eb2b9a0359ddfa01b34994a_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645102932
1,5755352,31,12,2,368838,3.0,229032,139806,Richard Luis,https://img2.finalfantasyxiv.com/f/ac7de6e2d32dfbcf21d98585e2d92180_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645067655
2,22883362,31,12,3,324530,1.0,232315,92215,Adasino Mewrilah,https://img2.finalfantasyxiv.com/f/4f7279eedc0e2cebac9bc35545785605_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645056651
3,29759462,31,12,4,207176,4.0,175578,31598,Shingro Bass,https://img2.finalfantasyxiv.com/f/1b55579dd2fab08b3a801e01f3f13b6d_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644641815
4,30170731,31,12,5,189607,5.0,174776,14831,Moluka Arcania,https://img2.finalfantasyxiv.com/f/c65ed0812acf72150d63c48900b3ddc1_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644808113
5,22500785,31,12,6,109944,7.0,65487,44457,Nein Abend,https://img2.finalfantasyxiv.com/f/15ba4ff4acfdd921a0128c863cbaa05b_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645073010
6,22729726,31,12,7,100321,8.0,45477,54844,Putico Amadeusu,https://img2.finalfantasyxiv.com/f/a20d61fe77da2630767b045916a75fe4_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644807280
7,16617516,31,12,8,94177,,0,94177,Alexandrette Valentin,https://img2.finalfantasyxiv.com/f/dc5971fa961ba165fdc31de6c4915a70_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645004325
8,22882284,31,12,9,79914,6.0,67287,12627,Sig Sumeragi,https://img2.finalfantasyxiv.com/f/0c37312ee3562c7cd02bb3a6058fd5a4_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645044557
9,20877562,31,12,10,70572,15.0,10899,59673,Elle Aynslay,https://img2.finalfantasyxiv.com/f/825c25e1b189350fccca0a9572e397fc_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644973142
10,25547044,31,12,11,69407,9.0,31394,38013,Saigi Saturne,https://img2.finalfantasyxiv.com/f/c3d1034bc1170b5873ab19f4a7ea3928_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644812152
11,10246475,31,12,12,68522,10.0,28283,40239,Shade'a Rudolf,https://img2.finalfantasyxiv.com/f/0a8cb60c146e0f7658c42f722fcfdc62_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644987869
12,27652017,31,12,13,59745,23.0,5803,53942,Yuuki Beorc,https://img2.finalfantasyxiv.com/f/2f03153efc09a3287ebc3381d03fa50c_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645182046
13,22460852,31,12,14,18655,11.0,18655,0,Choru Ru,https://img2.finalfantasyxiv.com/f/a69655bef0a606185404ddbe0ddb6d75_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645188176
14,11703300,31,12,15,16470,14.0,11091,5379,Seven Yozora,https://img2.finalfantasyxiv.com/f/76ed19b3fe25853afd9e92eb6c2e3ed4_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645040923
15,25887717,31,12,16,16161,26.0,4750,11411,Yakisoba Shio,https://img2.finalfantasyxiv.com/f/aa0effa9c27e3e68ac2b8a2842ee0044_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645052640
16,4434955,31,12,17,15792,19.0,7328,8464,Mirona Priestess,https://img2.finalfantasyxiv.com/f/a50b5e3ba74b26af1592048d5ed04a1c_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645027101
17,22404980,31,12,18,15092,13.0,12318,2774,Sayaya Saya,https://img2.finalfantasyxiv.com/f/df3b552f1beacf88a268aadfbb9d19ee_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644959933
18,22646329,31,12,19,13446,12.0,13446,0,Luka Works,https://img2.finalfantasyxiv.com/f/ae4739d4577601c9db318e26567bbb03_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645149347
19,15227333,31,12,20,11700,16.0,8720,2980,Kouki Lugria,https://img2.finalfantasyxiv.com/f/5d8207a7352b97e168bbd161809c3943_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645141776
20,22585067,31,12,21,11319,17.0,8578,2741,Shizu Fui,https://img2.finalfantasyxiv.com/f/c5125869b29bdc5d1aa6ffaf59c971f5_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645180319
21,24451413,31,12,22,9607,22.0,6056,3551,Yukiji Fujisiro,https://img2.finalfantasyxiv.com/f/c26d7ff6b5ee67227a2bac2cec657b6b_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645156262
22,18600797,31,12,23,8936,18.0,7918,1018,Yuris Bj,https://img2.finalfantasyxiv.com/f/762607b3baf2582a2104eed9d70ce8cf_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645018697
23,22619382,31,12,24,7281,20.0,6686,595,George Black,https://img2.finalfantasyxiv.com/f/5c24b5e7faaa39d163a13fe2b995b91b_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645124038
24,17791731,31,12,25,6663,21.0,6663,0,Nina Futaba,https://img2.finalfantasyxiv.com/f/344666b943068a77cd1c73d31ecbf67f_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645073810
25,26400729,31,12,26,6615,34.0,2665,3950,Nishipanda Westin,https://img2.finalfantasyxiv.com/f/2f1321edbb0b5d419e7c52634b57d9fd_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1644743580
26,6397919,31,12,27,6554,,0,6554,Hika Fujimaru,https://img2.finalfantasyxiv.com/f/ce63db4a7c21ab2083c5accb76543089_86da943caa70c8694707ab2ff74e68c9fc0_96x96.jpg?1645006386
27,13013996,31,12,28,6536,25.0,5516,1020,Miku Mk',https://img2.finalfantasyxiv.com/f/a0e81140ee12d4e0712d315d77fbe2f4_4a92c619bde4f34cfa77e05fef21ad85fc0_96x96.jpg?1645069427
