,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,12112083,32,10,1,475893,1.0,295989,179904,Levhi'a Lance,https://img2.finalfantasyxiv.com/f/dd18298c589b975efe41080d17092bbb_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645043405
1,29935717,32,10,2,281687,2.0,197740,83947,Felli Ross,https://img2.finalfantasyxiv.com/f/66e30da8801b3f5eaf0196feb1a3f251_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644725677
2,19765831,32,10,3,160668,3.0,126682,33986,Len Lucis,https://img2.finalfantasyxiv.com/f/11fd9b092cd0c9690f5d7c81ef100f4a_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645021097
3,28168207,32,10,4,93817,4.0,59289,34528,Min Saya,https://img2.finalfantasyxiv.com/f/ab317d115ef68100387cf44fba0639b8_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645172614
4,9450087,32,10,5,85848,5.0,59170,26678,Maria Lux,https://img2.finalfantasyxiv.com/f/b9b3488e036bb5ed4e3e5e8beec5f553_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645116733
5,7667101,32,10,6,70109,7.0,42934,27175,Snow Whithia,https://img2.finalfantasyxiv.com/f/7308535cd8feccdf31d9bfd826333a55_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645142235
6,15709065,32,10,7,57596,6.0,47983,9613,Daimonji Gudenaguru,https://img2.finalfantasyxiv.com/f/a421dbecf965ff737453b2cae0b5ab00_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645127436
7,26301822,32,10,8,54876,12.0,23857,31019,Ken Zo,https://img2.finalfantasyxiv.com/f/fb73983d7122bd2afc438ab568dd56b2_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644965402
8,21285182,32,10,9,38174,8.0,32172,6002,Ly'te Loa,https://img2.finalfantasyxiv.com/f/91b2c675346fe2145cec4f98c84b995d_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645085787
9,22635935,32,10,10,37249,16.0,16448,20801,Capri Aries,https://img2.finalfantasyxiv.com/f/4103bc819a7d3bd61434c0a0f75ce059_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644990364
10,12924974,32,10,11,36437,9.0,30571,5866,Saha Obsidian'leaf,https://img2.finalfantasyxiv.com/f/7ea076ad85c48f36dc11ef7dfb2fe801_ee738654add55c3d07ea92d8e108074cfc0_96x96.jpg?1644960111
11,26064871,32,10,12,36370,11.0,24906,11464,Frederick Douglass,https://img2.finalfantasyxiv.com/f/2dadc164156c398434b9c9a1f58af0db_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644846002
12,26206096,32,10,13,35807,10.0,27651,8156,Yui Fraise,https://img2.finalfantasyxiv.com/f/9c963b2e9bbb0b1c9e7bfd910a23c6c6_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645005931
13,2571427,32,10,14,30860,14.0,20810,10050,Shiru Bea,https://img2.finalfantasyxiv.com/f/5dd28ccb0ad426dc4131c9ce72b22bcd_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645069959
14,22592371,32,10,15,26392,13.0,21602,4790,Masko Tamago,https://img2.finalfantasyxiv.com/f/3d4ec97805fbb1dccc47f46fe296406b_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644965022
15,14383568,32,10,16,20609,15.0,20293,316,Moco Sylvanian,https://img2.finalfantasyxiv.com/f/779247638ad665ee91a17d92fe0f715b_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644902277
16,25330530,32,10,17,18622,22.0,11650,6972,Key Ponta,https://img2.finalfantasyxiv.com/f/70da627d34c6ae8dde87470a983f9595_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644857722
17,23300388,32,10,18,17538,21.0,12682,4856,Ashley Weaver,https://img2.finalfantasyxiv.com/f/3359afb15496ccd833c045d0b9b62cd8_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644797124
18,7089795,32,10,19,16953,20.0,13451,3502,Kurid Snake,https://img2.finalfantasyxiv.com/f/57a5744cfea13798f8989e7333880c77_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644949964
19,9214111,32,10,20,16293,17.0,16293,0,Mimina Mina,https://img2.finalfantasyxiv.com/f/8aa578df70da81c61605e75b2bb88eaf_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644951663
20,1647781,32,10,21,14882,18.0,14882,0,Rashid Forsyth,https://img2.finalfantasyxiv.com/f/5265451e17d0e1cd0fdfd2964569288c_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645045466
21,1981532,32,10,22,14103,19.0,14103,0,Soara Arise,https://img2.finalfantasyxiv.com/f/f4331e90c18e1730c6530acd85a0e62a_806ea5b45071d5cd6bf393e38462ee71fc0_96x96.jpg?1645106755
22,22412319,32,10,23,13965,27.0,8734,5231,Setsuka Eika,https://img2.finalfantasyxiv.com/f/49eec853ac6ac25ba680802129286bab_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645148762
23,4693126,32,10,24,12576,23.0,11029,1547,Clara Millet,https://img2.finalfantasyxiv.com/f/b7a79728ef42708e26d3171a11e0d697_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645153463
24,12075113,32,10,25,11786,25.0,9436,2350,Hartriegel Blumfeld,https://img2.finalfantasyxiv.com/f/f7265c777bf4ac2b12c991789534cfa2_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645159397
25,7440208,32,10,26,11668,44.0,5460,6208,Mamio Kitty,https://img2.finalfantasyxiv.com/f/c36ef2faa586b0e4e55905e11dbdf81b_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644983627
26,4636996,32,10,27,11234,36.0,6747,4487,Mizuchi Barocka,https://img2.finalfantasyxiv.com/f/16d0b871f424922954b7d3e87d912f2e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645003857
27,5195886,32,10,28,11020,30.0,8048,2972,Rainy Sunny,https://img2.finalfantasyxiv.com/f/c06ac5825c272c27c5cb57decefc92bd_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645100877
28,4977306,32,10,29,10530,56.0,4417,6113,Roku Addict,https://img2.finalfantasyxiv.com/f/cedb39c82c6b9b41181394781ad7ee09_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644910182
29,19256877,32,10,30,10495,33.0,7497,2998,Eva Bennett,https://img2.finalfantasyxiv.com/f/ea5a63cb5eb346719bafd95373d76088_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644970749
30,26122684,32,10,31,9973,31.0,7873,2100,Teto Lucis,https://img2.finalfantasyxiv.com/f/9b116f72b5c35e60870879fbd6377c09_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645003498
31,21191967,32,10,32,9756,32.0,7678,2078,Haku Linnel,https://img2.finalfantasyxiv.com/f/be0a7f3284903c447ef22b94c41eb95a_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644980947
32,11195464,32,10,33,9684,53.0,4554,5130,S'rjan Lumberjack,https://img2.finalfantasyxiv.com/f/20889109356d7c3cbff40694380feef9_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645038204
33,26368010,32,10,34,9490,76.0,3082,6408,Choco Ice,https://img2.finalfantasyxiv.com/f/537a07438074c605fcd59cf915368516_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644891448
34,27755757,32,10,35,9443,24.0,9443,0,Sol Zzz,https://img2.finalfantasyxiv.com/f/8a32e99b1c9a9e4675bc2f6c63e11b1e_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644859212
35,22740037,32,10,36,9387,35.0,7319,2068,Heath Sesame,https://img2.finalfantasyxiv.com/f/085bf2a0f6c8eee82c52cdcaa2418d1a_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644757289
36,22161102,32,10,37,9367,,0,9367,Arthur Aureole,https://img2.finalfantasyxiv.com/f/7b2b4a2ece9c88756395bb5292f8bdaf_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644968766
37,26386678,32,10,38,8924,26.0,8924,0,Inori Bacchus,https://img2.finalfantasyxiv.com/f/8508e60422543ea4b7f151e113ca8393_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645068211
38,14612954,32,10,39,8670,41.0,5640,3030,Moco Cielamer,https://img2.finalfantasyxiv.com/f/0b5f633626c9ff13c6c0e478a7654ec7_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645081185
39,20870251,32,10,40,8662,34.0,7432,1230,Ioh Vigo,https://img2.finalfantasyxiv.com/f/7d375bc0c331bbc86d15e026f503593f_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1645063463
40,19128834,32,10,41,8121,28.0,8121,0,Lily Nerine,https://img2.finalfantasyxiv.com/f/ce181a1708cf18746d551db742f7b36d_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644992159
41,22895620,32,10,42,8074,29.0,8074,0,S'yoryo Batta,https://img2.finalfantasyxiv.com/f/74c4af5fb72cda1fbc14f2a3585f0231_c76848359d0b4d2f37aefbb9903ed97bfc0_96x96.jpg?1644777075
