,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,9720094,91,10,1,1421255,1.0,1199857,221398,Aishah Fahri,https://img2.finalfantasyxiv.com/f/d389c1873d736e39165775a85523cdbb_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644798049
1,10675726,91,10,2,795459,3.0,574365,221094,Sormauex M'kerfuffle,https://img2.finalfantasyxiv.com/f/8295a3c543f00f760b7c931592750e2c_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645127573
2,8850982,91,10,3,746941,2.0,666208,80733,Cessna Forsythe,https://img2.finalfantasyxiv.com/f/9b1c24b5a49f8b64712edfc43821b55e_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645117385
3,3156329,91,10,4,679356,4.0,522939,156417,Sturm Brenner,https://img2.finalfantasyxiv.com/f/4b1a0753456562f9df953891a981ddbc_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645115428
4,27718551,91,10,5,461096,5.0,410539,50557,Al Vefair,https://img2.finalfantasyxiv.com/f/c78088eb8e3fd3e448fdb99a7657b90e_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644640039
5,3089313,91,10,6,368139,6.0,368139,0,L'shi Kett,https://img2.finalfantasyxiv.com/f/54bfdacb8db55fe7ee5e4aaa6bb38970_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645027121
6,15141861,91,10,7,326110,7.0,260027,66083,Amadreruil Blacke,https://img2.finalfantasyxiv.com/f/96a18852267dd61cfae324e0319191c6_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645072490
7,9113396,91,10,8,207302,9.0,150147,57155,Claire Estheim,https://img2.finalfantasyxiv.com/f/e84abae96033645922822ed0c984a6a4_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644881532
8,2791741,91,10,9,188119,8.0,173231,14888,Stehl Helmgarde,https://img2.finalfantasyxiv.com/f/ab65f9d6879c9216e0891c2251b0cca2_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645113636
9,12074465,91,10,10,159399,10.0,119678,39721,Khuma Relanah,https://img2.finalfantasyxiv.com/f/d9ef372090715852a2f444f903903d23_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645080517
10,11150374,91,10,11,153018,12.0,89458,63560,D'shuki Mhiwoh,https://img2.finalfantasyxiv.com/f/6922aa6e177636985964cc6aa592ebe2_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645110924
11,5968429,91,10,12,130607,14.0,80764,49843,Dae Fenris,https://img2.finalfantasyxiv.com/f/7af7989e792c6ac6f54644566c0627e2_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644830527
12,10061084,91,10,13,119476,11.0,89497,29979,Idristan Agache,https://img2.finalfantasyxiv.com/f/b2df0538e23d0ac29d3180e029caccf8_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645062765
13,25270638,91,10,14,114962,13.0,84245,30717,Cella Vie,https://img2.finalfantasyxiv.com/f/f70b05fb47d9b047f18f0a54c367e740_7bb6b1e488f0e4f01c5314d010b60f31fc0_96x96.jpg?1644931689
14,2913850,91,10,15,68938,,0,68938,Cloaking Lioncourt,https://img2.finalfantasyxiv.com/f/5d06a9ffcc326d310a173df9424206a5_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645158527
15,18240997,91,10,16,55338,15.0,55338,0,Arietta Cesarini,https://img2.finalfantasyxiv.com/f/89906eaba9b884d0d0e0d77ec37b2c8f_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645099233
16,12350585,91,10,17,46706,16.0,42333,4373,Suna Yari,https://img2.finalfantasyxiv.com/f/6710fa74fdb6145f28f1861dd7720cac_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645050576
17,13150782,91,10,18,36120,17.0,32580,3540,N'aomi Seratina,https://img2.finalfantasyxiv.com/f/506f4801f2cb83902a1fb7528c78f843_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645108880
18,14737322,91,10,19,30070,18.0,27191,2879,Andrew Kendler,https://img2.finalfantasyxiv.com/f/87dddb28c97cdced69f390aae7a41761_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645167553
19,1806191,91,10,20,29268,20.0,17294,11974,Ama Kanesada,https://img2.finalfantasyxiv.com/f/cdd89233738e30c769e6b9532e00a947_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644972493
20,23164348,91,10,21,27016,19.0,26134,882,N'yumi Nunh,https://img2.finalfantasyxiv.com/f/9d21160dcb0cd020f33f1cc2f4489bcc_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644898873
21,13889291,91,10,22,23590,,0,23590,Kara Iriq,https://img2.finalfantasyxiv.com/f/564471b035178cf6af64388bd284226a_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645045908
22,23069593,91,10,23,21778,27.0,9283,12495,Ophelia Wellspring,https://img2.finalfantasyxiv.com/f/1f96c5d2ecc093b3b482e8b0c0997ea7_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644701054
23,25100035,91,10,24,21493,21.0,16563,4930,T'shipti Choqo,https://img2.finalfantasyxiv.com/f/fd902541bfaec9670e378b0481549864_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1644850464
24,5349758,91,10,25,13474,22.0,13474,0,Taka Yakuru,https://img2.finalfantasyxiv.com/f/fc778b590beb0f06b2fcfe3ac4588aaa_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645108018
25,378223,91,10,26,13302,23.0,13302,0,Beatrice Lais,https://img2.finalfantasyxiv.com/f/da69a0d26bcf3bf4502b54a620d415bb_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645159823
