,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,15307652,24,17,1,456237,1.0,380024,76213,Toku Toko,https://img2.finalfantasyxiv.com/f/9aa00500dd8c9c454704857526ce8e06_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645165904
1,29159926,24,17,2,433881,2.0,358104,75777,Uwabaki Kaeshite,https://img2.finalfantasyxiv.com/f/0584292691d4cb11b9d231ab30df5a70_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645085875
2,21075603,24,17,3,373906,3.0,319205,54701,Manimani Manyune,https://img2.finalfantasyxiv.com/f/f6c3f1682d4248953d98fdae98a4ef9b_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645013897
3,25643045,24,17,4,349665,6.0,270550,79115,Kawara Brtile,https://img2.finalfantasyxiv.com/f/56d0a5185c308b51f30f30bb5a65ec82_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644638828
4,29718392,24,17,5,332233,4.0,278699,53534,Lunachi- Asteion,https://img2.finalfantasyxiv.com/f/2187a0b0c388556f637ac791c519b051_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644632639
5,25340180,24,17,6,305331,,0,305331,Binya Rubi,https://img2.finalfantasyxiv.com/f/f334a3dd649650f89559f6d105c56856_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645180499
6,7585697,24,17,7,298483,8.0,248605,49878,Nami Cancellara,https://img2.finalfantasyxiv.com/f/65830edf9b29567571559d5c9ed2bb0f_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645066315
7,23722833,24,17,8,282792,5.0,271390,11402,Rezel Plus,https://img2.finalfantasyxiv.com/f/0f797a35e655f771d42a87bb16895115_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645128862
8,22520412,24,17,9,282736,7.0,256719,26017,Arlo Dwayne,https://img2.finalfantasyxiv.com/f/e9c4d0a96182ba1195a5ed762eb31bd3_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645086858
9,29065679,24,17,10,264704,9.0,217826,46878,Awai Awaawa,https://img2.finalfantasyxiv.com/f/2a52fd440d01f51b118f7a8152fefce6_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644971934
10,18371496,24,17,11,251885,11.0,166397,85488,Yayako Yako,https://img2.finalfantasyxiv.com/f/34e6bdf5e079eb6331d10f5d121f0ac7_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645099400
11,16150772,24,17,12,229257,14.0,158646,70611,Theo Sepia,https://img2.finalfantasyxiv.com/f/7ddbecbd571add45f6d6c70911d5f2aa_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644797940
12,22233794,24,17,13,219193,10.0,200086,19107,Akane Akatsuki,https://img2.finalfantasyxiv.com/f/90c6bc88f1ff804571c298509e71db88_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644966894
13,12546754,24,17,14,208334,13.0,160764,47570,Shinki Shin,https://img2.finalfantasyxiv.com/f/7850e5fdb4b7639b43ca9afde69c959e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644990001
14,23079868,24,17,15,200976,12.0,160806,40170,Coco Pina,https://img2.finalfantasyxiv.com/f/3e22cb9f63ee3ddbebb38e82d026ccc1_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645113794
15,7440190,24,17,16,193833,16.0,140611,53222,Iori Kanazawa,https://img2.finalfantasyxiv.com/f/d0fba23638a453136fd1fc419a274aa8_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645060478
16,23500683,24,17,17,180256,18.0,136391,43865,Miu Minette,https://img2.finalfantasyxiv.com/f/41e076ea9a62c31ab727a9979d315ada_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645099741
17,28931887,24,17,18,164049,17.0,137208,26841,Ritoto Pototo,https://img2.finalfantasyxiv.com/f/10b369213a62c2b6deaccc7c42a771b5_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644767812
18,4822548,24,17,19,142294,15.0,142294,0,Tor Hak,https://img2.finalfantasyxiv.com/f/2af4c8b5e05d30266dfa27a7ba86c1f3_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645156700
19,8193319,24,17,20,132004,19.0,132004,0,Lilou Leroy,https://img2.finalfantasyxiv.com/f/8cfc812f10f140b4b2149d322edbb1c9_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645178087
20,16032823,24,17,21,121355,20.0,121355,0,Coonel Asob,https://img2.finalfantasyxiv.com/f/699c214cf5df3600726b809e0362be57_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644836813
21,24711226,24,17,22,119345,23.0,99342,20003,Elisabeth Von-wettin,https://img2.finalfantasyxiv.com/f/cc17de5d1b60b5e70b66483984dd424b_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644945285
22,29073281,24,17,23,117664,22.0,110883,6781,Yoshio Man,https://img2.finalfantasyxiv.com/f/bc00f57ee9d434cf14fac373d07c56fe_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644897651
23,6593891,24,17,24,117632,21.0,117392,240,Senah Lihzeh,https://img2.finalfantasyxiv.com/f/bd2304804cf0efc83782d5e32b467eaa_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645022107
24,28940093,24,17,25,108383,24.0,94919,13464,Tuna Lowain,https://img2.finalfantasyxiv.com/f/f510c53b5269f233f204fc0ebabe2f79_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644902029
25,19326987,24,17,26,90786,25.0,90786,0,Mit Om,https://img2.finalfantasyxiv.com/f/b5579f82ab2c2ff4dddecff5b90441e0_e2bb3f9679fec6d4836fcf8abcc3eeacfc0_96x96.jpg?1644906382
26,28898168,24,17,27,90414,33.0,63023,27391,Suzaku Shiro,https://img2.finalfantasyxiv.com/f/2cf3510aa4846994110e9fc564e3e4ff_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645027236
27,18575999,24,17,28,87708,28.0,73651,14057,Maca Maca,https://img2.finalfantasyxiv.com/f/1a7f58c67c2058defed6fc12b69aa084_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645091514
28,27921603,24,17,29,83824,40.0,53012,30812,Zangho Laqi,https://img2.finalfantasyxiv.com/f/5ccad6c79897c2b993e9ae263e21be24_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644635332
29,4628535,24,17,30,82879,26.0,82879,0,Perutata Akatoki,https://img2.finalfantasyxiv.com/f/3d3017610e73aaee89e934ec2533fb5e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645088461
30,31759002,24,17,31,82636,27.0,77022,5614,Reyla Peplau,https://img2.finalfantasyxiv.com/f/00f17c25a1a03501a10a151241167113_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644637062
31,27809147,24,17,32,73489,29.0,73489,0,Asu Lilybell,https://img2.finalfantasyxiv.com/f/7d8d5ee58d93e5bb0a8799f1ffac2e93_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644714123
32,23508032,24,17,33,71280,39.0,53116,18164,Kitsuneko Hydra,https://img2.finalfantasyxiv.com/f/c2856c045888644e0260697f34d80cc1_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644873035
33,21874580,24,17,34,67782,38.0,54166,13616,Kaine Mujuuk,https://img2.finalfantasyxiv.com/f/0285594650e2a1d75a06e12377ae7d0e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645096155
34,26799984,24,17,35,66507,37.0,56296,10211,Dia Tri,https://img2.finalfantasyxiv.com/f/9a4950672badbe9b4399642c515e6b7d_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644639089
35,18908105,24,17,36,66128,30.0,65858,270,Ciel Charlotte,https://img2.finalfantasyxiv.com/f/b784e7fe0d5f0b539b4d8cde6c776d1e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645057075
36,30122779,24,17,37,65306,31.0,65306,0,Peryton Icene,https://img2.finalfantasyxiv.com/f/da337a353f7f2c6ae8eee82a17213755_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644637667
37,11465949,24,17,38,64335,32.0,64335,0,Konasu Maru,https://img2.finalfantasyxiv.com/f/c7447527828eec74149d266787d967bd_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645020873
38,25325880,24,17,39,61933,59.0,32449,29484,Shohta Amakake,https://img2.finalfantasyxiv.com/f/2487e2ba2c0d934cb1980675bfa03349_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645120116
39,18727304,24,17,40,60957,41.0,50258,10699,Luna Dawn,https://img2.finalfantasyxiv.com/f/c54d82aa329ec6376d4bc673c7c00b83_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645095150
40,23511324,24,17,41,60563,34.0,60563,0,Hurederika Rxs,https://img2.finalfantasyxiv.com/f/71eb0d001882523e12091111e154e622_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644631696
41,28256239,24,17,42,60341,36.0,56487,3854,Stallone Dolph,https://img2.finalfantasyxiv.com/f/e93af2ab32612abd21b43c7725904812_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644930353
42,1558843,24,17,43,59036,35.0,59036,0,Caster Mild,https://img2.finalfantasyxiv.com/f/52f48df75de8ae5c917eb3c7e9fea12c_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645077600
43,19386393,24,17,44,54520,42.0,48005,6515,Tris Nia,https://img2.finalfantasyxiv.com/f/2a042b29aee0657290a5ad872a396f03_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645177936
44,17958987,24,17,45,53855,84.0,25882,27973,Romumu Romu,https://img2.finalfantasyxiv.com/f/3a5844176195833114031a8e360ee1c5_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644818678
45,27874636,24,17,46,50398,62.0,31694,18704,Unu Ur,https://img2.finalfantasyxiv.com/f/b2d3eecb2745e682e3d97477101e9fad_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644963899
46,19578552,24,17,47,47322,67.0,28545,18777,Soyo Ikegm,https://img2.finalfantasyxiv.com/f/08e9f53d32a2b51c1998c23758d6e5cc_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645017278
47,4852415,24,17,48,47196,49.0,35285,11911,Zuizou Mog,https://img2.finalfantasyxiv.com/f/728c928f4b024831fdf66eb306df259e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645120826
48,27809148,24,17,49,46477,43.0,46477,0,Ayuna Howata,https://img2.finalfantasyxiv.com/f/93cfee189723eedf8706fead6bffd8bd_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644769103
49,26493167,24,17,50,42895,45.0,38568,4327,Prettygirl Yoshimura,https://img2.finalfantasyxiv.com/f/239081ea45d151765902de48f4b95383_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645101560
50,7318209,24,17,51,42302,44.0,42302,0,Sera Kurain,https://img2.finalfantasyxiv.com/f/ca451f3c5f285025e175db94246f4b3a_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645146781
51,26695282,24,17,52,41662,48.0,36174,5488,Meteor Azem,https://img2.finalfantasyxiv.com/f/52d9f96a2181723f7c4f67d8d58052ef_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644871400
52,9472959,24,17,53,41573,50.0,35257,6316,Chi Moco,https://img2.finalfantasyxiv.com/f/9da20a81e0aa5450be8d21766a5ff017_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644805315
53,22953320,24,17,54,40520,75.0,27604,12916,Koma- Kr,https://img2.finalfantasyxiv.com/f/9cbb72e9ea6aeb3e34bfdf7d0007e4af_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645116769
54,18763491,24,17,55,40242,53.0,34355,5887,Miyako Amami,https://img2.finalfantasyxiv.com/f/c31ed1affd357a2e3e3b7ac84901f8d3_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645091980
55,30975330,24,17,56,40087,60.0,32015,8072,Rita Estrella,https://img2.finalfantasyxiv.com/f/9596f0e1783cbc4d2e70997a92841f9c_2f698530a28d671d20278c8518c804c9fc0_96x96.jpg?1644938488
56,17910383,24,17,57,39522,46.0,38287,1235,Aria Craine,https://img2.finalfantasyxiv.com/f/f099c1feda4411c28da038e222baddb1_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645186676
57,15114614,24,17,58,38678,69.0,28327,10351,Ruri Flores,https://img2.finalfantasyxiv.com/f/d1dbcaf31b6fdfba3eefd3f86f058a0f_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645002440
58,25315380,24,17,59,38385,47.0,36490,1895,Roen Cruach,https://img2.finalfantasyxiv.com/f/e000ec3cfcde1a255fccee8c3dc8d0e7_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644794906
59,27709003,24,17,60,37778,71.0,28067,9711,Makoto Kaizuki,https://img2.finalfantasyxiv.com/f/7490832c2f9c92f85cf220b211f8a1bf_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644767432
60,21735320,24,17,61,37064,56.0,33174,3890,Tiffany Perfume,https://img2.finalfantasyxiv.com/f/311426c569882f665a974442b9508b16_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644854430
61,25314208,24,17,62,36167,81.0,26609,9558,Rei Claude,https://img2.finalfantasyxiv.com/f/a2392aabc926b69a5f9e5e7eda74cec5_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644901361
62,19069060,24,17,63,35925,52.0,34365,1560,Shimada Genji,https://img2.finalfantasyxiv.com/f/02465ccfaffa51ee75e135e7c35e0b07_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644931179
63,6581541,24,17,64,34669,51.0,34669,0,Rise Rio,https://img2.finalfantasyxiv.com/f/e9789baf4defef8cc904bba8f900e319_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644767218
64,27149771,24,17,65,34182,54.0,34182,0,Alusutna Payuhn,https://img2.finalfantasyxiv.com/f/e8b8d366fdc9c70173f10ad8b17f54e2_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645123978
65,21253714,24,17,66,33771,65.0,29392,4379,Sana Satake,https://img2.finalfantasyxiv.com/f/9a5929687214f28cef9e8688edd677bc_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644922143
66,4949174,24,17,67,33768,55.0,33768,0,Yuki Chaho,https://img2.finalfantasyxiv.com/f/55e1cadd5fd337db56010a9070154ac3_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645089717
67,28979571,24,17,68,33202,91.0,24252,8950,Ginchan Moon,https://img2.finalfantasyxiv.com/f/28d7c60c7027e40933cc36881f09cbb9_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645154436
68,29168440,24,17,69,32943,83.0,26314,6629,Allendel Vastian,https://img2.finalfantasyxiv.com/f/7c3aa0d09f59e055d251f8dc418a3a25_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644996296
69,26016836,24,17,70,32724,57.0,32724,0,Iroha Solo,https://img2.finalfantasyxiv.com/f/6b7e3a796f39804e42dc6d16ff99877c_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644903926
70,28954221,24,17,71,32458,58.0,32458,0,Ishtar Rin,https://img2.finalfantasyxiv.com/f/214f9fd04b0391713a5e351805805bf5_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644841324
71,23292278,24,17,72,32446,95.0,21913,10533,Nion Island,https://img2.finalfantasyxiv.com/f/47d8d7e994b77b70a7deed2da04233a7_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645092803
72,25056011,24,17,73,32062,63.0,31612,450,Euride Redmayne,https://img2.finalfantasyxiv.com/f/fd1fd0662314f91ec22ecd51f888ffca_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645166055
73,5545892,24,17,74,31787,82.0,26433,5354,Rita Ferrari,https://img2.finalfantasyxiv.com/f/e256cf5efb2e3309217f6febe0c95599_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645180403
74,2566078,24,17,75,31715,61.0,31715,0,Sharu Liage,https://img2.finalfantasyxiv.com/f/715e69793867bf2a47ee70da1c284a3e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645094943
75,29968827,24,17,76,31471,92.0,23347,8124,Taka Sama,https://img2.finalfantasyxiv.com/f/41a2c2b60146a2bd27d4cdd190941034_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645031097
76,18904194,24,17,77,31446,68.0,28329,3117,Mugi Miso,https://img2.finalfantasyxiv.com/f/dfc4e66f9e200f2a8bdcfd09761a1ac6_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645159863
77,14209863,24,17,78,30238,74.0,27643,2595,Camille Aquarius,https://img2.finalfantasyxiv.com/f/30f5ea2ac2232667d8a67af9f81bef71_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645064437
78,25712139,24,17,79,29900,64.0,29900,0,Toool Looop,https://img2.finalfantasyxiv.com/f/bd621b09482e61e2fc157e3ce413e42a_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645029596
79,26116433,24,17,80,29411,86.0,25698,3713,Zoya Sumi,https://img2.finalfantasyxiv.com/f/efe55918032400f3132b5cd03cac678e_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1645015707
80,4763806,24,17,81,29387,,0,29387,Viola Oak,https://img2.finalfantasyxiv.com/f/dc4f452fa99cf7c1d01d0208d12c74ab_894c4bd0beab2e2beb44b74f4c4bd206fc0_96x96.jpg?1644937655
