,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,7287644,80,14,1,562443,3.0,427867,134576,Osaka Baka,https://img2.finalfantasyxiv.com/f/e23ce1f326069f62beb86c155f9c3a4c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644961189
1,5608325,80,14,2,501019,1.0,501019,0,Valiora Hai'bane,https://img2.finalfantasyxiv.com/f/ae06f4a6c1df840f8355f3996c0a17cf_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645190683
2,25177267,80,14,3,495223,2.0,443667,51556,Arvy Nakiame,https://img2.finalfantasyxiv.com/f/1a5913f5039db0a685df2b351fca1749_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645031574
3,4538841,80,14,4,472762,4.0,408878,63884,Geralt De-riv,https://img2.finalfantasyxiv.com/f/1a21f4d586910d19140cef407ab2acae_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644861718
4,7339932,80,14,5,422759,5.0,336862,85897,Amaalia Borealis,https://img2.finalfantasyxiv.com/f/55922e24c2657998447b7cf37b6a5091_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645105245
5,14996482,80,14,6,356428,6.0,295657,60771,Ginko Vaseduva,https://img2.finalfantasyxiv.com/f/4eccee8f3d789114ae34bb1e91cf730d_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645068632
6,21979177,80,14,7,316066,8.0,248152,67914,Soigan Daisho,https://img2.finalfantasyxiv.com/f/ee84c7e383f4a71ff66de91152870753_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645030906
7,24943089,80,14,8,300491,7.0,262087,38404,Imy Pure,https://img2.finalfantasyxiv.com/f/2e46879ac1baf7fc77ec2de872a0461c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644934073
8,16889977,80,14,9,293103,9.0,220487,72616,Mastema Darklight,https://img2.finalfantasyxiv.com/f/dad3b60ecad5b6262e9a46a6740cfd66_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644804569
9,19276940,80,14,10,231499,14.0,90081,141418,Dr Momochi,https://img2.finalfantasyxiv.com/f/7d51db1544406b7a2c1fca6227d9aa11_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645087416
10,1888097,80,14,11,211382,10.0,190706,20676,Yuki Kurokawa,https://img2.finalfantasyxiv.com/f/2237c439b960db12dff4379b046c58c1_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645082961
11,5684183,80,14,12,177603,11.0,138515,39088,Gotom Lefdal,https://img2.finalfantasyxiv.com/f/12cb1944519454f62468d2fd27b3741d_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645076909
12,3057338,80,14,13,94794,12.0,94794,0,Refea Gale,https://img2.finalfantasyxiv.com/f/743ddfb79f9475e13e620bf81265631e_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645087604
13,4951863,80,14,14,91445,13.0,91445,0,Ixxy Yasu,https://img2.finalfantasyxiv.com/f/e1b21dbf93dfae5625906a00fd922bd3_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645169253
14,30730704,80,14,15,86670,15.0,86670,0,Dany Queen,https://img2.finalfantasyxiv.com/f/2750d9d33769c5fdd2422f8f46f3cc52_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645176645
15,23124852,80,14,16,80345,16.0,71380,8965,Crypto Highwind,https://img2.finalfantasyxiv.com/f/ffad2743dc57913ca6025b726e502c2d_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645028295
16,24739429,80,14,17,78874,18.0,59975,18899,Walter White,https://img2.finalfantasyxiv.com/f/edbcf41e6a11a8f1bc3629b9cbb6b1b6_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645148836
17,4390405,80,14,18,62562,17.0,62562,0,External Machis,https://img2.finalfantasyxiv.com/f/e7bf91500c80dbd8654f2930631be8ae_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645065770
18,15034523,80,14,19,60972,20.0,52646,8326,Dog Food,https://img2.finalfantasyxiv.com/f/512984d6194c9b21fbd2d4420318e7cd_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644995525
19,17787108,80,14,20,53952,19.0,53952,0,Victoria Flowerheart,https://img2.finalfantasyxiv.com/f/23c81f8acd0af0bb7071bdb42a335836_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645147128
20,2270900,80,14,21,50957,21.0,50957,0,Barristan Nahar,https://img2.finalfantasyxiv.com/f/83f72b0473096f1b6958db9011d696ff_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644972713
21,23780898,80,14,22,33958,23.0,27328,6630,Nyra Koneko,https://img2.finalfantasyxiv.com/f/745e292f2effc127ffa7c17bacaa4302_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645162877
22,16897103,80,14,23,28380,22.0,27720,660,Karma Morgan,https://img2.finalfantasyxiv.com/f/6caaa83cbe72750f605911b75b4c33b6_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644968454
23,24735527,80,14,24,25138,24.0,19348,5790,Kan Laon,https://img2.finalfantasyxiv.com/f/88f32c43b5025c5047e833c9002e4470_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645125231
24,18105839,80,14,25,17793,25.0,17793,0,Clarissa Everwood,https://img2.finalfantasyxiv.com/f/10f5daf5e9311166a6d8f987b0aac23b_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645039913
25,6583850,80,14,26,17376,26.0,17376,0,Ardent-vale Nelkatyr,https://img2.finalfantasyxiv.com/f/61da97ee1616ebc5e43665a694fb90c2_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645147198
26,26226881,80,14,27,13051,27.0,12151,900,Lonf Hawken,https://img2.finalfantasyxiv.com/f/840540cd06768368bd9b6afb93a35d66_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645128757
27,3914136,80,14,28,12045,32.0,8701,3344,Sebastien Montsimmard,https://img2.finalfantasyxiv.com/f/8c6c00c7c8af14c663e93ef2be00c643_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645086980
28,12972352,80,14,29,11530,28.0,11530,0,Nautilus Ryuuren,https://img2.finalfantasyxiv.com/f/7365d25587389dfcd0563214d1c5f567_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644949116
29,12595014,80,14,30,11405,29.0,11405,0,Aslee Leykann,https://img2.finalfantasyxiv.com/f/a6a48c82a4633afccc44e20b4220a23c_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645156466
30,12250479,80,14,31,10435,33.0,8005,2430,Alexis Highfive,https://img2.finalfantasyxiv.com/f/fb3a6aa4d5aa9c01a93d0d10fd77752a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645015188
31,13785138,80,14,32,10209,30.0,10209,0,X'licity Wiloh,https://img2.finalfantasyxiv.com/f/8482b9d3d9ec7c419a3dc0fb6e18d26a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645074813
32,20223127,80,14,33,9648,31.0,9648,0,Verona Lunich,https://img2.finalfantasyxiv.com/f/396ffa2bb789bac2f6941ef14dd1136f_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644771002
33,8955608,80,14,34,8570,57.0,2505,6065,Dastian Bunansa,https://img2.finalfantasyxiv.com/f/7cb0bca36e6cb77eeff694d14fafd867_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645030200
34,16093628,80,14,35,7710,34.0,7710,0,Izuna Uesugi,https://img2.finalfantasyxiv.com/f/c2619ff98e11b227336b063fe2d09cf3_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644832948
35,2192516,80,14,36,7304,36.0,6109,1195,Xiaomu Senko,https://img2.finalfantasyxiv.com/f/c720ddca102ef29dfb100a1b1b98739a_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645155490
36,15250023,80,14,37,6426,35.0,6426,0,Mega Ultrachicken,https://img2.finalfantasyxiv.com/f/73deb6d10e690c32d876e4b8cef20731_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644951478
37,25473026,80,14,38,5945,41.0,4895,1050,Kaian Freelancer,https://img2.finalfantasyxiv.com/f/ac0b2faa4257503a135c7c1384c68f27_feaf0a2e88ff164813fbc9b85876fa48fc0_96x96.jpg?1645022406
38,28431449,80,14,39,5375,60.0,2367,3008,Adelheid Glacies,https://img2.finalfantasyxiv.com/f/99f9457e7b83a69b6288554eda781d76_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645165291
39,16171835,80,14,40,5369,37.0,5369,0,Oric Yaeger,https://img2.finalfantasyxiv.com/f/41af09deaa2d91ecd884f1339f78c3ec_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1645030245
