,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,9210048,54,14,1,618300,3.0,311809,306491,Raine Sundyra,https://img2.finalfantasyxiv.com/f/7e26ee848aede765a3c39add5f01a33e_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645075131
1,3280023,54,14,2,547084,1.0,326645,220439,Shinsei Kurosu,https://img2.finalfantasyxiv.com/f/6481c745889ba4e5ce23393b519546ef_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644861968
2,2201218,54,14,3,390624,2.0,316502,74122,Elbereth Elenaril,https://img2.finalfantasyxiv.com/f/391d0329ed2af52ed65c593a6915e85f_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644953966
3,4003397,54,14,4,251591,5.0,116673,134918,Zor Van,https://img2.finalfantasyxiv.com/f/0dee48b5a097b117f95811704bc6f4fa_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644963738
4,13519668,54,14,5,148135,35.0,7417,140718,Nonowu Nowu,https://img2.finalfantasyxiv.com/f/513e7ada0b67cafbe34a13f64f753fdb_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644776309
5,27013006,54,14,6,135880,4.0,135880,0,Velox Di'rota,https://img2.finalfantasyxiv.com/f/b20edbc43e0f897d68bb99899e207c16_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644994782
6,12228674,54,14,7,135784,7.0,95142,40642,Lucy Fey,https://img2.finalfantasyxiv.com/f/efdbd5dfa1d6d12e573701e24d6c73b2_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645145822
7,10608596,54,14,8,119734,6.0,101154,18580,Mew Medicus,https://img2.finalfantasyxiv.com/f/2085ef9138c448a9db0539630475733a_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645079869
8,9572190,54,14,9,96650,13.0,60090,36560,Xanatos Warr,https://img2.finalfantasyxiv.com/f/fd5d42f0f56e716bf3bb7acd1b99193b_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644817675
9,13408394,54,14,10,92584,10.0,60803,31781,Nic Delacour,https://img2.finalfantasyxiv.com/f/6406ee2204f8e2d6531b9fe67fefb22f_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645188585
10,2784521,54,14,11,88065,8.0,88065,0,Taeyeon Kim,https://img2.finalfantasyxiv.com/f/e992e437e370abdf260247c5c412653e_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645089303
