,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,12449825,56,17,1,377152,1.0,301152,76000,Mumu Midorikawa,https://img2.finalfantasyxiv.com/f/791370655956700e57d716598b90ea33_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644967429
1,5976687,56,17,2,360197,3.0,284628,75569,Huugo Kreiss,https://img2.finalfantasyxiv.com/f/c857a5ac40b84570afb82fa7ef766e10_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644933908
2,11401344,56,17,3,352226,4.0,283460,68766,Palmtop Piri,https://img2.finalfantasyxiv.com/f/26f5a16910f943d7c67e85d38c0d7457_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645183013
3,20637920,56,17,4,351037,6.0,269220,81817,Zellith Shivaan,https://img2.finalfantasyxiv.com/f/e374dbabee95513968ce1386ceeea1b6_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645169432
4,16467808,56,17,5,349605,2.0,285945,63660,Naswe Altasar,https://img2.finalfantasyxiv.com/f/70ca5fe6be276f3f96a416876bdb442d_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645045972
5,24408168,56,17,6,346866,10.0,246852,100014,Kephia Ciatherphie,https://img2.finalfantasyxiv.com/f/3fefb20a928d18eb2e4fd8873393f2bb_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645064585
6,28530761,56,17,7,336976,5.0,277470,59506,Roa Silva,https://img2.finalfantasyxiv.com/f/b9167c473fb232743d25793bf93db1ce_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645080483
7,1836393,56,17,8,336510,11.0,245469,91041,Djessica Taimi,https://img2.finalfantasyxiv.com/f/01ecc304906217507726b886e60751a8_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645103034
8,12057518,56,17,9,326098,12.0,243420,82678,Isae Cael,https://img2.finalfantasyxiv.com/f/83ca273bcb2525659196e8d632cb0078_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645173762
9,17452186,56,17,10,318931,8.0,261665,57266,Celebrian Lehmann,https://img2.finalfantasyxiv.com/f/45bcec03ca06413cfce6b3fb26e87a0c_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644837080
10,3670364,56,17,11,318014,7.0,262290,55724,Meracle Majima,https://img2.finalfantasyxiv.com/f/fe4d80144eea64e05a9a4bbb6ef880ff_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645048455
11,8431796,56,17,12,314566,9.0,252243,62323,Raging Helm,https://img2.finalfantasyxiv.com/f/c8bc7c936cdcae0ea39963dfb90d5a2f_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645096731
12,30505146,56,17,13,251367,13.0,228821,22546,Alua Orionir,https://img2.finalfantasyxiv.com/f/16a2193b02e4d8060b47f240b89258c4_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644703680
13,16043193,56,17,14,243843,16.0,193127,50716,Eir Felstyr,https://img2.finalfantasyxiv.com/f/3a54e639a2412d22676b380ae8954316_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644813138
14,30877732,56,17,15,228406,15.0,208122,20284,Stella Keyeih,https://img2.finalfantasyxiv.com/f/0543292bf80bf0b716d347c134ea2154_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645113166
15,3831840,56,17,16,212945,14.0,212945,0,Luna Joy,https://img2.finalfantasyxiv.com/f/bc4932c67786fba94e80a31032705e4d_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645114700
16,4224706,56,17,17,211287,17.0,190547,20740,Yukiko Kuroneko,https://img2.finalfantasyxiv.com/f/c8064529870d69806b1f96be1369b46c_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645092553
17,28909184,56,17,18,185701,18.0,155147,30554,Patram Eisenformer,https://img2.finalfantasyxiv.com/f/8ec903ffbfa040c4bb67744f2d82d88e_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644750188
18,24125262,56,17,19,166760,24.0,107420,59340,Thya Igrishkan,https://img2.finalfantasyxiv.com/f/567e0a5530667cef8b38337d13cf67d8_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645097539
19,24420653,56,17,20,153075,21.0,125561,27514,Asumi Regmal,https://img2.finalfantasyxiv.com/f/a76334a792a206781ea504c8842b16a8_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645153438
20,23718294,56,17,21,144543,19.0,144543,0,Priscilla Highwind,https://img2.finalfantasyxiv.com/f/8e4f0d43564c5377d71819091cd499a0_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644972723
21,23987695,56,17,22,136761,20.0,136761,0,Jasek Gunga,https://img2.finalfantasyxiv.com/f/27e3ff77024456c1a21aa009aa156b11_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645168477
22,1836392,56,17,23,133197,25.0,85632,47565,Hittaku Taimi,https://img2.finalfantasyxiv.com/f/0965c1a57089e8eed55e542d3737cf33_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645128242
23,24666422,56,17,24,121073,22.0,113717,7356,Iscara Wintermere,https://img2.finalfantasyxiv.com/f/4135627b4f7f63246815089fa9e04d66_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644995742
24,24301506,56,17,25,113849,29.0,71660,42189,Poi Yudachi,https://img2.finalfantasyxiv.com/f/ecd29a6e2bcbf5f34008e60d9bb87194_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644788818
25,15318297,56,17,26,111729,27.0,83662,28067,Dreasna Gittenau,https://img2.finalfantasyxiv.com/f/f6324dbeead9dfe1b58ed0b4bc629e7e_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645140368
26,29759155,56,17,27,108985,23.0,108985,0,Drace Dynaste,https://img2.finalfantasyxiv.com/f/21d7ea51f44792a1d098cc9e809dbf6e_40d57ba713628f3f1ef5ef204b6d76d2fc0_96x96.jpg?1613342813
27,24237311,56,17,28,99918,28.0,78962,20956,Cobphas Webb,https://img2.finalfantasyxiv.com/f/a82a01c4688c0556fecb4a73ae4dd58a_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644779651
28,6826291,56,17,29,87319,,0,87319,Visela Lane,https://img2.finalfantasyxiv.com/f/0a0062006f6b974a0e9a23d7f42df687_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645179518
29,19396031,56,17,30,84489,26.0,84463,26,James Fortis,https://img2.finalfantasyxiv.com/f/9cb418e859378327f444e091c30d36c5_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645133823
30,2852568,56,17,31,80557,38.0,59423,21134,Ophelia Coral,https://img2.finalfantasyxiv.com/f/4cfb9f5e0f353ca8d137872afe4a80e1_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645162700
31,15740334,56,17,32,77676,31.0,68522,9154,Grimm Brodas,https://img2.finalfantasyxiv.com/f/b23feb62713663ddfb073f927edf83bb_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644977568
32,22316777,56,17,33,72293,37.0,59857,12436,Katsuro Loraqirelle,https://img2.finalfantasyxiv.com/f/57913b3394b6e38cf22e756229bd14fe_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645161949
33,16126753,56,17,34,70684,34.0,65449,5235,Zi Feng,https://img2.finalfantasyxiv.com/f/4eea2be02469063a0162dbeb28305c42_39e25ac3d737c46452305eefe324372cfc0_96x96.jpg?1645014581
34,14206515,56,17,35,70033,30.0,70033,0,Kazuki Yu,https://img2.finalfantasyxiv.com/f/978c43be7520e4c9bada99eb7a17c69d_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644961105
35,11458996,56,17,36,67211,32.0,66288,923,Nyaa Desu,https://img2.finalfantasyxiv.com/f/f93fc9f060d9f31186d016732f3ec173_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644604414
36,23488381,56,17,37,66018,46.0,51835,14183,Ombra Vainchelon,https://img2.finalfantasyxiv.com/f/e5bad72a06d90d506dd43e75d1e287bc_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645180148
37,10525537,56,17,38,65575,33.0,65575,0,Kirin Grimsbane,https://img2.finalfantasyxiv.com/f/8ba590460a65e5665796d2a42febe512_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644953625
38,8319221,56,17,39,65357,43.0,53602,11755,Misa Eriana,https://img2.finalfantasyxiv.com/f/fed370ca65ae3c36affd4596740d2dab_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1645153964
39,21262851,56,17,40,64441,39.0,56417,8024,Erandoras Lyterses,https://img2.finalfantasyxiv.com/f/0bf9640c7ec4770f04bcf28fda494515_5047bc596a4bab2dc7f7c120bb22dec5fc0_96x96.jpg?1644724466
