,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,23135538,57,15,1,532081,1.0,438783,93298,Beefy Supreme,https://img2.finalfantasyxiv.com/f/d3e0084b4dad4bc2ce8ba5d9c818f69d_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645174507
1,10826165,57,15,2,365255,4.0,268172,97083,Striding Crow,https://img2.finalfantasyxiv.com/f/13818ee7bcd05b847cf3c731c09ba8ca_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644963438
2,4156066,57,15,3,351693,2.0,334870,16823,W'zamqoo Kett,https://img2.finalfantasyxiv.com/f/33682671312c49df03c3198b282a693b_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645041800
3,10280841,57,15,4,350632,3.0,311010,39622,Lexaraj Adrius,https://img2.finalfantasyxiv.com/f/1f77e7fc3beab8cd155e4045a4600bdf_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644927989
4,24169291,57,15,5,257275,5.0,230245,27030,Kai Hayashida,https://img2.finalfantasyxiv.com/f/e8ad33b904817ce7f3988f201f5c31a7_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645041439
5,1110554,57,15,6,187846,6.0,159364,28482,Amalia Raynewoode,https://img2.finalfantasyxiv.com/f/3e3b84a9ed9b3d15a02835a5617b239e_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645189051
6,21310915,57,15,7,167123,7.0,151326,15797,Nanosworth Prominus,https://img2.finalfantasyxiv.com/f/6c81f89076ee9fd79ca8eaae5f81a9aa_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645036740
7,28322154,57,15,8,138997,8.0,117710,21287,Calei Daedala,https://img2.finalfantasyxiv.com/f/2aead1f071665e3a7c87bf16a4c081d2_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645132763
8,26052157,57,15,9,121256,,0,121256,Moki Eno,https://img2.finalfantasyxiv.com/f/c802d09372e182b87b0c18873b3aa7d8_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644880729
9,729390,57,15,10,79203,13.0,43982,35221,Ayira Ebele,https://img2.finalfantasyxiv.com/f/6f9e359d63e9c3c7c64dc6373b018c84_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644912491
10,23046068,57,15,11,59345,9.0,59345,0,Sombra Skycoder,https://img2.finalfantasyxiv.com/f/d56cd301b158c9fa6ed5afd6ce5ab853_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645176470
11,7693084,57,15,12,57945,10.0,57945,0,No Mommy,https://img2.finalfantasyxiv.com/f/94d3b8769fdffbd6e4f8268db769bfe4_ce736afe35e2ded4e46c4fd0659aef7efc0_96x96.jpg?1645026303
12,16131180,57,15,13,53115,11.0,48615,4500,White Wolves,https://img2.finalfantasyxiv.com/f/3946f272d2496bf6bcf832eba5c77ded_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645013111
13,8654004,57,15,14,47283,15.0,36231,11052,Heliosis Lucette,https://img2.finalfantasyxiv.com/f/edeb9fc27c93d0eb8bca0988f3146459_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1645153398
14,16509747,57,15,15,46316,12.0,46316,0,Hydir Kaide,https://img2.finalfantasyxiv.com/f/968c37207e70e7d059b2568c2695dbad_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644987302
15,29643599,57,15,16,41552,14.0,36692,4860,Megu Chan,https://img2.finalfantasyxiv.com/f/34aa81a3f261b3dd26abe9a08e1326d8_b937560c841465f7c4bc8eb47ea7948afc0_96x96.jpg?1644891081
16,28194544,57,15,17,27111,18.0,20793,6318,Isekai Service,https://img2.finalfantasyxiv.com/f/08ab3e5bcd02d9b4489876e8fb197e31_58a84e851e55175d22158ca97af58a1ffc0_96x96.jpg?1644862530
