,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,14360741,52,14,1,874214,1.0,741179,133035,Chloe Fortuna,https://img2.finalfantasyxiv.com/f/7326de0b44bb7edfd508190ca3ad9139_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645123612
1,25853003,52,14,2,741225,2.0,630545,110680,Rita Rize,https://img2.finalfantasyxiv.com/f/d331706963cd0fa5f9780265bcb8fcd1_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645003602
2,21054129,52,14,3,371064,5.0,263495,107569,Maco To,https://img2.finalfantasyxiv.com/f/0a5722b4e643d41acae27f7a4002bfd2_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644966414
3,22484350,52,14,4,367051,4.0,283759,83292,Aoken Nekoa,https://img2.finalfantasyxiv.com/f/b8a9992879396fbba858f02288a42132_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645075678
4,3297216,52,14,5,364746,3.0,298227,66519,Heraldia Orvair,https://img2.finalfantasyxiv.com/f/779f55bc44e740b66e0d8c0cab1f3dfc_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645081087
5,15378969,52,14,6,161219,6.0,154097,7122,Zack Strifes,https://img2.finalfantasyxiv.com/f/eb3b5e4ab318d6dc4c6e4bc20144ff41_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645062957
6,1645597,52,14,7,111107,7.0,91281,19826,Mnemosyne Blacksoon,https://img2.finalfantasyxiv.com/f/2dcb86a638ee6ab864c0c39587a7f102_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645037739
7,19327455,52,14,8,99928,8.0,81983,17945,Quattro Va-ggi,https://img2.finalfantasyxiv.com/f/fa6b4621159e71c7bbd64127a5c1e8c0_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645110129
8,25845746,52,14,9,89829,9.0,66353,23476,Pon Ponkan,https://img2.finalfantasyxiv.com/f/75ed2d2168914a8fd009f7ed661c39a0_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645176182
9,29896787,52,14,10,64385,10.0,54432,9953,Watamoti Stormhawk,https://img2.finalfantasyxiv.com/f/4b301327a9920644662c3a83c6fbb60e_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644602565
10,1680746,52,14,11,51615,13.0,28844,22771,Seria Okiya,https://img2.finalfantasyxiv.com/f/819424a9d9d771070b79130b6c4f30aa_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645134910
11,18125809,52,14,12,50209,16.0,27142,23067,Mar Ormesang,https://img2.finalfantasyxiv.com/f/d3a6f31589fa2976580c2067a9f1a734_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645055273
12,26126985,52,14,13,47882,11.0,41409,6473,Omukay Zack,https://img2.finalfantasyxiv.com/f/a6ef48c8230f372cf0ffee628a34c9c8_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645073732
13,2965960,52,14,14,42291,12.0,33742,8549,Alte Isen,https://img2.finalfantasyxiv.com/f/b658e5f1800cd19208f5651bec6e9d0e_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645128426
14,24780274,52,14,15,38714,14.0,28724,9990,Nova Regulus,https://img2.finalfantasyxiv.com/f/96849051cf5c9e27c338041ca957d6ab_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645169835
15,24703136,52,14,16,35980,22.0,15757,20223,Runa Salt,https://img2.finalfantasyxiv.com/f/2c3f649cf4d7acfcc1a7c6901b33246b_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1644877496
16,29309801,52,14,17,32375,15.0,27755,4620,Obakana Apochin,https://img2.finalfantasyxiv.com/f/b1dae0b78e307e96838429a76853c29d_485f4777c38002871591fb54f27edc65fc0_96x96.jpg?1645169926
