,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,11587370,74,10,1,507587,1.0,462603,44984,Little Monster,https://img2.finalfantasyxiv.com/f/af066917bed39d5bcbfd2b7940d25540_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645029488
1,16891369,74,10,2,350447,3.0,306958,43489,Hvaren Skywatcher,https://img2.finalfantasyxiv.com/f/8886f42180b7565c8336957ad963aa85_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645125852
2,15521116,74,10,3,345506,2.0,314044,31462,Ephemeral Dream,https://img2.finalfantasyxiv.com/f/965eff389b002e4f6b5d7e6d49710f38_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644763096
3,19135066,74,10,4,235052,4.0,235052,0,Jackie Sullivan,https://img2.finalfantasyxiv.com/f/4b77efd20c1250a1c0f1e0334e409014_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644956026
4,28491002,74,10,5,228196,5.0,228196,0,Bathos Agnosto,https://img2.finalfantasyxiv.com/f/d64b212e12795a9f5460ab3103c558f9_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644633143
5,4536988,74,10,6,165319,7.0,123453,41866,Super Hans,https://img2.finalfantasyxiv.com/f/adcded3a0be279fc70ca8560e2dd793d_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645034428
6,7505884,74,10,7,140750,6.0,128349,12401,Soupa Eptco,https://img2.finalfantasyxiv.com/f/424945d6de816baa51ba9228590e06ce_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644911954
7,21231862,74,10,8,118857,11.0,83329,35528,Brandon Ransu,https://img2.finalfantasyxiv.com/f/33f8b6a35c637f3a6513aa978dc5af9c_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645111264
8,27723129,74,10,9,108032,10.0,85381,22651,Aperol Spritz,https://img2.finalfantasyxiv.com/f/4354974f90da9e1d883c9262c2226051_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645135397
9,24866748,74,10,10,107105,9.0,93023,14082,Adela Lightwood,https://img2.finalfantasyxiv.com/f/1ff2781d07754a610a7001e3b3f0e271_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645138371
10,2489633,74,10,11,98475,8.0,93058,5417,Renault Rigel,https://img2.finalfantasyxiv.com/f/f47a5d3fc4383baf90ecfff271246acf_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645109321
11,23728161,74,10,12,71833,12.0,71833,0,Thundergod Cv,https://img2.finalfantasyxiv.com/f/549c8e6825442421733b750f3e439c96_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645108072
12,16312410,74,10,13,63480,14.0,31520,31960,Nil Soul,https://img2.finalfantasyxiv.com/f/44160864f755cc44d412f5ef999770d6_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644973134
13,2324068,74,10,14,60488,13.0,47548,12940,River Song,https://img2.finalfantasyxiv.com/f/92b5cd77a7eb0276e3c759a3d51f7e3d_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644851154
14,12977191,74,10,15,56563,21.0,10383,46180,Sona Caramelldansen,https://img2.finalfantasyxiv.com/f/386152043f56fd94522a15d31f837936_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645146479
15,27580512,74,10,16,31901,15.0,22366,9535,Dolston Everett,https://img2.finalfantasyxiv.com/f/e8009a54e48c7369e3893978ba4ebd9b_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644602841
16,18747540,74,10,17,23693,19.0,14488,9205,Fluffy Buns,https://img2.finalfantasyxiv.com/f/5f47a7c6cba30446f0d12fbc1448f4c2_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645028012
17,17485719,74,10,18,18256,16.0,17817,439,A'erina Maxhavo,https://img2.finalfantasyxiv.com/f/ef44b6994f28efe0db03e356d59c2b4e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644991242
18,26302666,74,10,19,17813,18.0,14814,2999,Usagi Huin,https://img2.finalfantasyxiv.com/f/76e71314be292e6901c383e492f7f1eb_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644856202
19,2279787,74,10,20,15823,17.0,15823,0,Nia Miralia,https://img2.finalfantasyxiv.com/f/18012d19cdb2abbae5042e4be560a421_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645189223
20,2174025,74,10,21,10491,20.0,10491,0,Harlequin Magpie,https://img2.finalfantasyxiv.com/f/1c20aaaae65a42c1621d3cc2338d0fa4_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645185616
21,21513583,74,10,22,10046,22.0,10046,0,R'yan Felis,https://img2.finalfantasyxiv.com/f/90626335543e37118d9e03d0ed721a38_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644889519
22,4586940,74,10,23,9639,27.0,8349,1290,Yoko Scarlight,https://img2.finalfantasyxiv.com/f/bdfd8ed506d2876dcb2edb522f27ce3e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645035828
23,14432286,74,10,24,9357,23.0,9357,0,Sorta Cute,https://img2.finalfantasyxiv.com/f/184632118619197f5a491a3b002769e8_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1644935759
24,15231188,74,10,25,9120,24.0,9120,0,Yanagi Nagi,https://img2.finalfantasyxiv.com/f/7202feb6a37ad924c81ff01bbfafd252_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644956953
25,26180515,74,10,26,8910,25.0,8910,0,Captain Valcon,https://img2.finalfantasyxiv.com/f/b499c74b9f09fd8f84636b8a045ff974_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644942539
26,22748151,74,10,27,8676,26.0,8676,0,Rita Mhordi,https://img2.finalfantasyxiv.com/f/470c99633b3d2b3f35f5da5b80620e95_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645175848
27,2424586,74,10,28,8181,28.0,8181,0,Roe Coco,https://img2.finalfantasyxiv.com/f/c2d85fce91a4fd20ce9f84ba7e0ca8df_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644831746
28,2622809,74,10,29,7322,29.0,7322,0,Sugar Please,https://img2.finalfantasyxiv.com/f/b0c40997579e96f4c47149339409bc6c_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645169089
29,26465962,74,10,30,7082,35.0,5882,1200,Anya Forger,https://img2.finalfantasyxiv.com/f/fb128155fa2fa1c45079881d4ae5a26e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645000061
30,24394032,74,10,31,6919,30.0,6919,0,Mable Gardiast,https://img2.finalfantasyxiv.com/f/1d7d0fed0e13ac6101c3a49a87496640_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645071312
31,29960674,74,10,32,6812,33.0,5968,844,Eliza Fray,https://img2.finalfantasyxiv.com/f/ab5dd18ea81227e3a3b320401b5de158_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645105961
32,27118052,74,10,33,6586,39.0,4731,1855,Owltist Tea'que,https://img2.finalfantasyxiv.com/f/3b599bfd697160c4995189c4056554a0_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645128641
33,348902,74,10,34,5991,31.0,5991,0,Mikoshi Akaishi,https://img2.finalfantasyxiv.com/f/9bf89e98b1336cd96596e6d6f7ebb8a3_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645192079
34,14829930,74,10,35,5987,32.0,5987,0,Talea Entsi,https://img2.finalfantasyxiv.com/f/3c0f18747e3a29ae69fedb7cde1bf67d_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645056481
35,4473144,74,10,36,5910,42.0,4392,1518,Deongeim Fhilfhiwyn,https://img2.finalfantasyxiv.com/f/1db7dd965417b0cb729fff2177fd9370_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645149170
36,10929262,74,10,37,5901,34.0,5901,0,Ludovic Lestrade,https://img2.finalfantasyxiv.com/f/25decded99c8bba0b443fd3ea1108d24_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645169778
37,26282135,74,10,38,5796,36.0,5796,0,Atalia Atoel,https://img2.finalfantasyxiv.com/f/91241a878a2fb61b62591e81b236ad6e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645030902
38,16545444,74,10,39,5603,51.0,3335,2268,Ranier Leveilleur,https://img2.finalfantasyxiv.com/f/e637b7ee7d90bbfd581e0ec2b4f531b9_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644891314
39,22471849,74,10,40,5515,37.0,5515,0,Eske Rise'up,https://img2.finalfantasyxiv.com/f/69757b1823947fb171c47ce8fdd11a3f_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645030449
40,2834221,74,10,41,5273,38.0,5273,0,Coco Pommel,https://img2.finalfantasyxiv.com/f/317b50039fb816601476d35599aa038b_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1645133240
41,14869533,74,10,42,5070,40.0,4663,407,Burning Blossom,https://img2.finalfantasyxiv.com/f/6580f736db01b5479b56445205655bba_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644833402
42,3331269,74,10,43,4650,41.0,4650,0,Rikku Maverick,https://img2.finalfantasyxiv.com/f/5962d057f2ceee86d97a7eb8fd0d803e_284358f8eb4efc9095914e46798c6ab3fc0_96x96.jpg?1644979431
