,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,29515177,59,18,1,803285,1.0,672160,131125,Shizukana Seirei,https://img2.finalfantasyxiv.com/f/70a7caf331ecefb5924f9e8992cec078_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644724048
1,18324278,59,18,2,752736,2.0,638838,113898,Kyoko Azul,https://img2.finalfantasyxiv.com/f/865c077cd7ae0428d6009e994258ee8b_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644879114
2,23530139,59,18,3,635214,3.0,520700,114514,Iris Nagi,https://img2.finalfantasyxiv.com/f/5b28685b4993793d33ed90f71fed086e_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645060297
3,23065760,59,18,4,545213,5.0,426870,118343,Ky Ogre,https://img2.finalfantasyxiv.com/f/c7601777db6d053326d00e221f54f289_d384cf5ad7db803f29799f36ebbc3eadfc0_96x96.jpg?1645045293
4,21512709,59,18,5,519104,4.0,428169,90935,Zell Pain,https://img2.finalfantasyxiv.com/f/3a0bc8e05988b068ed7c95a7da999771_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645055612
5,23360389,59,18,6,496531,7.0,382017,114514,Include Ullr,https://img2.finalfantasyxiv.com/f/1ab8391dc3507b129c45e210cf5e3c1b_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644918666
6,3807275,59,18,7,486255,9.0,366304,119951,Uni Vell,https://img2.finalfantasyxiv.com/f/ab7b2cd3e6af5af39b756313637d2ea9_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645189941
7,23314113,59,18,8,455226,10.0,330812,124414,Rin Nemu,https://img2.finalfantasyxiv.com/f/ccaec50eccc759c3f8d4fee9e90ea26d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644923276
8,19955568,59,18,9,450973,6.0,400786,50187,Juri Solksyng,https://img2.finalfantasyxiv.com/f/4b1bf2aadd7170dcf3d5ecc14faeacef_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645024890
9,20472142,59,18,10,442771,8.0,369625,73146,Ren Mituki,https://img2.finalfantasyxiv.com/f/47313e426591562ec87ee5c4aadd555b_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645071926
10,26297215,59,18,11,398368,14.0,299584,98784,Sway Scarlet,https://img2.finalfantasyxiv.com/f/d6e6e4ce549f7418228ffe8117aec6ba_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645060943
11,18872091,59,18,12,389994,12.0,305739,84255,Sound Lic,https://img2.finalfantasyxiv.com/f/482b72d450ba5dd9e8937c182e0a46c8_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645002268
12,18519630,59,18,13,379360,11.0,306750,72610,Nikolaschka Calvados,https://img2.finalfantasyxiv.com/f/58810fe337e4afa18116974c1e400eea_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645136781
13,21863945,59,18,14,370078,13.0,302001,68077,Yuu Hanamaru,https://img2.finalfantasyxiv.com/f/171b8e529a541b97362b2f57cdc5f536_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645165714
14,25638981,59,18,15,188375,15.0,188375,0,Arrabbiata Tominaga,https://img2.finalfantasyxiv.com/f/a587c64ac8cea19c2f70f883110b9e4f_b7a71d8799cf6dd75b711a7f52de6675fc0_96x96.jpg?1644721135
15,27423085,59,18,16,169297,16.0,158848,10449,I'luca Jinh,https://img2.finalfantasyxiv.com/f/3edbb8fa9fad72b1bd3aeb38256ad915_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645002866
16,26267632,59,18,17,152846,17.0,141736,11110,Ciel Whitewing,https://img2.finalfantasyxiv.com/f/632e2354444e37563c27be7f9a00dca0_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645048869
17,30032535,59,18,18,150281,18.0,131814,18467,Alice Panna,https://img2.finalfantasyxiv.com/f/01d95cf4c1e9394a5678e822a2d569c4_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645070050
18,1629677,59,18,19,140346,25.0,86712,53634,Anna Fisherman,https://img2.finalfantasyxiv.com/f/2d948d76632dd06e4568f47e030254e4_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644982170
19,24133747,59,18,20,134074,22.0,105468,28606,Sava Iwashi,https://img2.finalfantasyxiv.com/f/09505b8eefbc8aee56f060fd301e321d_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644789299
20,30722533,59,18,21,122298,19.0,122298,0,Naohite Tayuunui,https://img2.finalfantasyxiv.com/f/36b29f089ebe854ecb095495c6d9ef78_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1628186033
21,3337838,59,18,22,120591,20.0,120591,0,Lucie Miru,https://img2.finalfantasyxiv.com/f/531085420917dff73284c9b7fdcc8bf9_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644934336
22,7780197,59,18,23,118093,21.0,118093,0,Cocoa Cigarette,https://img2.finalfantasyxiv.com/f/49a1dba19a1f973fe92530226a6eb369_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645030021
23,3280108,59,18,24,114728,28.0,83761,30967,Toro Pecco,https://img2.finalfantasyxiv.com/f/8774d96feed64d3782a7d55665a26ce6_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644945438
24,27035301,59,18,25,103392,23.0,100448,2944,Catus Felis,https://img2.finalfantasyxiv.com/f/b7f775677fd96ede9f5cc16cd1b9f132_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645038666
25,12795310,59,18,26,95700,26.0,85594,10106,Mitarasi Damaso,https://img2.finalfantasyxiv.com/f/12c4494ca72b8141572dd7b20fa76c10_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644649192
26,27634559,59,18,27,92985,24.0,92985,0,Meta San,https://img2.finalfantasyxiv.com/f/ad705a167d75b8d0ec5eb03ccb2f7978_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644827748
27,23736298,59,18,28,88398,32.0,71584,16814,Sasano Rara,https://img2.finalfantasyxiv.com/f/5d40bdb33e54f7b904d0c8b0c8ea0428_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1644862208
28,1564577,59,18,29,85273,60.0,35565,49708,Chousiti Argyros,https://img2.finalfantasyxiv.com/f/bb3cecee64bb68129b18372fa92de15f_f9f796348bc43067c7242ec4551cde69fc0_96x96.jpg?1645042185
29,21552015,59,18,30,85020,27.0,85020,0,Nonoi Claudius,https://img2.finalfantasyxiv.com/f/4d655710103733307f3c53bc144c73cb_138751880f18161a907d7cf0faa43f07fc0_96x96.jpg?1645086605
