,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,27709812,75,10,1,319129,1.0,233372,85757,Mini Malum,https://img2.finalfantasyxiv.com/f/05a03178b30ebf6f346fa3f84bc95445_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644897229
1,3156201,75,10,2,281476,2.0,213166,68310,Mia Kith'la,https://img2.finalfantasyxiv.com/f/80adf2bcd5a807396da2f97e692ac2ac_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645005814
2,2246739,75,10,3,244359,3.0,201138,43221,Esko Nightbringer,https://img2.finalfantasyxiv.com/f/3a9c1f007980824b546cc6171e601144_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645078311
3,2948140,75,10,4,202795,4.0,153490,49305,Calypzo Onyx,https://img2.finalfantasyxiv.com/f/45eeb73dfa193edb3c33231d096f785c_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645103536
4,16603354,75,10,5,196528,5.0,135951,60577,Jade Shadowdragon,https://img2.finalfantasyxiv.com/f/4e6be3abca64ab7d21ef4b4358758761_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645152113
5,26882424,75,10,6,163481,11.0,100962,62519,Haruna Dawnlight,https://img2.finalfantasyxiv.com/f/1877dc70c0764b274f76943e9fa7c365_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644888608
6,29217950,75,10,7,153223,8.0,125880,27343,Ju'st Average,https://img2.finalfantasyxiv.com/f/1def1fffb4f58d225adc476518224f9a_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644797988
7,18603514,75,10,8,152519,7.0,128952,23567,Almithara Rihll,https://img2.finalfantasyxiv.com/f/9e9dba63e3dbb00d0188bb69db828802_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644968463
8,18491346,75,10,9,129870,6.0,129870,0,Val Sione,https://img2.finalfantasyxiv.com/f/00a89a2b0fbf3d535a0b01ee08607fe1_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644800336
9,26552568,75,10,10,114722,12.0,83872,30850,Arlaya Sayir,https://img2.finalfantasyxiv.com/f/c798c2e5798ea5230565732838d997aa_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645126117
10,21168117,75,10,11,113888,9.0,113888,0,Ashanii Jalaar,https://img2.finalfantasyxiv.com/f/7974dd11532b9aac909c008b59ca13d6_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644862813
11,26192142,75,10,12,107984,10.0,107984,0,Rafael Ciana,https://img2.finalfantasyxiv.com/f/513ec17a80f9f0e9f98a0bbb473a5bc7_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645152855
12,5995456,75,10,13,78233,13.0,55770,22463,Riu Stormchaser,https://img2.finalfantasyxiv.com/f/e581615937e74238ba7b1d547c153d3f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645094995
13,25839110,75,10,14,54335,14.0,54335,0,Ares Avitia,https://img2.finalfantasyxiv.com/f/9628fd3319fe9d2a584b2adc6de238cb_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644802877
14,11885572,75,10,15,53475,15.0,53475,0,Lilyana Eventide,https://img2.finalfantasyxiv.com/f/69b87ed30c35ddeeb63829ea48532031_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645024079
15,26057570,75,10,16,33352,24.0,12642,20710,Swolio Sanguerre,https://img2.finalfantasyxiv.com/f/8365dba6154b25f07284fa8f13340d66_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645155354
16,24309248,75,10,17,33004,16.0,33004,0,Times Tempest,https://img2.finalfantasyxiv.com/f/4ee0a713350a5d0b1a1e00bf262c6434_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644624994
17,25567588,75,10,18,29977,17.0,28895,1082,Lyran Marinne,https://img2.finalfantasyxiv.com/f/9ff536e77c5679991c5af5f50d5112f1_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645000935
18,23979782,75,10,19,26968,18.0,26968,0,Executeness Silslade,https://img2.finalfantasyxiv.com/f/b9680b507cc5a044645079603572e218_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644866239
19,13095501,75,10,20,22725,19.0,19196,3529,Eadythe Carmine,https://img2.finalfantasyxiv.com/f/d2fcd5d2a2943ad31fde944cba028a7b_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645077262
20,16658646,75,10,21,21339,23.0,13277,8062,Chaley Anathema,https://img2.finalfantasyxiv.com/f/6d48d0f7354abb55182cbf9c20e2f398_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644778127
21,11535015,75,10,22,18833,20.0,18833,0,Saerow Nosivad,https://img2.finalfantasyxiv.com/f/3c0031467cdb95f0c406b2c5896c9b28_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644909539
22,23135347,75,10,23,18449,21.0,18449,0,Lileena Stonerose,https://img2.finalfantasyxiv.com/f/8805a66d396aa82e68f8796659e78096_7206469080400ed57a5373d0a9c55c59fc0_96x96.jpg?1644946513
23,18471876,75,10,24,15897,22.0,15897,0,Aki Soul,https://img2.finalfantasyxiv.com/f/313777b25bf284a5c74239f9f73b3909_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645140062
24,2709638,75,10,25,12838,25.0,11107,1731,Sky Arashi,https://img2.finalfantasyxiv.com/f/e75b839f1ba33a743b966af0b1ec8852_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645119856
25,4474447,75,10,26,10280,29.0,8060,2220,Big Redbean,https://img2.finalfantasyxiv.com/f/1e5dbafd0e7a6311e53a0cccdd2b27e3_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645096542
26,24159864,75,10,27,9135,26.0,9135,0,Kio Mckioster,https://img2.finalfantasyxiv.com/f/cccd8db69613aa7d8f962e188891a792_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645190136
27,26313735,75,10,28,8676,30.0,7626,1050,Lina Zelber,https://img2.finalfantasyxiv.com/f/5f765fe067a4a606eb45a552f8224af9_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644917314
28,25639842,75,10,29,8394,27.0,8394,0,Erisen Irioth,https://img2.finalfantasyxiv.com/f/866bf628892222129f437b099dd0ce20_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645136569
29,24852317,75,10,30,8323,28.0,8323,0,Rhealha Castulo,https://img2.finalfantasyxiv.com/f/17726bea14eafc217f22dd6ada81c9bd_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645024065
30,4470238,75,10,31,7642,,0,7642,Mongke Buduga,https://img2.finalfantasyxiv.com/f/dc2820fac0210373075478575a420c22_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645062596
31,9993799,75,10,32,6374,31.0,6374,0,Kharon Coeursauvage,https://img2.finalfantasyxiv.com/f/934bf95ab74eaf2059f7d699d49671dd_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645097231
32,26685190,75,10,33,6193,32.0,6193,0,Ruby Kurosawa,https://img2.finalfantasyxiv.com/f/1107798ec94b1a3b22678900250c271f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644933800
33,27994262,75,10,34,6146,33.0,6146,0,Ariet Voland,https://img2.finalfantasyxiv.com/f/d7089f76b440ec9feba5fa020cf74394_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645054133
34,8242540,75,10,35,6000,34.0,6000,0,Zefie Cecille,https://img2.finalfantasyxiv.com/f/bbabcb0c29c044619709db27b5ff2bb8_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645055124
35,4532746,75,10,36,5336,40.0,4046,1290,Adrian Akiga,https://img2.finalfantasyxiv.com/f/df132ad8456dbe9e26435fda0922efd3_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645070746
36,10084275,75,10,37,5168,66.0,1289,3879,Vixen Sphinx,https://img2.finalfantasyxiv.com/f/30d7fd1d2b280708c665cf4dccdb61a4_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644976813
37,11845323,75,10,38,4811,35.0,4811,0,Kaiden Raikov,https://img2.finalfantasyxiv.com/f/e1c11695477c941341515c84c02db2e3_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645159437
38,21542813,75,10,39,4662,39.0,4085,577,Goro Majima-san,https://img2.finalfantasyxiv.com/f/df52328837ec3a28bd985da42dfe8a52_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644873872
39,5038938,75,10,40,4490,36.0,4490,0,Lucky Red,https://img2.finalfantasyxiv.com/f/632a1b04cfa0bfcc2c6fd3466f2d605a_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645094419
40,11191709,75,10,41,4350,37.0,4200,150,Salyne Valdis,https://img2.finalfantasyxiv.com/f/71228a9e851864523ec3968d3ec79fe5_0e336ff6ad415f47233f0aaf127feac0fc0_96x96.jpg?1645035238
41,19599860,75,10,42,4097,38.0,4097,0,Lena Stark,https://img2.finalfantasyxiv.com/f/ea077138563d175b6b829978b7bd6f20_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644866308
42,28125724,75,10,43,3924,41.0,3924,0,Akeno Scarlet,https://img2.finalfantasyxiv.com/f/44610aab4cc58fda6f53db4afc868202_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645055419
43,15546658,75,10,44,3847,43.0,3311,536,Kasseem Meessak,https://img2.finalfantasyxiv.com/f/31d93efe1e5ca6bbadef91d62be7d754_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644941641
44,24678161,75,10,45,3765,42.0,3765,0,Ophelia Ozymandia,https://img2.finalfantasyxiv.com/f/9ae24e8ef9f9349a47c64bd7c69e08a3_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645154339
45,9954469,75,10,46,3148,44.0,3148,0,Keiko Tatsuya,https://img2.finalfantasyxiv.com/f/37a4b3da2e9f6ccfaa388dd6f395ef96_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645083848
46,24943873,75,10,47,2750,45.0,2750,0,Monika Fategleam,https://img2.finalfantasyxiv.com/f/34f33bbcbc687a4fb24b2565f43f3fcb_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645154576
47,28071172,75,10,48,2696,46.0,2696,0,Vanilla Bunansa,https://img2.finalfantasyxiv.com/f/3bf1982e0104e9250566a1f76e5dff66_f0c52cc66e124fc2e641d7c21ab2ce79fc0_96x96.jpg?1645111611
48,29803954,75,10,49,2675,47.0,2286,389,Azulia Foukos,https://img2.finalfantasyxiv.com/f/419237be26b07a9610cb1ded6c506079_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645174234
49,27571677,75,10,50,2250,62.0,1500,750,Ffydd Nraig,https://img2.finalfantasyxiv.com/f/e6d6c806240f44a082ff5cbd5a92824f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645097802
50,11466360,75,10,51,2250,48.0,2250,0,Melody Madness,https://img2.finalfantasyxiv.com/f/fb63a2babe42234d7a7b18f168d76042_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645048173
51,13326548,75,10,52,2250,49.0,2250,0,Shadow Tyr,https://img2.finalfantasyxiv.com/f/8e709189c00470497234c1d1b2cc271a_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644987691
52,4570277,75,10,53,2100,70.0,1200,900,Shasharo Sharo,https://img2.finalfantasyxiv.com/f/9e7b8fb7bffe3ee3d48ddf312a268001_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645065435
53,24219308,75,10,54,2040,58.0,1710,330,Nine Lives,https://img2.finalfantasyxiv.com/f/96ded297cc0baa48b7a127721c5d4a59_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645080383
54,1934178,75,10,55,1977,50.0,1977,0,Poncho Jerome,https://img2.finalfantasyxiv.com/f/e68a1fc5ef5e1b97145704d8c5c27493_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645001688
55,22095783,75,10,56,1952,51.0,1952,0,Leeroy Jenkinson,https://img2.finalfantasyxiv.com/f/8fef4a9b5b89f85e1c7e5aa6ffebde1b_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645112988
56,2273728,75,10,57,1927,52.0,1927,0,Steel Mountain,https://img2.finalfantasyxiv.com/f/9d492dc834157d42744f7d8fbd1c1ce5_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644805582
57,26366183,75,10,58,1903,53.0,1903,0,W'shelka Tenma,https://img2.finalfantasyxiv.com/f/51610a4c31979d24f436abb18ae6c428_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645035959
58,26206914,75,10,59,1878,54.0,1878,0,Desormais Moonfire,https://img2.finalfantasyxiv.com/f/b4f1681c545cfae0674b2466d72e77df_7b33d33ae3ecb996f778a5f67a6a0af6fc0_96x96.jpg?1645080628
59,30586942,75,10,60,1875,55.0,1875,0,Dr Shelter,https://img2.finalfantasyxiv.com/f/005683965fa34e6737e40f5188db9c5d_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645080967
60,11174800,75,10,61,1824,89.0,684,1140,Cafe Darkroast,https://img2.finalfantasyxiv.com/f/d95fdce267bd7fca58639b2453ad5422_cf768a751b1f5e355c2fd39a9ed91f3ffc0_96x96.jpg?1644783449
61,14333204,75,10,62,1740,56.0,1740,0,Sorazan Talcarcay,https://img2.finalfantasyxiv.com/f/acab9f4a4e01959bca39c915bae4a1ef_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645116744
62,8006234,75,10,63,1710,57.0,1710,0,Akula Steele,https://img2.finalfantasyxiv.com/f/c0514c7534ff9c81f4ec608c233fb237_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645066667
63,2875758,75,10,64,1654,59.0,1654,0,Sjogren Mcleoud,https://img2.finalfantasyxiv.com/f/db08d774fd2c1fdeeafd8445ed029a7f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645176552
64,18047590,75,10,65,1530,60.0,1530,0,Keaira Leranskyu,https://img2.finalfantasyxiv.com/f/182f84b78e4a157d3b7e7b641dfc6360_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645056318
65,4263307,75,10,66,1527,61.0,1527,0,Orlock Deathwhisper,https://img2.finalfantasyxiv.com/f/11b51a18076b69a716d81fed1cda02ef_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645032716
66,25524364,75,10,67,1470,63.0,1470,0,Ito Mandena,https://img2.finalfantasyxiv.com/f/c2e836cf53b832a33b6aa139ae923e7d_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644992126
67,15110482,75,10,68,1459,64.0,1459,0,Vallarena Varjager,https://img2.finalfantasyxiv.com/f/63fd8a48f9f2bd5cb671ca1e6f9ab8da_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645000345
68,18076119,75,10,69,1308,65.0,1308,0,Morgana Borel,https://img2.finalfantasyxiv.com/f/21397a5c38c61fffb417fe6dafe0f6b0_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645191454
69,9503073,75,10,70,1286,67.0,1286,0,Ale Redfield,https://img2.finalfantasyxiv.com/f/91da0219120b57a86ef516ed76c4957b_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644955149
70,19990635,75,10,71,1262,68.0,1262,0,Lejara Oebryn,https://img2.finalfantasyxiv.com/f/4aa03cb8172a99a4fd0cfa1626a05bc7_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645119265
71,15092792,75,10,72,1260,69.0,1260,0,Kylor Cache,https://img2.finalfantasyxiv.com/f/6e31b82fea1b18e8c9922b0cc583fd5d_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645060529
72,10263518,75,10,73,1104,71.0,1104,0,Dorvo Cotrlaint,https://img2.finalfantasyxiv.com/f/7976e8915e3bc620a6a9155a0e141164_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645067973
73,18082672,75,10,74,1097,72.0,1097,0,Mayoia Lienstride,https://img2.finalfantasyxiv.com/f/badf6d51c537ec176822c50ecbf4d80e_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645125235
74,21262252,75,10,75,1080,73.0,1080,0,Mya Zarreyl,https://img2.finalfantasyxiv.com/f/6eb2384ccb3b457a4604219d52b420b3_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645131723
75,6649284,75,10,76,1050,74.0,1050,0,Zelda Scarlet,https://img2.finalfantasyxiv.com/f/24ab334e3251b709927f4931bc4e898f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644777472
76,21595917,75,10,77,1016,75.0,1016,0,Kainah Dehza,https://img2.finalfantasyxiv.com/f/8c8cae2c1471707a56bb038a8f2c231e_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645024457
77,8045019,75,10,78,994,76.0,994,0,Alexis Zhed,https://img2.finalfantasyxiv.com/f/98dd47e24e1b1286cfad2b24edb9567b_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644945870
78,24433660,75,10,79,960,77.0,960,0,Athena Angelis,https://img2.finalfantasyxiv.com/f/941dbfb77e75d3a66c52a3e9a02166a0_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645081493
79,9930924,75,10,80,937,79.0,894,43,Lavena Outlawe,https://img2.finalfantasyxiv.com/f/5980676e3833e0046d8dd598fdb06ed9_7a573cbc0cda3a3dfc1795cb3d9f7b23fc0_96x96.jpg?1645167178
80,24894579,75,10,81,900,78.0,900,0,Bibble Forp,https://img2.finalfantasyxiv.com/f/657599f51442571d81dd68517949b831_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645135566
81,7619281,75,10,82,870,80.0,870,0,Concrete Man,https://img2.finalfantasyxiv.com/f/e71f334ff16f57ab6f401427cfa72899_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645120309
82,7331202,75,10,83,868,81.0,868,0,Shao Wen,https://img2.finalfantasyxiv.com/f/89ce903648078448e0f1edba6edaa509_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644981673
83,17432231,75,10,84,824,82.0,824,0,Shio Shinju,https://img2.finalfantasyxiv.com/f/73aa139a2fe022c8449252de164f8ebe_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645046215
84,3063013,75,10,85,810,83.0,810,0,Celes Locke,https://img2.finalfantasyxiv.com/f/e8ab7f3911d7d4ad618c0ed7729bd17f_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644987165
85,18496238,75,10,86,810,84.0,810,0,Michalis Arca,https://img2.finalfantasyxiv.com/f/1ebfc667ae42603c34ffd62afe66afa3_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644939909
86,2249621,75,10,87,810,85.0,810,0,Xirden Stone,https://img2.finalfantasyxiv.com/f/841e482c1b627efafb4ba0fd39127fe0_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644659725
87,26344105,75,10,88,804,86.0,804,0,Qina Frawly,https://img2.finalfantasyxiv.com/f/d214289ae37da0297804893e1eebf60d_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645118175
88,19138523,75,10,89,750,,0,750,Shars Revenge,https://img2.finalfantasyxiv.com/f/6646a8eb07c2349c9a02a99238600ecb_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1644953264
89,22994509,75,10,90,724,87.0,724,0,Alys Oshidari,https://img2.finalfantasyxiv.com/f/f7589a482a9794c718f5c96445fd17b2_2e97c13fdd593d15d543093f8a37b6f0fc0_96x96.jpg?1645174651
