,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,20992192,66,15,1,600814,2.0,567452,33362,Vicky Chu,https://img2.finalfantasyxiv.com/f/71cb7ea0cd8020e10788c6b73235bb34_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644600292
1,3801917,66,15,2,569612,1.0,569612,0,Qih'to Moshantu,https://img2.finalfantasyxiv.com/f/db2ea497bae227a3333bb09a1b2dddf2_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645059631
2,2909861,66,15,3,553082,3.0,553082,0,Nanky Meek,https://img2.finalfantasyxiv.com/f/e924e56550cd294ec6aa61ad1e391a71_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645190706
3,2821342,66,15,4,546519,4.0,546519,0,Emeliah Caldwell,https://img2.finalfantasyxiv.com/f/67ee2aa3d821a99efcc9273e5b879bf1_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645150510
4,2354652,66,15,5,507265,5.0,507265,0,Luna Hime,https://img2.finalfantasyxiv.com/f/3e15050130101a1319e4c95bd50a06fa_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645124273
5,2556797,66,15,6,314897,6.0,271234,43663,Play Station,https://img2.finalfantasyxiv.com/f/e2dfb54cac64907fea55e3ebe007e6f1_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644974141
6,5046889,66,15,7,291359,7.0,256060,35299,Erik Eichendorff,https://img2.finalfantasyxiv.com/f/6f6d4b0f6d3d4d5d5864eeda9f3dbd88_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645118856
7,13376719,66,15,8,170810,8.0,158457,12353,Moririn Mori,https://img2.finalfantasyxiv.com/f/6da4951f3007b4edcd473772980a0e12_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644975979
8,24719476,66,15,9,137416,19.0,15972,121444,Adopt Me,https://img2.finalfantasyxiv.com/f/02f03124ab3cb82b8b80255e9465bfb6_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644719888
9,13552607,66,15,10,128657,12.0,89861,38796,Kitty Katastrophe,https://img2.finalfantasyxiv.com/f/204b57fbb0408dde01bee05f2169c3c6_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644785041
10,5582939,66,15,11,107974,11.0,91518,16456,Mira Arashiyama,https://img2.finalfantasyxiv.com/f/1d197a06316facd2e6905416e3f59d68_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645163996
11,16924674,66,15,12,105570,9.0,104310,1260,Leyanora Finn,https://img2.finalfantasyxiv.com/f/608e91ca3e494aa1df3097783f1bbff1_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645134318
12,11512091,66,15,13,98047,10.0,98047,0,Hora Viator,https://img2.finalfantasyxiv.com/f/0926234c195e0dc195189a39bfd57a4f_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645162597
13,2176332,66,15,14,42345,13.0,42345,0,Cryptine Benignitas,https://img2.finalfantasyxiv.com/f/f4b70ca0c344351f162aac3cbd92bd84_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645170499
14,25444822,66,15,15,29276,14.0,29276,0,Sekah'ro Galahar,https://img2.finalfantasyxiv.com/f/3096e2b578982281ec6c8b719195b9e4_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644659579
15,14619104,66,15,16,23671,16.0,22157,1514,Hyperactive Seagulls,https://img2.finalfantasyxiv.com/f/e8a5352f284128359e9db6740a3de553_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644760720
16,14538568,66,15,17,22516,15.0,22516,0,Katchi Chi,https://img2.finalfantasyxiv.com/f/dea38e7b0d4a0f3def279181dc6f14f9_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645071002
17,18937728,66,15,18,18630,21.0,14820,3810,Dirty Dad,https://img2.finalfantasyxiv.com/f/74cb60ee3c6181636568fa389db9800f_777c57311d510ca65dac3c1077dee435fc0_96x96.jpg?1644962442
18,10715739,66,15,19,17791,17.0,17791,0,Nailah Muraani,https://img2.finalfantasyxiv.com/f/011f6dbbb879041378affbc96e45243e_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645169431
19,1714757,66,15,20,16708,18.0,16708,0,Mikoto Ashura,https://img2.finalfantasyxiv.com/f/744a158e3c2edefd9bd28647ebc839f9_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645046688
20,10215888,66,15,21,15374,20.0,15374,0,Yuki Fujimoto,https://img2.finalfantasyxiv.com/f/05146b85c0ebd7d9061fa5ff83b4faef_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645178316
21,20042798,66,15,22,15177,22.0,13347,1830,Coora Moonflora,https://img2.finalfantasyxiv.com/f/63e724b7817e02cd8c576b39464978b5_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644808015
22,15426923,66,15,23,12350,24.0,10385,1965,Haise Ken,https://img2.finalfantasyxiv.com/f/964d0a4dc9aa759fb7226210b594678a_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644779735
23,19307204,66,15,24,11076,23.0,11076,0,Vanity Ku,https://img2.finalfantasyxiv.com/f/1bb41237061d69ae9b61400b562970b2_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644803312
24,4119763,66,15,25,10074,25.0,9384,690,Kali Dawnstrider,https://img2.finalfantasyxiv.com/f/f79776bc0ab47214beaa8c21a5a74bed_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644983761
25,20946479,66,15,26,9276,,0,9276,Katt Amariyo,https://img2.finalfantasyxiv.com/f/19e286fa3cb5ea4a9a8c6aa1b84ca16d_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644978366
26,31263489,66,15,27,8508,26.0,8508,0,Ahon Kirus,https://img2.finalfantasyxiv.com/f/cdda447e4522847b59c7e849e8fa6943_c33f640c0cdd35f7def85b8aa31a0007fc0_96x96.jpg?1644836897
27,20163960,66,15,28,8153,36.0,4913,3240,Bahana Nightlord,https://img2.finalfantasyxiv.com/f/535bfd9cc0d596d824c0d2b3ab4e1f39_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645181761
28,10750620,66,15,29,7735,29.0,6085,1650,Nannaya Dragonheart,https://img2.finalfantasyxiv.com/f/c65ef0691332eaa15a2e0c6f173a6c82_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645174692
29,17089606,66,15,30,7702,34.0,5293,2409,Sam Kinchou,https://img2.finalfantasyxiv.com/f/ce159402afd6350138129c3af4432f71_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1644997091
30,17826939,66,15,31,7632,27.0,7632,0,Scirca Ayame,https://img2.finalfantasyxiv.com/f/95a7627fb415d1434bbeb6e66ecd0800_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645089543
31,1961217,66,15,32,6483,28.0,6483,0,Frets Lethiel,https://img2.finalfantasyxiv.com/f/14fd155a14c3fc7b2f83d74e38c6b7e9_644311b63b607133c989d7c1188467dafc0_96x96.jpg?1645043621
