,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,25313911,51,12,1,573010,1.0,437994,135016,Aurelia Atkascha,https://img2.finalfantasyxiv.com/f/1c2dd18e217f5ee79aae8ce8327f1192_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644832724
1,2871445,51,12,2,473525,2.0,369470,104055,Azarashi Gardner,https://img2.finalfantasyxiv.com/f/0a4ab0cd02330333a5e55cb4c0dc5f43_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645146475
2,16768638,51,12,3,400836,4.0,284645,116191,Sena Asteria,https://img2.finalfantasyxiv.com/f/c57d853285f5a47fc58086fdec5002a2_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645034006
3,16049061,51,12,4,367301,3.0,305668,61633,Yu-ki Hj,https://img2.finalfantasyxiv.com/f/36d8fa1adc1a24ed8beccd81bc25c7e3_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645088106
4,25986921,51,12,5,248144,5.0,205948,42196,Toba Snow,https://img2.finalfantasyxiv.com/f/5f276e437786eab6287335666cfd1833_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645007615
5,18195367,51,12,6,199332,7.0,145329,54003,Lucia Chronicle,https://img2.finalfantasyxiv.com/f/3b1d01e4e9e773b91e7a93a97263187d_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644995978
6,26252530,51,12,7,188838,6.0,155137,33701,Adobe Premiere,https://img2.finalfantasyxiv.com/f/b61a06e5e23a4058e5033d9bc6c34651_53f1445a9f28799a32ea55f046319fc3fc0_96x96.jpg?1644619470
7,27235223,51,12,8,148505,8.0,127982,20523,Loki Mount,https://img2.finalfantasyxiv.com/f/004266d1edebe144f852f7e9c63cba5a_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645178305
8,22931571,51,12,9,137585,9.0,117204,20381,Ku Kuru,https://img2.finalfantasyxiv.com/f/fb59e6ba51e297982a95273372b539aa_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645140078
9,20301620,51,12,10,100688,10.0,83674,17014,Yue Nachthimmel,https://img2.finalfantasyxiv.com/f/eb1593b23d30afae97264e8e8d5d1e75_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645002602
10,19909370,51,12,11,98264,11.0,61390,36874,Nashi Amariyo,https://img2.finalfantasyxiv.com/f/04fa5160261528edcb4ae163d8172c8e_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644974442
11,17306410,51,12,12,67235,12.0,48506,18729,Marida Lsv,https://img2.finalfantasyxiv.com/f/aec04293b4f40225957c19327e9be62c_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645028841
12,26000897,51,12,13,44927,13.0,35587,9340,Serika Ma-kyuri-,https://img2.finalfantasyxiv.com/f/95322892166698533f8f357a6152e7ee_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644992013
13,20165560,51,12,14,42606,19.0,11572,31034,Uzu Hut,https://img2.finalfantasyxiv.com/f/aabd5594cf8528801e9638a0ef597eca_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645019300
14,18504813,51,12,15,30962,15.0,20453,10509,Gem Roah,https://img2.finalfantasyxiv.com/f/103e2272f075afb64522db6bf47c6abe_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645084302
15,19563270,51,12,16,24823,14.0,24823,0,Stella Willsoon,https://img2.finalfantasyxiv.com/f/9d61e35135e7f4fe5e28e0300dd8c3b9_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644621056
16,8663143,51,12,17,21371,22.0,10556,10815,Azusa Mitsurugi,https://img2.finalfantasyxiv.com/f/1dea2ef995930ceaaebfb2592525ac99_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644834603
17,22601966,51,12,18,20145,16.0,14838,5307,Take Noret,https://img2.finalfantasyxiv.com/f/091782cfb9308158ee62058473abb104_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645084837
18,14642813,51,12,19,15000,33.0,5586,9414,Nekodono Nora,https://img2.finalfantasyxiv.com/f/223392956fb30f1125eeab6077924939_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1645034454
19,2637077,51,12,20,13759,17.0,13759,0,Souma Sawara,https://img2.finalfantasyxiv.com/f/f88721e17101a7dd3571fb6c9d3b4b12_9df1b3cb0da35db33c17ef11ddf12adafc0_96x96.jpg?1644967241
