,id,worldId,jobId,rank,score,yesterdayRank,yesterdayScore,change,name,iconUrl
0,12421713,96,13,1,1057900,1.0,1019878,38022,Gura Coron,https://img2.finalfantasyxiv.com/f/90b0e699918af406c6102ac0aeee5ce4_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645170897
1,3393604,96,13,2,630408,2.0,517087,113321,Sunny Milk,https://img2.finalfantasyxiv.com/f/33e4e842319f5cdb5de01d99c79ca96f_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645021473
2,25300432,96,13,3,500237,4.0,455779,44458,Kota Mol,https://img2.finalfantasyxiv.com/f/d840eecd032fd28aded384eccf6c941d_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645124235
3,1333989,96,13,4,485672,3.0,468588,17084,Felis Ater,https://img2.finalfantasyxiv.com/f/a39e886d92a92e85b2fcc05f3bd78061_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645019259
4,22740077,96,13,5,426396,7.0,328843,97553,Momoa Ricotte,https://img2.finalfantasyxiv.com/f/1b45827f215866bef805359588150c75_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645095664
5,1027088,96,13,6,400362,11.0,290551,109811,Elehayym Vanhouten,https://img2.finalfantasyxiv.com/f/9c3dadae638d9c69d242ce5d968bf38c_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645109285
6,16980692,96,13,7,383040,6.0,333288,49752,Rastold Carson,https://img2.finalfantasyxiv.com/f/d134e5d6328115d7e1a484b28df36f89_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645124551
7,21401425,96,13,8,381409,8.0,323566,57843,I'zazanh Osunama,https://img2.finalfantasyxiv.com/f/2f470d18439a347616711e58517bbff1_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645171982
8,9837009,96,13,9,380826,5.0,380826,0,Dps Machine,https://img2.finalfantasyxiv.com/f/010163feee9b8640d267cf7dc106ce8e_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645110690
9,8694311,96,13,10,365465,12.0,277051,88414,X'ethereal Kongou,https://img2.finalfantasyxiv.com/f/04249040c557930c901165154b8c5fa3_134930215abb8a90ec37d6cc05b05e08fc0_96x96.jpg?1645019734
